index,generated,result
0,"  <summary>
• Transport properties of nonlinear non-equilibrium systems are not well understood.
• Chaotic systems are sensitive to initial conditions, and their behavior is complex and difficult to predict.
• In chaotic systems, bifurcations can occur, leading to changes in the current without any accompanying change in the external driving.
• The current in a chaotic system depends on the details of the initial ensemble, and it is important to consider multiple ensembles to obtain a reliable estimate.
• Single trajectory data can be used to obtain a good estimate of the current in a chaotic system, but more ensembles are needed to obtain a reliable estimate.
• The current in a chaotic system can reverse direction without any accompanying change in the external driving.
• The bifurcation diagram for individual trajectories can be used to understand the connection between bifurcations and current reversals.
• The current in a chaotic system is not simply related to the bifurcation diagram, and it is important to consider the details of the ensemble to obtain a reliable estimate.
</summary>

• • Transport properties of nonlinear non-equilibrium systems are not well understood.

• • Chaotic systems are sensitive to initial conditions, and their behavior is complex and difficult to predict.

• • • Bifurcations can occur in chaotic systems, leading to changes in the current without any accompanying change in the external driving.

• • • The current in a chaotic system depends on the details of the initial ensemble, and it is important to consider multiple ensembles to obtain a reliable estimate.

• • • Single trajectory data can be used to obtain a good estimate of the current in a chaotic system, but more ensembles are needed to obtain a reliable estimate.

• • • The current in a chaotic system can reverse direction without any accompanying change in the external driving.

• • • The bifurcation diagram for individual trajectories can be used to understand the connection between bifurcations and current reversals.

• • • The current in a chaotic system is not simply related to the bifurcation diagram, and it is important to consider the details of the ensemble to obtain a reliable estimate.",0
1,"  <summary>
* * Observations and simulations of exoplanetary systems
	+ * Observed systems with high eccentricity planets
	+ * Performed test particle simulations to investigate dynamical possibility of additional low-mass planets
	+ * Focused on systems with initially circular orbits
	+ * Used high-resolution spectrograph on Hobby-Eberly Telescope (HET) for observations
	+ * Combined available published data with HET data for orbital fits
	+ * Detected no evidence for additional objects in any of the six systems
	+ * Discovered a t-dwarf companion to HD 3651 and detected a trend in the residuals
	+ * Found that a distant orbiting body could explain the observed acceleration in the orbit of HD 80606
	+ * Combined data from Coralie, Keck, and HET for fitting parameters
	+ * Used Gaussfit to converge with all parameters free
	+ * Agreed with parameters from @xcite within 2@xmath11
	+ * Scatter about the fit remained large due to the star's early spectral type
	+ * Dynamical simulations showed the survival time of test particles against their initial semimajor axis
	+ * Short-period planets HD 3651 and HD 37605 swept clean the region inside of about 0.5 au
	+ * A small number of test particles remained in low-eccentricity orbits in these systems
	+ * Additional planets are possible in these systems
	+ * Low-mass planets can be treated as test particles
	+ * Nearly all test-particle removals occurred within the first @xmath9 yr
	+ * Radial velocity measurements from HET were given for HD 45350
	+ * Radial velocity measurements from HET and Lick were given for 16 Cyg B
	+ * Examination of the residuals to the Keplerian orbit fits revealed no evidence for additional objects
	+ * The parameters derived from the fit of the data to the Keplerian orbit were consistent with those of @xcite
	+ * The eccentricity and argument of per",0
2,"  <summary>
• Rare decays of the @xmath1 boson
• Indentation level 1:
• @xmath1-decay into fermion pairs
• @xmath1-decay into light higgs boson(s)
• @xmath1-decay into CP-odd higgs boson
• @xmath1-decay into neutralino
• Indentation level 2:
• @xmath10-decay into @xmath11
• @xmath10-decay into @xmath12
• @xmath10-decay into @xmath13
</summary>

• Rare decays of the @xmath1 boson

• Indentation level 1:

• @xmath1-decay into fermion pairs

• @xmath1-decay into light higgs boson(s)

• @xmath1-decay into CP-odd higgs boson

• @xmath1-decay into neutralino

• Indentation level 2:

• @xmath10-decay into @xmath11

• @xmath10-decay into @xmath12

• @xmath10-decay into @xmath13",0
3,"  <summary>
* Summary of the text:
	+ The paper discusses the phenomenology of supersymmetry (SUSY) with a focus on the no-scale scenario.
	+ The no-scale scenario is characterized by a special structure of the Kähler potential, which leads to a simplified SUSY phenomenology.
	+ The paper reviews some phenomenological aspects of the no-scale models, including the direct search bounds and the cosmological constraint.
	+ The authors further constrain these models from the higgs mass bound and the @xmath12 result, and indicate the regions that are excluded by these constraints.
	+ They also discuss the possibility of observing the lighter stau at the Tevatron Run 2.
	+ The paper includes a detailed calculation of the higgs mass and @xmath12 including leading order (LO) QCD corrections.
	+ The authors compare their results with the current LEP2 bound and the indication of @xmath55 reported by LEP2.
	+ They find that the minimal scenario is severely constrained, but the other two scenarios are not.
</summary>

<level1>
* Summary of the text:
	+ The paper discusses the phenomenology of supersymmetry (SUSY) with a focus on the no-scale scenario.
	+ The no-scale scenario is characterized by a special structure of the Kähler potential, which leads to a simplified SUSY phenomenology.
	+ The paper reviews some phenomenological aspects of the no-scale models, including the direct search bounds and the cosmological constraint.
</level1>

<level2>
* Summary of the text:
	+ The paper further constrains the no-scale models from the higgs mass bound and the @xmath12 result.
	+ The authors indicate the regions that are excluded by these constraints.
	+ They also discuss the possibility of observing the lighter stau at the Tevatron Run 2.
</level2>

<level1>
* Summary of the text:
	+ The paper includes a detailed calculation of the higgs mass and @xmath12 including leading order (LO) QCD corrections.
	+ The authors compare their results",0
4,"  <summary>Summary of the text</summary>

* * Stability of singularities in cross-polarized plane wave spacetimes
	+ * Investigation of the nature of singularities in the interaction region of cross-polarized plane wave spacetimes
		+ * Calculation of the real part of the Weyl scalar in the incoming region
			+ * Detection of the presence of a quasiregular singularity
				+ * Verification of the stability of the quasiregular singularity using a test scalar field
					+ * Calculation of the stress-energy tensor in a Ppon frame
						+ * Detection of divergence of the stress-energy tensor at the quasiregular singularity
							+ * Conclusion that the quasiregular singularity is unstable
	+ * Comparison of the stability conjecture with the results of the paper
		+ * Discussion of the implications of the results for the stability of singularities in cross-polarized plane wave spacetimes

<tab> * Investigation of the nature of singularities in the interaction region of cross-polarized plane wave spacetimes</tab>
	+ * Calculation of the Riemann tensor components in the local and Ppon frames
		+ * Detection of the presence of a quasiregular singularity in the interaction region
			+ * Verification of the absence of scalar curvature singularities in the interaction region
				+ * Discussion of the implications of the results for the stability of singularities in cross-polarized plane wave spacetimes
	+ * Comparison of the results with the results of the paper
		+ * Discussion of the differences between the results of the paper and the present investigation
			+ * Implications of the differences for the stability of singularities in cross-polarized plane wave spacetimes",0
5,"  <summary>
• • •

Indentation Level 1:

• • •

Indentation Level 2:

• • •",0
6,"  <summary>
* Non-locality in quantum mechanics refers to the phenomenon where the properties of a quantum state are dependent on the outcome of a measurement performed on a distant system.

* Level 1:
	+ Non-locality can be classified into three types: Bell non-locality, EPR non-locality, and separability.
	+ Bell non-locality is when a local hidden variable (LHV) model can explain the correlations, while EPR non-locality is when there is no LHV model.
	+ Separability is when the state can be expressed as a mixture of product states of the constituents.

* Level 2:
	+ The three notions of non-locality are related to each other, but they are not the same thing.
	+ Bell non-locality implies EPR non-locality, but the converse is not necessarily true.
	+ Separability is a stronger condition than EPR non-locality, but weaker than Bell non-locality.
</summary>",0
7,"  <summary>Spintronic Logic Gates Summary</summary>

• • •

Level 1:

• Spin does not couple easily to stray electric fields, unless there is strong spin-orbit interaction in the host material.
• The spin is likely to be relatively immune to noise.

Level 2:

• • •

• The spin orientation is a binary variable; it is either parallel or anti-parallel to the applied magnetic field.
• The anti-ferromagnetic ordering, or the singlet state, is preferred over the ferromagnetic ordering, or triplet state.

• • •

• The ground state of the array has the spin configuration shown in the figure.
• The upspin state is the spin orientation directed along the magnetic field, and the downspin state is the opposite orientation.

• • •

• The exchange interaction between two electrons confined to two separate potentials is anti-ferromagnetic.
• The exchange splitting energy is the energy difference between the triplet and singlet states.

• • •

• The phonon bottleneck effect suppresses phonon emissions in quantum dots.
• The metastable state of the system can take a very long time to decay.

• • •

• The input bit rate is high enough so that inputs change more rapidly than the time it takes for the metastable state to decay to the global ground state.
• The magnetic field comes in handy to break the tie between the two possible output states.

• • •

• The spintronic logic gates can realize any arbitrary boolean logic circuit.
• The three-phase clock is required to propagate the input state through a linear array.",0
8,"  <summary>
• Evolution of Cataclysmic Variables (CVs)
• Orbital period distribution of CVs
• Period minimum in CVs
• Effect of mass transfer on period minimum
• Caml mechanism and its effect on period minimum
• Comparison of observed and calculated period distributions
• Testing the statistical significance of the period spike
</summary>

• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •",0
9,"  <summary>
* Summary of the text:
	+ The Stephan's Quintet is a strongly interacting compact group of galaxies.
	+ The group is producing a highly disturbed intragroup medium (IGM) through a complex sequence of interactions and harassment.
	+ The main elements of Stephan's Quintet are shown in Figure 1, including the primary shock, the intruder galaxy ngc 7318B, and the large Seyfert 2 galaxy @xcite.
	+ The unexpected discovery of extremely powerful, pure-rotational H@xmath9 line emission from the center of the shock using the Spitzer Space Telescope has sparked intense interest in the Quintet.
	+ The H@xmath9 line emission is found to be dominant in the mid-infrared (IR) and is not sufficient to drive the IR continuum emission.
	+ The study of nearby prototypes may provide valuable insights into the nature of more distant systems, and the large-scale (60 kpc) of the Quintet is well-suited for such a study.
</summary>

<level1>
* Summary of the text:
	+ The Stephan's Quintet is a strongly interacting compact group of galaxies.
	+ The group is producing a highly disturbed intragroup medium (IGM) through a complex sequence of interactions and harassment.
	+ The main elements of Stephan's Quintet are shown in Figure 1, including the primary shock, the intruder galaxy ngc 7318B, and the large Seyfert 2 galaxy @xcite.
	+ The unexpected discovery of extremely powerful, pure-rotational H@xmath9 line emission from the center of the shock using the Spitzer Space Telescope has sparked intense interest in the Quintet.
	+ The H@xmath9 line emission is found to be dominant in the mid-infrared (IR) and is not sufficient to drive the IR continuum emission.
</level1>

<level2>
* Summary of the text:
	+ The Stephan's Quintet is a strongly interacting compact group of galaxies.
	+ The group is producing a highly disturbed intragroup medium (IGM) through a",0
