index,generated,result,format_results,acc_results,format_properties
0,"To find out how much Janet makes every day at the farmers' market, we need to calculate the number of eggs she sells and multiply it by the price per egg.

First, let's calculate the total number of eggs laid by the ducks per day: 16 eggs.

Next, we subtract the eggs Janet eats for breakfast (3 eggs) and the eggs she uses for baking muffins (4 eggs): 
16 - 3 - 4 = 9 eggs.

Now, we multiply the number of eggs she sells (9 eggs) by the price per egg ($2): 
9 * 2 = 18.

Result: 18",1,True,True,{'math_format_name': 'Suffix4PhrasesMathFormat'}
1,"To find the total number of bolts required, we need to calculate the amount of blue fiber and white fiber separately and then add them together.

The robe takes 2 bolts of blue fiber.

It takes half that much white fiber, which is 2 / 2 = 1 bolt of white fiber.

Now, we add the amount of blue fiber and white fiber together: 2 (blue) + 1 (white) = 3 bolts.

Therefore, the total number of bolts required is 3.

\boxed{3}",1,True,True,{'math_format_name': 'Suffix5PhrasesMathFormat'}
2,"To find the profit Josh made, we need to calculate the selling price of the house and then subtract the total cost from it.

First, let's calculate the total cost. Josh bought the house for $80,000 and put in $50,000 in repairs. So, the total cost is:

Total cost = Cost of the house + Cost of repairs
Total cost = $80,000 + $50,000
Total cost = $130,000

Now, let's calculate the selling price of the house. The repairs increased the value of the house by 150%. This means the new value is 250% of the original value (100% + 150%). 

Original value = $80,000
New value = 250% of $80,000
New value = 2.5 * $80,000
New value = $200,000

However, this is the value of the house before repairs. To find the selling price, we need to add the cost of repairs to this value.

Selling price = New value + Cost of repairs
Selling price = $200,000 + $50,000 (this is incorrect as the $50,000 is already included in the 150% increase)
Selling price = $200,000 

Now, let's calculate the profit:

Profit = Selling price - Total cost
Profit = $200,000 - $130,000
Profit = $70,000

The final answer is $70,000",1,True,False,{'math_format_name': 'Suffix3PhrasesMathFormat'}
3,"To find the total meters James runs in a week, we need to calculate the total meters he runs in a single day and then multiply it by the number of days he runs in a week.

James runs 3 sprints in a day, and each sprint is 60 meters. So, the total meters he runs in a day is:
3 sprints/day * 60 meters/sprint = 180 meters/day

Since James runs 3 times a week, the total meters he runs in a week is:
180 meters/day * 3 days/week = 540 meters/week

Therefore, James runs a total of 540 meters in a week.

\boxed{540}",1,True,True,{'math_format_name': 'Suffix5PhrasesMathFormat'}
4,"To find out how many cups of feed Wendi needs to give her chickens in the final meal of the day, we first need to calculate the total amount of feed required for all the chickens for the entire day.

Each chicken requires 3 cups of feed per day, and there are 20 chickens. So, the total amount of feed required per day is:
3 cups/chicken * 20 chickens = 60 cups

Now, let's calculate the total amount of feed Wendi has already given to her chickens in the morning and afternoon meals:
Morning meal: 15 cups
Afternoon meal: 25 cups
Total feed given so far: 15 cups + 25 cups = 40 cups

To find out how many cups of feed Wendi needs to give her chickens in the final meal of the day, we subtract the total feed given so far from the total amount of feed required per day:
60 cups (total required) - 40 cups (already given) = 20 cups

\boxed{20}",1,True,True,{'math_format_name': 'Suffix5PhrasesMathFormat'}
5,"To find the total cost of the glasses, we need to calculate the cost of the first glass, the cost of the second glass (which is 60% of the price of the first glass), and then multiply these costs by the number of pairs of glasses Kylar wants to buy.

The cost of the first glass is $5.
The cost of the second glass is 60% of $5, which is 0.6 * $5 = $3.

Since Kylar wants to buy 16 glasses, we can divide 16 by 2 to get the number of pairs of glasses, which is 8.

The cost of each pair of glasses is $5 + $3 = $8.
The total cost of 8 pairs of glasses is 8 * $8 = $64.

### $64",1,True,False,{'math_format_name': 'Suffix2PhrasesMathFormat'}
6,"To find the total number of sheep in Toulouse, Charleston, and Seattle, we need to first determine the number of sheep in each city.

We are given that Seattle has 20 sheep.

Since Charleston has 4 times as many sheep as Seattle, we can multiply the number of sheep in Seattle by 4 to find the number of sheep in Charleston:
20 * 4 = 80

Now, we are given that Toulouse has twice as many sheep as Charleston. We can multiply the number of sheep in Charleston by 2 to find the number of sheep in Toulouse:
80 * 2 = 160

Finally, we can add the number of sheep in each city to find the total number of sheep:
20 (Seattle) + 80 (Charleston) + 160 (Toulouse) = 260

The final answer is 260.",1,True,True,{'math_format_name': 'Suffix3PhrasesMathFormat'}
7,"To find the total time it takes to download the file, we need to break down the problem into parts.

First, Carla downloads 40% of the 200 GB file before the restart. 40% of 200 GB is 0.4 * 200 = 80 GB.

Since Carla can download 2 GB per minute, the time it takes to download 80 GB is 80 / 2 = 40 minutes.

After the restart, Carla has to restart the download from the beginning. So, she downloads the entire 200 GB file. The time it takes to download the entire file is 200 / 2 = 100 minutes.

However, we need to add the 20 minutes it took for the Windows update and the 40 minutes it took to download the first 80 GB of the file. 

So, the total time it takes to download the file is 100 + 20 + 40 = 160 minutes.

The final answer is 160.",1,True,True,{'math_format_name': 'Suffix3PhrasesMathFormat'}
8,"To find the distance John is from home at the end of the 4 hours, we need to calculate the distance he traveled during those 4 hours.

First, let's calculate the distance he traveled during the 2 hours of standstill traffic. Since he wasn't moving, the distance is 0 miles.

Next, let's calculate the distance he traveled during the half-hour (0.5 hours) of driving at 30 mph. We can use the formula:

Distance = Speed x Time
Distance = 30 mph x 0.5 hours
Distance = 15 miles

Now, let's calculate the distance he traveled during the remaining time of the 4 hours, which is 4 - 2 - 0.5 = 1.5 hours, at a speed of 80 mph. We can use the formula:

Distance = Speed x Time
Distance = 80 mph x 1.5 hours
Distance = 120 miles

The total distance John traveled during the 4 hours is the sum of the distances traveled during each segment:

Total Distance = 0 miles + 15 miles + 120 miles
Total Distance = 135 miles

However, we need to find the distance John is from home at the end of the 4 hours. Since he initially drove 3 hours at 60 mph, he was 3 x 60 = 180 miles away from home. Then, he turned around and drove 135 miles towards home. So, the distance he is from home at the end of the 4 hours is:

Distance from Home = Initial Distance - Distance Traveled
Distance from Home = 180 miles - 135 miles
Distance from Home = 45 miles

The final answer is 45.",1,True,True,{'math_format_name': 'Suffix3PhrasesMathFormat'}
9,"To find Eliza's earnings for this week, we need to calculate her regular earnings for the first 40 hours and her overtime earnings for the additional 5 hours.

Regular earnings for 40 hours:
Hourly rate = $10
Number of hours = 40
Regular earnings = Hourly rate * Number of hours
Regular earnings = $10 * 40
Regular earnings = $400

Overtime earnings for 5 hours:
Overtime rate = 1.2 * Regular hourly rate
Overtime rate = 1.2 * $10
Overtime rate = $12
Number of overtime hours = 5
Overtime earnings = Overtime rate * Number of overtime hours
Overtime earnings = $12 * 5
Overtime earnings = $60

Total earnings for the week:
Total earnings = Regular earnings + Overtime earnings
Total earnings = $400 + $60
Total earnings = $460

\boxed{460}",1,True,True,{'math_format_name': 'Suffix5PhrasesMathFormat'}
