index,generated,result,format_properties
0,"<ans>
def remove_Occ(s, ch):
    """"""
    Args:
        s (str): The input string.
        ch (str): The character to be removed from the string.

    Returns:
        str: The modified string with the first and last occurrence of the character removed.
    """"""
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s 
</ans>",True,{}
1,"<ans>
def sort_matrix(M):
    """"""
    Args:
        M (list of lists): A 2D matrix where each inner list has the same length.

    Returns:
        list of lists: A sorted 2D matrix where the inner lists are sorted based on their sum.
    """"""
    result = sorted(M, key=sum)
    return result
</ans>",True,{}
2,"<ans>
def find_Volume(length, breadth, height) : 
    """"""
    Args:
        length (float): The length of the rectangular prism.
        breadth (float): The breadth of the rectangular prism.
        height (float): The height of the rectangular prism.

    Returns:
        volume (float): The volume of the rectangular prism.
    """"""
    return ((length * breadth * height) / 2) 
</ans>",True,{}
3,"<ans>
import re
def text_lowercase_underscore(text):
    """"""
    Args:
        text (str): The input text to check.

    Returns:
        bool: True if the text is in lowercase and contains an underscore, False otherwise.
    """"""
    patterns = '^[a-z]+_[a-z]+$'
    if re.search(patterns,  text):
        return True
    else:
        return False
</ans>",0,{}
4,"<ans>
def square_perimeter(a):
    """"""
    Args:
        a (float): The length of a side of the square.

    Returns:
        perimeter (float): The perimeter of the square.
    """"""
    perimeter = 4 * a
    return perimeter
</ans>",True,{}
5,"<ans>
NO_OF_CHARS = 256

def str_to_list(string): 
    """"""
    Args:
        string (str): The input string to be converted into a list.

    Returns:
        list: A list of characters from the input string.
    """"""
    temp = [] 
    for x in string: 
        temp.append(x) 
    return temp 

def lst_to_string(List): 
    """"""
    Args:
        List (list): A list of characters to be converted into a string.

    Returns:
        str: A string created by joining the characters in the input list.
    """"""
    return ''.join(List) 

def get_char_count_array(string): 
    """"""
    Args:
        string (str): The input string for which character counts are to be calculated.

    Returns:
        list: A list of character counts where the index represents the ASCII value of the character.
    """"""
    count = [0] * NO_OF_CHARS 
    for i in string: 
        count[ord(i)] += 1
    return count 

def remove_dirty_chars(string, second_string): 
    """"""
    Args:
        string (str): The original string from which characters are to be removed.
        second_string (str): The string containing characters to be removed from the original string.

    Returns:
        str: The modified string after removing characters present in the second string.
    """"""
    count = get_char_count_array(second_string) 
    ip_ind = 0
    res_ind = 0
    temp = '' 
    str_list = str_to_list(string) 
    while ip_ind != len(str_list): 
        temp = str_list[ip_ind] 
        if count[ord(temp)] == 0: 
            str_list[res_ind] = str_list[ip_ind] 
            res_ind += 1
        ip_ind+=1
    return lst_to_string(str_list[0:res_ind]) 
</ans>",0,{}
6,"<ans>
def test_duplicate(arraynums):
    """"""
    Args:
        arraynums (list): A list of numbers to check for duplicates.

    Returns:
        bool: True if the list contains duplicate numbers, False otherwise.
    """"""
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     
</ans>",True,{}
7,"<ans>
def is_woodall(x):
    """"""
    Args:
        x (int): The number to check if it's a Woodall number.

    Returns:
        bool: True if the number is a Woodall number, False otherwise.

    Note:
        A Woodall number is a number of the form Wn = n * 2^n - 1, where n is a positive integer.
        This function checks if a given number is a Woodall number by repeatedly dividing it by 2
        until it's no longer divisible, then checking if the result is equal to the number of divisions.
    """"""
    if (x % 2 == 0): 
        return False
    if (x == 1): 
        return True
    x = x + 1 
    p = 0
    while (x % 2 == 0): 
        x = x/2
        p = p + 1
        if (p == x): 
            return True
    return False
</ans>",True,{}
8,"<ans>
def rev(num):
    """"""
    Args:
        num (int): The number to be reversed.

    Returns:
        int: The reversed number.
    """"""
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  

def check(n):
    """"""
    Args:
        n (int): The number to be checked.

    Returns:
        bool: True if 2 times the reverse of the number is equal to the number plus 1, False otherwise.
    """"""
    return (2 * rev(n) == n + 1)
</ans>",True,{}
9,"<ans>
def find_Max_Num(arr):
    """"""
    Args:
        arr (list): A list of integers.

    Returns:
        int: The maximum possible number that can be formed by concatenating the integers in the list.
    """"""
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num 
</ans>",True,{}
