index,generated,result,format_properties
0," <ans>
'''input
9 4 8
6 8 5 1 8 1 1 2 1
9 2
8 4
5 3
9 7
'''
from sys import stdin
import math
from copy import deepcopy
from collections import defaultdict


def process_offer(offers):
	aux = []
	for i in offers:
		temp = offers[i]
		temp.sort()
		aux.append([i, temp[-1]])

	aux = sorted(aux, key = lambda x: x[0])
	return aux


def make(first, second):
	return str(first) + ' ' + str(second)


def brute(arr, dp, offers, index, remain):
	#print(index, remain)
	if remain == 0:
		return 0

	if make(index, remain) in dp:
		return dp[make(index, remain)]

	min_cost = arr[index] + brute(arr, dp, offers, index + 1, remain - 1)
	for i in range(len(offers)):
		cost = 0
		if offers[i][0] <= remain:
			free = offers[i][1]
			for j in range(index + free, index + offers[i][0]):
				cost += arr[j]
			cost += brute(arr, dp, offers, index + offers[i][0], remain - offers[i][0])
			min_cost = min(min_cost, cost)
		else:
			break
	dp[make(index, remain)] = min_cost
	print(""index: "", index, ""remain: "", remain, ""min_cost: "", min_cost)
	return min_cost



# main starts
n, m, k = list(map(int, stdin.readline().split()))
arr = list(map(int, stdin.readline().split()))
arr.sort()
offers = defaultdict(list)
for _ in range(m):
	x, y = list(map(int, stdin.readline().split()))
	offers[x].append(y)

offers = process_offer(offers)
dp = dict()
brute(arr, dp, offers, 0, k)
#print(dp)

</ans>",0,{}
1," <ans>
def PrimeDecomp(N, ConcFlag):
 print(""N: "", str(N), ""ConcFlag: "", str(ConcFlag))
 if ConcFlag:
 if N <= 1:
 return [1], 1
 else:
 I = 2
 PrimeDec = []
 DivCount = 1
 while I * I <= N:
 Cnt = 0
 while N % I == 0:
 N //= I
 PrimeDec.append(I)
 DivCount *= (Cnt + 1)
 I += 1
 if N >= 2:
 PrimeDec.append(N)
 DivCount *= 2
 return PrimeDec, DivCount
 else:
 if N <= 1:
 return [1], [1], 1
 else:
 I = 2
 PrimeDec = []
 PrimeCnt = []
 DivCount = 1
 while I * I <= N:
 Cnt = 0
 while N % I == 0:
 N //= I
 Cnt += 1
 if Cnt >= 1:
 PrimeDec.append(I)
 PrimeCnt.append(Cnt)
 DivCount *= (Cnt + 1)
 I += 1
 if N >= 2:
 PrimeDec.append(N)
 PrimeCnt.append(1)
 DivCount *= 2
 return PrimeDec, PrimeCnt, DivCount

def DivisorFactorial(N, FactDec, FactCnt, MemoFlag, Mod, ModFlag):
 print(""N: "", str(N), ""MemoFlag: "", str(MemoFlag), ""Mod: "", str(Mod), ""ModFlag: "", str(ModFlag))
 if MemoFlag:
 if N <= 1:
 FactCnt = [1]
 FDivCnt = 1
 return FactDec, FactCnt, FDivCnt
 else:
 for TN in range(2, N + 1):
 PrimeDec, PrimeCnt, _ = PrimeDecomp(TN, False)
 for TP in range(0, len(PrimeDec)):
 if PrimeDec[TP] in set(FactDec):
 FactCnt[FactDec.index(PrimeDec[TP])] += PrimeCnt[TP]
 else:
 FactDec.append(PrimeDec[TP])
 FactCnt.append(PrimeCnt[TP])
 FDivCnt = 1
 for TF in FactCnt:
 FDivCnt = [FDivCnt * (TF + 1), (FDivCnt * (TF + 1)) % Mod][ModFlag]
 return FactDec, FactCnt, FDivCnt

FactDec, FactCnt, FDivCnt = DivisorFactorial(int(input()), [], [], False, 10**9 + 7, True)
 print(""FactDec: "", str(FactDec), ""FactCnt: "", str(FactCnt), ""FDivCnt: "", str(FDivCnt))
</ans>",0,{}
2," <ans>
from math import sqrt,gcd

def gen_primes():
 """""" Generate an infinite sequence of prime numbers.
 """"""
 #
 D = {}

 # The running integer that's checked for primeness
 q = 2

 while True:
 if q not in D:
 # q is a new prime.
 # Yield it and mark its first multiple that isn't
 # already marked in previous iterations
 #
 yield q
 D[q * q] = [q]
 else:
 # q is composite. D[q] is the list of primes that
 # divide it. Since we've reached q, we no longer
 # need it in the map, but we'll mark the next
 # multiples of its witnesses to prepare for larger
 # numbers
 #
 for p in D[q]:
 D.setdefault(p + q, []).append(p)
 del D[q]

 q += 1

print(""q: "", q)

def is_prime(n):
 if n<=1:
 return False
 if n == 2:
 return True
 if n % 2 ==0:
 return False
 return all(n%i for i in range(3,int(sqrt(n))+1))

print(""n: "", n)

def calculate_colors(n):
 primes = gen_primes()
 sqr_n = int(sqrt(n)) + 1
 if n == 1:
 return 1
 for p in primes:
 if n % p == 0:
 while n % p == 0:
 g= gcd(p,n)
 n = int(n//g)
 if n > 1:
 return 1
 else:
 return p
 if p > sqr_n:
 return n
 print(""n: "", n)
 print(""p: "", p)
 return n

n = int(input())
 print(""n: "", n)
 print(""Result: "", calculate_colors(n))
</ans>",0,{}
3," <ans>
import numpy as np
mod = 998244353

def poly_mul(f, g):
 print(""f: "", str(f), ""g: "", str(g))
 Lf = len(f); Lg = len(g); L = Lf + Lg - 1
 if Lf <= 16 or Lg <= 16:
 if Lf == 0 or Lg == 0:
 return np.zeros((0,), dtype=np.int64)
 return (np.convolve(f.astype(np.uint64), g.astype(np.uint64)) % mod).astype(np.int64)
 fft = np.fft.rfft; ifft = np.fft.irfft
 fft_len = 1 << L.bit_length()
 fl = f & (1 << 15) - 1; fh = f >> 15
 gl = g & (1 << 15) - 1; gh = g >> 15
 x = (ifft(fft(fl, fft_len) * fft(gl, fft_len))[:L] + 0.5).astype(np.int64) % mod
 y = (ifft(fft(fl+fh, fft_len) * fft(gl+gh, fft_len))[:L] + 0.5).astype(np.int64) % mod
 z = (ifft(fft(fh, fft_len) * fft(gh, fft_len))[:L] + 0.5).astype(np.int64) % mod
 print(""x: "", str(x), ""y: "", str(y), ""z: "", str(z))
 return (x + ((y - x - z) << 15) + (z << 30)) % mod

def poly_inv(fps, n=None):
 print(""fps: "", str(fps))
 assert fps[0] != 0
 if n is None:
 n = len(fps)
 res = np.zeros(1<<(n-1).bit_length(), dtype=np.int64)
 res[0] = pow(int(fps[0]), mod-2, mod)
 i = 1
 while i < n:
 i <<= 1
 res[:i] = ((res[:i]<<1) - poly_mul(poly_mul(res[:i>>1], res[:i>>1]), fps[:i])[:i]) % mod
 print(""res: "", str(res[:i]))
 return res[:n]

def poly_div(fps1, fps2):
 print(""fps1: "", str(fps1), ""fps2: "", str(fps2))
 n1, n2 = len(fps1), len(fps2)
 if n1 < n2:
 return np.zeros((0,), dtype=np.int64)
 n = n1 - n2 + 1
 res = poly_mul(fps1[-1:-n-1:-1], poly_inv(fps2[::-1], n))[n-1::-1]
 print(""res: "", str(res))
 return res % mod

def poly_mod(fps1, fps2):
 print(""fps1: "", str(fps1), ""fps2: "", str(fps2))
 n1, n2 = len(fps1), len(fps2)
 if n1 < n2:
 return fps1
 res = fps1[:n2-1] - poly_div(fps1, fps2)[:n2-1]
 print(""res: "", str(res))
 return res % mod

def multipoint_evaluation(fps, xs):
 print(""fps: "", str(fps), ""xs: "", str(xs))
 threshold = 8
 n_xs = len(xs)
 bit = (n_xs-1).bit_length()
 if bit <= threshold:
 res = np.zeros_like(xs)
 xs_cumprod = np.ones_like(xs)
 for coef in fps:
 res += xs_cumprod * coef
 xs_cumprod *= xs
 xs_cumprod %= mod
 return res
 k = 1<<bit
 fpss = np.zeros((bit+1, k+1), dtype=fps.dtype)
 fpss[0, :n_xs] = -xs % mod
 fpss[1, :k:2] = fpss[0, :k:2] * fpss[0, 1::2] % mod
 fpss[1, 1::2] = (fpss[0, :k:2] + fpss[0, 1::2]) % mod
 for i in range(1, bit):
 step = 2<<i
 half = step>>1
 for j in range(0, k, step):
 f1 = fpss[i, j:j+half+1].copy()
 f2 = fpss[i, j+half:j+step+1].copy()
 f1[-1] = f2[-1] = 1
 f = poly_mul(f1, f2)
 fpss[i+1, j:j+step] = f[:-1]
 print(""fpss[i+1]: "", str(fpss[i+1, j:j+step]))
 f = poly_mod(fps, f)
 fpss[-1, :len(f)] = f
 fpss[-1, len(f):] = 0
 for i in range(bit-1, threshold-1, -1):
 step = 2<<i
 half = step>>1
 for j in range(0, k, step):
 if j+half >= n:
 fpss[i, j:n] = fpss[i+1, j:n]
 continue
 f = fpss[i+1, j:min(j+step, n)]
 f1 = fpss[i, j:j+half+1].copy()
 f2 = fpss[i, j+half:min(j+step, n)+1].copy()
 f1[-1] = f2[-1] = 1
 fpss[i, j:min(j+step, n)] = (
 poly_mul(fpss[i, j:j+half], f2)
 + poly_mul(fpss[i, j+half:min(j+step, n)], f1)
 ) % mod
 print(""fpss[i]: "", str(fpss[i, j:min(j+step, n)]))
 xs = (-fpss[0, :k] % mod).reshape(-1, 1<<threshold)
 xs_cumprod = np.ones_like(xs)
 res = np.zeros_like(xs)
 for i in range(1<<threshold):
 res += fpss[threshold, i:k:1<<threshold, None] * xs_cumprod % mod
 xs_cumprod *= xs
 xs_cumprod %= mod
 return res.reshape(-1)[:n_xs] % mod

def poly_differential(fps):
 print(""fps: "", str(fps))
 return fps[1:] * np.arange(1, len(fps)) % mod

def lagrange_interpolation(X, Y, mod):
 print(""X: "", str(X), ""Y: "", str(Y))
 n = len(X)
 g = [0]*(n+1)
 g[0] = 1
 for i, x in enumerate(X):
 for j in range(i, -1, -1):
 g[j+1] += g[j] * (-x) % mod
 res = [0]*n
 for x, y in zip(X, Y):
 f = g[:]
 denom = 0
 v = 1
 pow_x = [1]
 for _ in range(n-1):
 v = v * x % mod
 pow_x.append(v)
 pow_x.reverse()
 for i, po in enumerate(pow_x):
 f_i = f[i]
 f[i+1] += f_i * x % mod
 denom = (denom + f_i * po) % mod
 denom_inv = pow(denom, mod-2, mod)
 for i, f_i in enumerate(f[:n]):
 res[i] += (f_i * y * denom_inv) % mod
 return [v % mod for v in res]

def polynomial_interpolation(xs, ys):
 print(""xs: "", str(xs), ""ys: "", str(ys))
 assert len(xs) == len(ys)
 threshold = 8
 n = len(xs)
 if n==1:
 return ys.copy()
 bit = (n-1).bit_length()
 if bit <= threshold:
 res = lagrange_interpolation(xs.tolist(), ys.tolist(), mod)
 return np.array(res[::-1], dtype=np.int64)
 k = 1<<bit
 fpss = np.zeros((bit+1, n+1), dtype=np.int64)
 fpss[0, :n] = -xs % mod
 for i in range(bit):
 step = 2 << i
 half = step >> 1
 for j in range(0, n, step):
 if j+half >= n:
 fpss[i+1, j:n] = fpss[i, j:n]
 continue
 f1 = fpss[i, j:j+half+1].copy()
 f2 = fpss[i, j+half:j+step+1].copy()
 f1[-1] = f2[-1] = 1
 f = poly_mul(f1, f2)
 fpss[i+1, j:j+len(f)-1] = f[:-1]
 fpss2 = np.zeros((bit+1, k+1), dtype=np.int64)
 fpss2[bit, :n] = poly_differential(f)
 for i in range(bit-1, threshold-1, -1):
 step = 2<<i
 half = step>>1
 for j in range(0, n, step):
 if j+half >= n:
 fpss2[i, j:n] = fpss2[i+1, j:n]
 continue
 f = fpss2[i+1, j:min(j+step, n)]
 f1 = fpss[i, j:j+half+1].copy()
 f2 = fpss[i, j+half:min(j+step, n)+1].copy()
 f1[-1] = f2[-1] = 1
 fpss2[i, j:min(j+step, n)] = (
 poly_mul(fpss[i, j:j+half], f2)
 + poly_mul(fpss[i, j+half:min(j+step, n)], f1)
 ) % mod
 xs = np.lib.stride_tricks.as_strided(xs, (k>>threshold, 1<<threshold), (8<<threshold, 8))
 xs_cumprod = np.ones_like(xs)
 f = np.zeros_like(xs)
 for i in range(1<<threshold):
 f += fpss2[threshold, i:k:1<<threshold, None] * xs_cumprod % mod
 xs_cumprod *= xs
 xs_cumprod %= mod
 f = f.ravel()
 for j in range(n):
 fpss2[0, j] = ys[j] * pow(int(f[j]), mod-2, mod) % mod
 for i in range(bit):
 step = 2 << i
 half = step >> 1
 for j in range(0, k, step):
 if j+half >= n:
 fpss2[i+1, j:n] = fpss2[i, j:n]
 continue
 f1 = fpss[i, j:j+half+1].copy()
 f2 = fpss[i, j+half:min(j+step, n)+1].copy()
 f1[-1] = f2[-1] = 1
 fpss2[i+1, j:min(j+step, n)] = (
 poly_mul(fpss[i, j:j+half], f2)
 + poly_mul(fpss[i, j+half:min(j+step, n)], f1)
 ) % mod
 return fpss2[bit, :n]

mod = int(input())
 A = np.array(input().split(), dtype=np.int64)
 X = np.arange(mod, dtype=np.int64)
 Ans = polynomial_interpolation(X, A)
 print(""Ans: "", ("" "".join(map(str, Ans.tolist()))))
</ans>",0,{}
4," <ans>
import math
from collections import defaultdict
import sys

def main():
n, m = list(map(int, input().split()))
print(""n: "", n, ""m: "", m)
k = list(map(int, input().split()))
print(""k: "", str(k))
sales = [(0, 0)] * m
print(""sales: "", str(sales))
for i in range(m):
a, b = list(map(int, input().split()))
sales[i] = (b, a)
print(""sales after assignment: "", str(sales))

def check(days):
last_sale = {}
print(""Initializing last_sale:"")
for sale in sales:
if sale[1] <= days:
if sale[0] not in last_sale or sale[1] > last_sale[sale[0]]:
last_sale[sale[0]] = sale[1]
print(""last_sale after assignment: "", str(last_sale))

date_last_sales = {}
for t, d in list(last_sale.items()):
if d not in date_last_sales:
date_last_sales[d] = [t]
else:
date_last_sales[d].append(t)

balance = 0
required = [0] + k.copy()

end = 0
for d in range(1, days+1):
balance += 1
if d in date_last_sales:
for t in date_last_sales[d]:
if required[t] > 0:
if required[t] > balance:
end += required[t] - balance
balance -= min(required[t], balance)
required[t] = 0
if d == days: # last day
for r in required:
if r > 0:
end += r
print(""end: "", end)
print(""balance: "", balance)
if 2*end <= balance:
print(""days: "", days)
return
days -= 1

total = sum(k)
print(""total: "", total)
hi = 2*total
lo = 1

while lo + 1 < hi:
mid = (lo + hi) // 2
if check(mid):
hi = mid
else:
lo = mid

if check(lo):
print(""days: "", lo)
else:
print(""days: "", hi)

def __starting_point():
main()

__starting_point()
</ans>",0,{}
5," <ans>
import sys
from collections import deque
import heapq
input = sys.stdin.readline

N = int(input())
EDGE = [list(map(int, input().split())) for i in range(N - 1)]

EDGELIST = [[] for i in range(N + 1)]

print(""N: "", N)
for i, j in EDGE:
    EDGELIST[i].append(j)
    EDGELIST[j].append(i)
    print(""EDGE[{}], EDGE[{}]: {} and {}"".format(i, j, i, j))

REDG = [None for i in range(N + 1)]
QUE = deque([1])
check = [0] * (N + 1)
DEPTH = [None] * (N + 1)
i = 0
while QUE:
    NQUE = deque()
    i += 1

    while QUE:
        x = QUE.pop()
        DEPTH[x] = i
        check[x] = 1
        for to in EDGELIST[x]:
            if check[to] == 1:
                continue
            else:
                REDG[to] = x
                NQUE.append(to)
    QUE = NQUE

check = [0] * (N + 1)
check[1] = 1
# NEXT = []

# for i in EDGES[1]:
#     check[i] = 1
#     NEXT.append(i)

# for j in NEXT:
#     for k in EDGES[j]:
#         check[k] = 1

LEAF = []
for i in range(2, N + 1):
    if len(EDGELIST[i]) == 1:
        LEAF.append((-DEPTH[i], i))
        print(""LEAF: {} and {}"".format(-DEPTH[i], i))

QUE = LEAF
heapq.heapify(QUE)
ANS = 0

while QUE:
    dep, x = heapq.heappop(QUE)
    if check[x] != 0 or dep >=-3:
        continue

    if check[REDG[x]] == 2:
        continue

    if check[x] == 0:
        check[x] = 1
    if check[REDG[REDG[x]]] == 0:
        check[REDG[REDG[x]]] = 1
    check[REDG[x]] = 2
    heapq.heappush(QUE, (-DEPTH[REDG[REDG[REDG[x]]]], REDG[REDG[REDG[x]]]))
    ANS += 1
    print(""x: {}, QUE: {}, check: {}"".format(x, QUE, check))

print(ANS)
</ans>",0,{}
6," <ans>
class UnionFindVerSize():
    def __init__(self, N):
        self._parent = [n for n in range(0, N)]
        self._size = [1] * N
        print(""N: "", N)

    def find_root(self, x):
        if self._parent[x] == x: return x
        self._parent[x] = self.find_root(self._parent[x])
        print(""x: "", x, ""root: "", self._parent[x])
        return self._parent[x]

    def unite(self, x, y):
        gx = self.find_root(x)
        gy = self.find_root(y)
        if gx == gy: return

        if self._size[gx] < self._size[gy]:
            self._parent[gx] = gy
            self._size[gy] += self._size[gx]
            print(""gx: "", gx, ""gy: "", gy)
        else:
            self._parent[gy] = gx
            self._size[gx] += self._size[gy]
            print(""gy: "", gy, ""gx: "", gx)

    def get_size(self, x):
        return self._size[self.find_root(x)]

    def is_same_group(self, x, y):
        return self.find_root(x) == self.find_root(y)

    def calc_group_num(self):
        N = len(self._parent)
        ans = 0
        for i in range(N):
            if self.find_root(i) == i:
                ans += 1
        print(""Number of groups: "", ans)
        return ans

import sys

input=sys.stdin.readline

n,m=list(map(int,input().split()))
print(""n: "", n)
print(""m: "", m)
t=list(map(int,input().split()))
t=[t[i]-1 for i in range(n)]
print(""t: "", t)
query=[]
for i in range(m-1):
    a,b=list(map(int,input().split()))
    query.append((a-1,b-1))
print(""query: "", query)

tower=[[] for i in range(m)]
for i in range(n):
    id=t[i]
    if not tower[id]:
        tower[id].append((i+1,i+1))
    else:
        start,end=tower[id].pop()
        if end+1==i+1:
            tower[id].append((start,i+1))
        else:
            tower[id].append((start,end))
            tower[id].append((i+1,i+1))

#print(tower)
test=[]
for i in range(len(test)):
    id1,id2=test[i]
    print(""test[i]: "", id1, id2)
    test[i]=(id1, id2)

#print(test)
start=[-1]*len(test)
end=[m-1]*len(test)
temp=[[] for i in range(m)]
for i in range(len(test)):
    T=(end[i]+start[i])//2
    temp[T].append(i)

def parabisect():
    uf=UnionFindVerSize(m)
    for i in range(m-1):
        a,b=query[i]
        uf.unite(a,b)
        while temp[i]:
            j=temp[i].pop()
            id1,id2=test[j]
            if uf.is_same_group(id1,id2):
                end[j]=i
            else:
                start[j]=i
            if end[j]-start[j]>1:
                T=(end[j]+start[j])//2
                temp[T].append(j)

for i in range(20):
    parabisect()

res=[0]*m
for i in range(len(test)):
    res[end[i]+1]-=1

for i in range(1,m):
    res[i]+=res[i-1]

for i in range(m):
    print(len(test)+res[i])
</ans>",0,{}
7," <ans>
def input(): return sys.stdin.readline().rstrip(""\r\n"")

n, m = map(int, input().split())
inc = {}
print(""n, m: "", n, m)

l = [None for i in range(n*m)]
print(""l: "", l)

for i in range(n):
 t = int(input())
 print(""t: "", t)
 for j in range(m):
 ipt = input()
 l[t*m+j] = ipt
 print(""ipt: "", ipt)
 if len(inc)==26:continue
 for q in ipt:
 inc.setdefault(q, 0)
 print(""inc: "", inc)

d = {}
print(""d: "", d)

for p, i in enumerate(l[1:]):
 for j in range(min(len(l[p]), len(i))):
 if l[p][j] != i[j]:
 ae(i[j], l[p][j])
 print(""i[j], l[p][j]: "", i[j], l[p][j])
 break
 if len(i)-1==j and len(l[p])-1 > j:
 print(""IMPOSSIBLE"")
 return

ans = []
dq = []
print(""ans, dq: "", ans, dq)
ptr = 0

ninc = {}

for k, v in inc.items():
 if v == 0:
 dq.append(k)
 print(""dq: "", dq)
 inc[k] = v
 print(""inc: "", inc)

inc = ninc

while ptr != len(dq):
 fst = dq[ptr]
 ans.append(fst)
 print(""ans: "", ans)
 for i in d.get(fst, []):
 inc[i] -= 1
 print(""inc: "", inc)
 if inc[i] == 0:
 dq.append(i)
 inc.pop(i)
 print(""dq: "", dq)
 ptr += 1

if len(inc):
 print(""IMPOSSIBLE"")
 return

print(*reversed(ans), sep='')
</ans>",0,{}
8," <ans>
t = ii()
print(""t: "", str(t))
for _ in range(t):
 r, g, b = sorted(mi())
 print(""r: "", str(r), ""g: "", str(g), ""b: "", str(b))
 if b > r + g + 1:
 print(""No"")
 else:
 print(""Yes"")
</ans>",0,{}
9," <ans>
def get_inputs(test_inputs=None):
    print(""test_inputs: "", str(test_inputs))
    it = iter(test_inputs.split(""\n"")) if test_inputs else None

    def uinput():
        """""" Unit-testable input function wrapper """"""
        if it:
            return next(it)
        else:
            return sys.stdin.readline()

    # Getting string inputs. Place all uinput() calls here
    imax = 3
    numa, numb = [], []
    for i in range(imax):
        numa.append(int(uinput()))
        numb.append(int(uinput()))

    print(""numa: "", str(numa))
    print(""numb: "", str(numb))
    return [numa, numb]

def calculate(test_inputs=None):
    """""" Base class calculate method wrapper """"""
    d = Art(get_inputs(test_inputs))
    print(""d: "", str(d))
    return d.calculate()

class unitTests(unittest.TestCase):

    def test_Art_class__basic_functions(self):
        """""" Art class basic functions testing """"""
        # Constructor test
        d = Art([[3, 1, 2], [2, 3, 1]])
        self.assertEqual(d.numa[0], 3)

        self.assertEqual(d.r, (3, 2))
        self.assertEqual(d.rmax, (3, 1))
        self.assertEqual(d.rmin, (2, 1))

        self.assertEqual(d.remain, [(3, 1)])

    def test_sample_tests(self):
        """""" Quiz sample tests. Add \n to separate lines """"""

        # Sample test 1
        test = ""3 2\n1 3\n2 1""
        self.assertEqual(calculate(test), ""YES"")
        self.assertEqual(list(get_inputs(test)[0]), [3, 1, 2])
        self.assertEqual(list(get_inputs(test)[1]), [2, 3, 1])

        # Sample test 2
        test = ""5 5\n3 3\n3 3""
        self.assertEqual(calculate(test), ""NO"")

        # Sample test 3
        test = ""4 2\n2 3\n1 2""
        self.assertEqual(calculate(test), ""YES"")

        # My test 4
        test = ""5 5\n1 5\n1 5""
        self.assertEqual(calculate(test), ""YES"")

    def test_time_limit_test(self):
        """""" Quiz time limit test """"""

        import random

        # Time limit test
        test = ""1000 1000""
        test += ""\n900 900""
        test += ""\n50 50""

        import timeit

        start = timeit.default_timer()
        args = get_inputs(test)

        init = timeit.default_timer()
        d = Art(args)

        calc = timeit.default_timer()
        d.calculate()

        stop = timeit.default_timer()
        print((
            ""\nTime Test: "" +
            ""{0:.3f}s (inp {1:.3f}s init {2:.3f}s calc {3:.3f}s)"".
            format(stop-start, init-start, calc-init, stop-calc)))
</ans>",0,{}
