index,generated,result,format_properties
0," <summary>
1. The transport properties of nonlinear non-equilibrium dynamical systems, specifically ratchet systems, are not well-understood due to their complex phase-space structures and sensitivity to parameters.
2. Recent interest in ratchet systems stems from their potential for extracting useful work from unbiased noisy fluctuations, as observed in biological systems.
3. Chaotic and Hamiltonian ratchets have received attention due to their behavior, which is defined by sensitivity to initial conditions and parameters.
4. The phase-space structure of these systems is typically complicated, consisting of stability islands embedded in chaotic seas or co-existing attractors that can change significantly with parameter variations.
5. Mateos considered a specific ratchet model with a periodically forced underdamped particle and showed that the ensemble average velocity could be positive or negative depending on the amplitude of the periodic forcing.
6. He conjectured a connection between current reversals and bifurcations from chaotic to periodic behavior in the trajectory dynamics.
7. Barbi and Salerno argued against this conjecture, showing that current reversals could occur in the absence of bifurcations and proposed an alternative explanation related to the stability properties of rotating periodic orbits.
8. This study investigates the current in a chaotic deterministic ratchet, specifically the same system as considered by Mateos and Barbi and Salerno. It shows that the current depends significantly on the details of the initial ensemble and the importance of discarding transients.
</summary>

<summary>
1. The text discusses the transport properties of nonlinear non-equilibrium dynamical systems, specifically ratchet systems, which are asymmetric periodic potentials where an ensemble of particles experiences directed transport.
2. The interest in ratchet systems arises from their potential for extracting useful work from unbiased noisy fluctuations, as seen in biological systems.
3. Recent attention has focused on chaotic and Hamiltonian ratchets due to their complex behavior, which is sensitive to initial conditions and parameters.
4. The phase-space structure of these systems is typically complicated, consisting of stability islands embedded in chaotic seas or co-existing attractors that can change significantly with parameter variations.
5. Mateos considered a specific ratchet model with a periodically forced underdamped particle and showed that the ensemble average velocity could be positive or negative depending on",0,"{'n_points': 8, 'n_sentences_per_point': 4, 'n_sentences_total': 32}"
1," <summary>
1. The text discusses the results of observations and simulations of six extrasolar planetary systems, each with a planet having high eccentricity.
2. The planet-planet scattering method is proposed to explain the architecture of some planetary systems, including the presence of a hot Jupiter and two jovian planets in moderately eccentric orbits.
3. The Kozai mechanism is suggested to explain the high eccentricity of certain planets, particularly those with large inclination angles between their orbital planes and those of stellar companions.
4. Six of the 15 stars hosting a planet with high eccentricity also have stellar-mass companions in wide binary orbits.
5. The Kozai mechanism can induce large-amplitude oscillations in the eccentricity of a planet if the inclination angle between its orbit and that of the stellar companion is large.
6. The text presents updated orbital fits, dynamical simulations, and detection limit computations for the six systems, using data from the Hobby-Eberly Telescope (HET) and other sources.
7. The simulations show that test particles can survive in stable orbits in the presence of a planet, but the regions of stability depend on the planet's mass, eccentricity, and the distance from the star.
8. The text also discusses the limitations of current radial velocity surveys for detecting additional planets in these systems and the importance of considering the sampling strategy and intrinsic scatter in the data.
9. The authors conclude that the observations and simulations provide insights into the formation and evolution of extrasolar planetary systems, highlighting the importance of considering multiple formation scenarios and the role of stellar companions in shaping planetary architectures.
</summary>",1,"{'n_points': 9, 'n_sentences_per_point': 1, 'n_sentences_total': 9}"
2," <summary>
1. The Large Electron-Positron (LEP) experiments have tested the Standard Model (SM) at the quantum level, measuring the decay of the @xmath1-boson into fermion pairs with an accuracy of one part in ten thousand. The agreement of LEP data with SM predictions has severely constrained the behavior of new physics at the @xmath1-pole.
2. The physics of the @xmath1-boson is expected to play a central role in particle physics again if the next generation @xmath1 factory comes true, with generated events several orders of magnitude higher than that of the LEP. This factory can be realized in the gigaz option of the International Linear Collider (ILC).
3. The ILC is a proposed electron-positron collider with a tunable energy ranging from @xmath12 to @xmath13 and polarized beams in its first phase. The gigaz option corresponds to its operation on top of the resonance of the @xmath1 boson by adding a bypass to its main beam line.
4. With the high luminosity and cross section at the resonance of the @xmath1 boson, about @xmath16 @xmath1 events can be generated in an operational year of gigaz, which implies that the expected sensitivity to the branching ratio of the @xmath1-decay can be improved from @xmath18 at the LEP to @xmath19 at the gigaz.
5. Among the rare @xmath1-decays, the flavor changing (fc) processes were most extensively studied to explore the flavor texture in new physics. The branching ratios of these processes in new physics models can be greatly enhanced for lepton flavor violation decays and quark flavor violation decays.
6. The study extends previous studies of these decays to some new models and investigates them altogether. The motivation comes from recent studies on the singlet extension of the Minimal Supersymmetric Standard Model (MSSM), where a light cp-odd higgs boson with singlet-dominant component may naturally arise. These non-minimal supersymmetric models can avoid the @xmath25-problem and alleviate the little hierarchy.
</summary>

The text discusses the achievements of LEP experiments in testing the Standard Model",0,"{'n_points': 6, 'n_sentences_per_point': 3, 'n_sentences_total': 18}"
3," <summary>
1. Supersymmetry (SUSY) is an extension of the Standard Model that solves the naturalness problem and predicts gauge coupling unification at the GUT scale. SUSY particles, including superpartners of Standard Model particles, are expected to have masses below the TeV range and will be discovered at the Tevatron or Large Hadron Collider (LHC). The mechanism of SUSY breaking and its mediation to the Minimal Supersymmetric Standard Model (MSSM) sector is an important problem in SUSY phenomenology.
2. In many models, SUSY breaking dynamics is related to high energy physics far above the electroweak (EW) scale, such as the GUT or Planck scale. Once the mechanism is specified, the mass spectrum and flavor structure of SUSY particles at the EW scale can be determined by a small number of parameters. This makes it possible to confirm or exclude the mechanism by direct search or flavor-changing-neutral-current (FCNC) experiments in the near future.
3. If SUSY breaking is mediated by gravity, the structure of SUSY breaking masses of scalars is determined by the Kähler potential. In the present paper, the authors focus on the no-scale type Kähler potential, which separates the hidden sector and observable sector fields as in equation ([eq : noscalekahler ]) in the paper. This type of Kähler potential was originally investigated in [@xcite with @xmath5 and @xmath6]. The no-scale structure of the Kähler potential is obtained in various models and has been shown to be realized naturally in some classes of string theory.
4. The authors of the paper investigate the indication of the current higgs mass and FCNC constraint on SUSY models with the no-scale boundary condition. They first consider the minimal case where universal gaugino masses are given at the gut scale. This scenario is already constrained by direct search at LEP and the cosmological bound severely under the assumption of exact R-parity. The authors show that the higgs mass bound and FCNC constraint further exclude almost all the parameter region, leaving a very narrow allowed region for @xmath48. Next, they consider the case that the boundary condition is given above the gut scale. Since the cosmological constraint is not severe, a wide",0,"{'n_points': 4, 'n_sentences_per_point': 3, 'n_sentences_total': 12}"
4," <summary>
1. Colliding plane waves (CPW) result in spacelike singularities, but these singularities can be weakened by endowing the waves with a relative cross polarization or by coupling them with an electromagnetic field.
2. Chandrasekhar and Xanthopoulos (CX) gave a solution with a Cauchy horizon (CH) instead of a spacelike singularity, initiating a literature on the stability of horizons formed in CPW.
3. Yurtsever showed that the CH formed in spacetimes of CPW is unstable against plane-symmetric perturbations, and CX revealed an analogous result through linear perturbation analysis.
4. The electromagnetic field itself plays a role in weakening the strength of a singularity in CPW, and the collision of pure electromagnetic waves has a special significance regarding singularity formation.
5. Bell and Szekeres gave a solution describing the collision of two linearly polarized step electromagnetic waves, and the singularity (a CH) formed in the interaction region was shown to be removable by a coordinate transformation.
6. However, essential curvature singularities remain on the null boundaries, which cannot be removed by any means.
7. Cross polarization and the electromagnetic field both influence the nature of the resulting singularity, leading to the pursuit of cross-polarized versions of solutions.
8. The cpbs solution, which has the nice feature that the weyl scalars are all regular in the interaction region, was chosen as a test ground for studying the validity of a CH stability conjecture proposed by Helliwell and Konkowski.
9. The paper explores the spacetimes of a) single plane waves with added colliding test fields and b) colliding plane waves having non-singular interaction regions with test field added, and calculates the weyl and maxwell scalars for each case.
</summary>",1,"{'n_points': 9, 'n_sentences_per_point': 1, 'n_sentences_total': 9}"
5," <summary>
1. Deep X-ray surveys, such as the Chandra Deep Field-North (CDF-N), have recently extended to cosmologically interesting distances, detecting normal galaxies with X-ray emission below 0.52 keV fluxes. These normal galaxies contribute significantly to the diffuse X-ray background (XRB), making up to 51% of its flux in the 0.52 keV band.
2. The investigation of the typical galaxy's X-ray emission, whether dominated by a population of X-ray binaries, hot interstellar gas, or even a low-luminosity active galactic nucleus (AGN), is an essential function of deep X-ray surveys. Normal galaxies are expected to be the most numerous extragalactic X-ray sources in the universe and dominate the number counts at 0.52 keV fluxes.
3. The CDF-N survey has reached the depths necessary to detect individually many normal galaxies, enabling the study of their X-ray properties and evolution. Reaching larger look-back times presents the exciting possibility of detecting the bulk X-ray response to the heightened star-formation rate at high redshifts.
4. The X-ray luminosity per unit optical luminosity of normal spiral galaxies is expected to be larger in the past due to the increased energy output of X-ray binary populations at high redshifts. Measuring the X-ray luminosities of typical galaxies can constrain models of X-ray binary production in galaxies.
5. Statistical methods, such as stacking, are used to estimate the X-ray emission of normal galaxies at their extremely faint flux levels. The CDF-N data provide extremely deep X-ray coverage over the area of interest, and the point-source detection limits in this region are 56 erg s-1 for the lowest redshift bin and 35 erg s-1 for the highest redshift bin. The study places observational constraints on the evolution of the ratio of X-ray luminosity to optical luminosity of normal spiral galaxies up to high redshifts and the fraction of the diffuse XRB explained by galaxies lingering just below the CDF-N detection threshold.
</summary>",0,"{'n_points': 5, 'n_sentences_per_point': 4, 'n_sentences_total': 20}"
6," <summary>
1. Quantum systems can exhibit correlations that cannot be explained by classical descriptions, with degrees of non-classicality ranging from non-separable to bell-nonlocal states.
2. Non-separable or entangled states cannot be expressed as a mixture of product states of their constituents, and their measurement correlations cannot be explained by a local hidden state model.
3. Bell-nonlocal states violate Bell inequalities, demonstrating the violation of local causality and allowing two spatially separated parties to verify the existence of entanglement if they cannot trust each other or their detectors.
4. EPR-steerability is a weaker form of non-classical correlation than bell-nonlocality, allowing one party to steer the state of the other by measurements on their own system.
5. EPR-steerability was only formalized eight years ago and is the only way to verify the existence of entanglement if one party or their detectors cannot be trusted.
6. The quantum steering ellipsoid formalism is used to investigate the epr-steerability of two-qubit states whose reduced states are maximally mixed, called t-states.
7. A deterministic local hidden state model is developed for projective measurements on these t-states using the steering ellipsoid formalism, and two sufficient conditions for t-states to be epr-steerable are obtained via epr-steering inequalities.
8. These sufficient conditions touch the necessary condition in some regions of the space of t-states, and the gap between them is small elsewhere.
9. The paper is organized into sections discussing the notions of non-locality, the quantum steering ellipsoid formalism, and the derivation of asymmetric steering inequalities for arbitrary two-qubit states.
</summary>",0,"{'n_points': 9, 'n_sentences_per_point': 3, 'n_sentences_total': 27}"
7," <summary>
1. In 1994, a scheme was proposed to realize a classical universal logic gate (NAND) using three spins placed in a weak magnetic field.
2. The system consists of three quantum dots, and exchange interaction is allowed only between nearest neighbor spins.
3. The spin orientation in each quantum dot becomes a binary variable, with two possible states: parallel or anti-parallel to the applied magnetic field.
4. In the presence of exchange interaction between two electrons confined to two separate potentials, the anti-ferromagnetic ordering (two neighboring spins are anti-parallel) is preferred over the ferromagnetic ordering (two spins are parallel).
5. The ground state of the array has the spin configuration shown in the figure, with ""upspin"" being the spin orientation directed along the magnetic field and ""downspin"" the opposite orientation.
6. Encoding logic 1 in the upspin state and considering the two edge dots as input ports and the middle dot as the output port, the NAND gate truth table was realized.
7. However, the system has a long-lived metastable state, which can prevent decay to the global ground state, causing potential issues for high-speed logic operations.
</summary>",1,"{'n_points': 7, 'n_sentences_per_point': 1, 'n_sentences_total': 7}"
8," <summary>
1. Cataclysmic variables (CVs) are short-period binary systems consisting of a white dwarf primary and a low-mass main sequence secondary. The secondary fills its Roche lobe and transfers mass to the white dwarf through the inner Lagrangian point. The main features of the orbital period distribution of CVs with hydrogen-rich donors include the lack of systems in the 2-3 hr period range (the period gap) and a sharp cut-off at around 77 minutes. Theoretical models have not been able to reproduce the precise position of the short-period cut-off and the observed shape of the CV orbital period distribution near this cut-off.
2. Systems that evolve under the influence of gravitational radiation (GR) as the only sink of orbital angular momentum reach a minimum period at around 65 minutes. The probability of finding a system within a given period range is proportional to the time taken to evolve through this region, leading to an accumulation of systems (a spike) at the minimum period. However, no such spike is present in the observed distribution. The orbital period evolution reflects the radius evolution of the mass donor, which in turn is governed by two competing effects: mass transfer and thermal relaxation. The minimum period occurs where the mass transfer time and the thermal (Kelvin-Helmholtz) time are about equal.
3. To address the mismatch between the theoretical and observed minimum orbital period in CVs, this paper investigates possible solutions, including increasing the mass transfer rate and introducing a spread of period minimum values in the CV population. The mass transfer rate can be written as the sum of two terms: the systemic angular momentum loss rate, which is independent of mass transfer, and an explicit function of the mass transfer rate. The authors consider the general case in which the angular momentum loss mechanism, along with nova mass ejections, causes a fraction of the transferred mass to leave the system. They employ a generic prescription for the angular momentum loss mechanism and present detailed calculations of the long-term evolution of CVs.
</summary>",0,"{'n_points': 3, 'n_sentences_per_point': 4, 'n_sentences_total': 12}"
9," <summary>
1. The Stephan's Quintet (SQ) system is a strongly interacting compact group that has produced a large-scale intergalactic shock wave, first observed in radio continuum and later in X-ray emissions.
2. The shock wave is believed to be caused by the high-velocity collision of an intruder galaxy, NGC 7318b, with the intergalactic medium of the group.
3. Optical emission line ratios and broad linewidths provide evidence that the region is powered by strong shocks and not star formation.
4. The main elements of SQ include a primary shock, NGC 7318b (the intruder galaxy), a large Seyfert 2 galaxy, and other group members. A peculiar extranuclear star formation region, SQ-a, is located at the extreme northern end of the main shock wave.
5. A recent model suggests that h@xmath9 formation occurs out of the multiphase, shocked gas, and an efficient cooling channel for high-speed shocks as an alternative to x-ray emission.
6. Since the SQ detection, several other systems exhibiting similarly strong h@xmath9 emission have been discovered. Mechanical heating driven by radio jet interaction with the host galaxy ISM is the favored mechanism for h@xmath5  emission in these systems.
7. The large-scale (~30 kpc) shock wave in SQ is well-suited for studying nearby prototypes, which may provide valuable insight into the nature of more distant systems. In this paper, the authors extend single-point observations to full spectral maps using the IRS instrument on Spitzer.
</summary>

Additional points:

8. The spectral cubes were used to extract maps of all the pure rotational emission lines of molecular hydrogen that were detected, namely the 0-0 s(0)28.22, s(1)17.03, s(2)12.28, s(3)9.66, s(4)8.03, and s(5)6.91 lines.
9. The s(0) and s(1) lines were mapped by the ll modules, while s(2) through s(5) transitions were mapped by the sl modules of the I",0,"{'n_points': 7, 'n_sentences_per_point': 2, 'n_sentences_total': 14}"
