index,generated,result
0," <summary>
• The text discusses the transport properties of non-equilibrium dynamical systems, specifically ratchet systems with asymmetric periodic potentials and chaotic behavior.
• The interest in ratchet systems comes from potential applications in extracting work from unbiased noisy fluctuations, as seen in biological systems.
• Chaotic systems have complex phase space structures with stability islands and co-existing attractors that can change significantly with parameter variations.
• Mateos considered a specific ratchet model with a periodically forced underdamped particle and showed that the current could reverse direction with bifurcations from chaotic to periodic behavior.
• Barbi and Salerno argued against Mateos' conjecture, showing current reversals without bifurcations and proposing an alternative explanation related to stability properties of rotating periodic orbits.
• The text emphasizes the importance of considering ensemble behavior and the impact of ensemble size, location, spread, and transience on the current.
• The authors find that bifurcations correspond to sudden current changes, not necessarily reversals of direction, and that not all current reversals are associated with bifurcations.
• The text acknowledges open questions regarding the conditions under which these heuristics apply or fail.
</summary>",1
1," <summary>

- The text discusses the results of observations and simulations of six extrasolar planetary systems, all of which host planets with high eccentricities.
- The planet-planet scattering method is proposed to explain the architecture of some of these systems, where multiple jovian planets form and interact, leaving one in an eccentric orbit and potentially ejecting the other.
- The Kozai mechanism is suggested to explain the high eccentricity of certain planets, which can induce large-amplitude oscillations in the eccentricity of a planet if the inclination angle between the planetary orbit and a stellar companion is large.
- Six of the 15 stars hosting a planet with high eccentricity also have stellar-mass companions in wide binary orbits.
- The Kozai mechanism has been proposed to explain the high eccentricity of two specific planets, 16 Cyg bb and hd 80606b.
- The text presents updated orbital fits, dynamical simulations, and detection limit computations for the six systems.
- The simulations show that there are regions in which additional objects can exist, and combining these simulations with detection limits computed using new high-precision HET data can rule out additional short-period planets down to a few Neptune masses in the dynamically stable regions.
- The text also discusses the limitations of the observations and the challenges of determining useful companion limits for some of the planetary systems.
- The research was supported by grants from NASA and the Terrestrial Planet Finder Foundation Science Program.
</summary>

Additionally, the text mentions that the Hobby-Eberly Telescope (HET) was used for observations and that the detected planets were discovered using observations from Lick, Keck, HJS, and HET. The text also provides the orbital parameters and masses of the detected planets.",0
2," <summary>

- The text discusses the study of rare decays of the @xmath1-boson in various new physics models, specifically the type-ii 2hdm, lepton-specific 2hdm, nmssm, and nmssm. The focus is on decays into a light cp-odd higgs boson and their potential to probe new physics.
- The text mentions the motivation for studying these decays due to the high expected sensitivity of the next generation @xmath1 factory, which can generate several orders of magnitude more events than LEP. The gigaz option of the International Linear Collider (ILC) is mentioned as a potential realization of this factory.
- The text discusses the constraints on the behavior of new physics at the @xmath1-pole from LEP experiments, which have severely limited the study of new physics at this energy scale.
- The text discusses the potential role of the physics of the @xmath1-boson in the future of particle physics, particularly in the context of the next generation @xmath1 factory.
- The text discusses the rare decays of the @xmath1-boson into light higgs bosons and their potential to probe new physics. It mentions previous studies of these decays and the potential for enhanced rates in new physics models.
- The text discusses the motivation for studying the singlet extension of the MSSM, specifically the next-to-minimal supersymmetric standard model (NMSSM) and the nearly minimal supersymmetric standard model (NMSSM), and their potential to avoid the @xmath25-problem and alleviate the little hierarchy problem.
</summary>

Note: The text contains several equations and references that have not been included in the summary for brevity.",0
3," <summary>

- The no-scale supersymmetry (SUSY) scenario is an attractive extension of the Standard Model that predicts the existence of superpartners of Standard Model particles with masses below the TeV range. The mechanism of SUSY breaking and its mediation to the Minimal Supersymmetric Standard Model (MSSM) sector is a major issue in SUSY phenomenology.
- The no-scale type Khler potential is a solution to the SUSY breaking problem, which predicts gauge coupling unification at the GUT scale and solves the naturalness problem. It also implies flavor blind couplings between the hidden sector and the observable sector, suppressing contributions to flavor-changing neutral currents.
- The no-scale scenario has been shown to be realized in various models, including weakly coupled heterotic string theory and the sequestered sector scenario. The mass spectrum and flavor structure of SUSY particles at the electroweak scale can be determined by a small number of parameters once the mechanism of SUSY breaking is specified.
- The paper focuses on the no-scale type Khler potential and its implications for the SUSY flavor problem. It also discusses the current limits from the lightest Higgs mass and the branching ratio for the decay of the Z boson to invisible particles, and shows that almost all the parameter region is excluded when universal gaugino masses are given at the gut scale. However, relatively large parameter regions are allowed when the boundary condition is given above the gut scale or when non-universal gaugino masses are given at the gut scale, especially in the higgsino-like neutralino lsp case. The paper also considers the possibility of discovering SUSY particles at the Tevatron or Large Hadron Collider (LHC) and discusses the implications for collider phenomenology.
</summary>

The text discusses the no-scale supersymmetry (SUSY) scenario, which is an attractive extension of the Standard Model that predicts the existence of superpartners of Standard Model particles with masses below the TeV range. The mechanism of SUSY breaking and its mediation to the Minimal Supersymmetric Standard Model (MSSM) sector is a major issue in SUSY phenomenology. The no-scale type Khler potential is a solution to the SUSY breaking problem, which predicts gauge coupling un",0
4," <summary>

- Colliding plane waves (CPW) result in spacelike singularities, but these singularities can be weakened by endowing the waves with a relative cross polarization or by coupling them with an electromagnetic (EM) field.
- Chandrasekhar and Xanthopoulos (CX) gave a solution that possesses a Cauchy horizon (CH) instead of a spacelike singularity.
- Yurtsever showed that the CH formed in spacetimes of CPW is unstable against plane-symmetric perturbations, and CX's solution also reveals an analogous result.
- Cross polarization and the EM field both play roles in the nature of resulting singularities, so it is worth pursuing these features together.
- The authors choose the cross polarized version of the Bell-Szekeres (BS) solution as a test ground to justify the validity of a CH stability conjecture proposed previously by Helliwell and Konkowski.
- The paper is organized into sections on reviewing the CPBS solution, geodesics and test EM and scalar field analyses, an exact back reaction calculation for the collision of cross polarized EM field coupled with a scalar field, and the insertion of test null dusts to the background CPBS spacetime.
- The metric that describes collision of EM waves with cross polarization was found to be given by equation (1) in the text, which is a minimal extension of the BS metric.
- The authors find that the real part of the weyl scalar is given by equation (14) in the text, which reduces to the singularity form of the BS spacetime. The same singularity remains unaffected by the introduction of cross polarization.
- The authors investigate the possible singularities of metric (1) and find that the only scalar curvature singularity is on the null boundaries, and the singularity structure in the incoming region is a quasiregular (QR) singularity. They express geodesics and behavior of test EM and scalar fields by calculating stress-energy tensor in local and ppon frames to test the stability of this QR singularity.
</summary>",0
5," <summary>
• The text discusses a study using Chandra X-ray observations of normal galaxies in the deep field surveys, which have detected significant numbers of normal galaxies contributing to the diffuse X-ray background.
• The study focuses on galaxies at redshifts between 0.5 and 1.5, using both spectroscopic and photometric redshifts for identification.
• The authors investigate the evolution of the ratio of X-ray luminosity to optical luminosity of normal spiral galaxies and the fraction of the diffuse X-ray background explained by galaxies.
• The results show that the average X-ray luminosity of galaxies has not evolved significantly by a factor of less than 1.73 by redshift 1.5, regardless of exclusion or inclusion of X-ray detected objects.
• The authors suggest that many of the unidentified X-ray sources in deep surveys could be spiral galaxies, and that future ACIS exposures of longer durations could detect these objects.
</summary>",1
6," <summary>

- Quantum systems can exhibit correlations that cannot be explained by classical descriptions, with degrees of non-classicality ranging from non-separable (entangled) states to Bell-nonlocal states.
- Non-separable states cannot be expressed as a mixture of product states of their constituents and allow for Bell-nonlocal correlations that violate a Bell inequality, demonstrating the violation of local causality.
- EPR-steerability is a type of non-classical correlation that allows one party to steer the state of another party's system by measurements on their own system.
- A bipartite state is EPR-steerable if it allows for a demonstration of EPR-steering.
- The steering ellipsoid formalism is used to investigate the EPR-steerability of two-qubit states with maximally mixed reduced states, called t-states.
- A deterministic local hidden state (LHS) model is developed for projective measurements on these t-states using the steering ellipsoid formalism.
- Two sufficient conditions for t-states to be EPR-steerable are derived via suitable EPR-steering inequalities, including a new asymmetric steering inequality for the spin covariance matrix.
- The necessary condition for EPR-steerability is found to touch the sufficient conditions in some regions of the space of t-states, and the gap between them is small elsewhere.
- The paper is organized as follows: Section 2 discusses the three notions of non-locality (Bell-nonlocality, EPR-steerability, and non-separability); Section 3 introduces the quantum steering ellipsoid formalism for a two-qubit state and uses it to develop a deterministic LHS model for projective measurements on t-states; Section 4 derives two asymmetric steering inequalities for arbitrary two-qubit states; and Section 5 concludes and discusses further work.
</summary>",0
7," <summary>

- The use of spin polarization to encode binary information was first proposed in the late 1980s or early 1990s, but concrete schemes for implementing spintronic logic gates did not exist until the mid-1990s.
- Spin-based logic gates may have advantages such as lower power dissipation, immunity to noise, and potentially faster operation compared to charge-based devices.
- In 1994, a scheme was proposed for realizing a classical universal logic gate (NAND) using three spins in a weak magnetic field.
- The ground state of the array has a specific spin configuration due to exchange interaction and anti-ferromagnetic ordering.
- The system can get stuck in metastable states, which can prevent the logic signal from propagating from the input to the output, causing the circuit to not work.
- In 1996, a more elegant solution was proposed to propagate the input state through a linear array by lowering two adjacent barriers pairwise at the same time, requiring a three-phase clock.
- The use of spin in quantum computing has gained interest due to longer spin coherence times and the potential for all-optical quantum computing.
</summary>",0
8," <summary>
• Cataclysmic variables (CVs) are binary systems with a white dwarf primary and a low-mass main sequence secondary. The secondary fills its Roche lobe and transfers mass to the white dwarf through the inner Lagrangian point.
• The orbital period distribution of CVs with hydrogen-rich donors shows a lack of systems in the 2-3 hour period range (the period gap) and a sharp cut-off at around 77 minutes. Theoretical models have not been able to reproduce the precise position of the observed short-period cut-off and the shape of the CV orbital period distribution near this cut-off.
• The minimum period of CV evolution is reached when the mass transfer time and thermal (Kelvin-Helmholtz) time are about equal. The minimum period is affected by the assumed mass transfer rate and the assumed rate of orbital angular momentum (AM) losses. The study investigates ways to increase the period minimum by increasing the mass transfer rate and to ""hide"" the spike by introducing a spread of period minimum values in the CV population.
</summary>",1
9," <summary>
• Stephan's Quintet (SQ) is a compact group of galaxies with a complex interplay between its members, resulting in a large-scale intergalactic shock wave.
• The shock wave is believed to be caused by the collision of an intruder galaxy, NGC 7318b, with the intergalactic medium of the group.
• Optical emission line ratios and broad linewidths suggest that the region is powered by strong shocks and not star formation.
• The main elements of SQ include a primary shock, NGC 7318b (an intruder galaxy), a large Seyfert 2 galaxy, and other group members.
• A new discovery of powerful, pure-rotational hydrogen line emission from the center of the shock using the Spitzer Space Telescope has sparked interest in the SQ system.
• The mid-infrared (MIR) linewidth was resolved, suggesting that the hydrogen-emitting clouds carry a large bulk-kinetic energy.
• Several other systems exhibiting similarly strong hydrogen emission have been discovered, and studying nearby prototypes may provide valuable insight into the nature of these more distant systems.
</summary>",1
