index,generated,result,format_results,acc_results,format_properties
0," Janet's ducks lay 16 eggs per day. She uses 3 eggs for breakfast and 4 eggs for baking muffins. So, she uses a total of 3 + 4 = 7 eggs per day.

The remaining eggs are 16 - 7 = 9 eggs.

She sells these 9 eggs at the farmers' market for $2 per egg. So, she makes 9 * $2 = $18 every day at the farmers' market.

Result: $18",1,True,False,{'math_format_name': 'Suffix4PhrasesMathFormat'}
1," To find the total number of bolts needed for the robe, we need to add the bolts of blue fiber and white fiber together.

We know that the robe takes 2 bolts of blue fiber. According to the problem, it takes half as much white fiber as blue fiber. So, we need to find half of 2 bolts for the white fiber.

Half of 2 bolts is 2/2 = 1 bolt.

Now, we add the bolts of blue fiber and white fiber together:

2 bolts (blue fiber) + 1 bolt (white fiber) = 3 bolts

So, the robe takes a total of 3 bolts.",0,False,False,{'math_format_name': 'Suffix5PhrasesMathFormat'}
2," To calculate the profit Josh made, we first need to determine the final value of the house after the repairs.

The house was initially worth $80,000, and the repairs increased its value by 150%. To find the increase in value, we multiply the initial value by the percentage increase:

$80,000 * 150% = $80,000 * 1.5 = $120,000

Now, we add the increase in value to the initial value to find the final value of the house:

$80,000 + $120,000 = $200,000

Josh spent $50,000 on repairs, so we subtract this amount from the final value of the house to find the profit:

$200,000 - $50,000 = $150,000

The final answer is $150,000.",1,True,False,{'math_format_name': 'Suffix3PhrasesMathFormat'}
3," James runs 3 sprints each time he works out, and he works out 3 times a week. So, he runs a total of 3 sprints * 3 times = 9 sprints a week.

Each sprint is 60 meters long, so to find the total distance he runs in a week, we multiply the number of sprints by the distance of each sprint: 9 sprints * 60 meters/sprint = 540 meters.

Therefore, James runs a total of 540 meters a week.",0,False,False,{'math_format_name': 'Suffix5PhrasesMathFormat'}
4," To find out how many cups of feed Wendi needs to give her chickens in the final meal of the day, we first need to determine the total amount of feed she has already given them.

In the morning, she gives her chickens 15 cups of feed. In the afternoon, she gives them another 25 cups of feed. So, the total amount of feed given so far is:

15 cups (morning) + 25 cups (afternoon) = 40 cups

Now, we know that Wendi feeds each of her chickens three cups of feed per meal, and she has a flock of 20 chickens. So, the total amount of feed needed for one meal is:

20 chickens * 3 cups/chicken = 60 cups

Since Wendi has already given her chickens 40 cups of feed, she needs to give them the remaining amount of feed in the final meal. To find out how much feed is needed for the final meal, we subtract the amount of feed already given from the total amount needed for one meal:

60 cups (total needed for one meal) - 40 cups (already given) = 20 cups

So, Wendi needs to give her chickens 20 cups of feed in the final meal of the day.",0,False,False,{'math_format_name': 'Suffix5PhrasesMathFormat'}
5," To solve this problem, we need to calculate the total cost of the glasses considering the discount on every second glass.

First, let's find out how many glasses will be bought at full price and how many will be bought at the discounted price. Since Kylar wants to buy 16 glasses and every second glass is discounted, we can divide the total number of glasses by 2 to find out how many glasses will be bought at full price and how many will be bought at the discounted price.

16 glasses / 2 = 8 glasses at full price and 8 glasses at discounted price.

Now, let's calculate the cost of the full-priced glasses:

8 glasses * $5/glass = $40

Next, let's calculate the cost of the discounted glasses. Since the discounted price is 60% of the full price, we can multiply the full price by 0.6:

$5 * 0.6 = $3

Now, let's calculate the cost of the discounted glasses:

8 glasses * $3/glass = $24

Finally, let's add the cost of the full-priced glasses and the discounted glasses to find the total cost:

$40 (full-priced glasses) + $24 (discounted glasses) = $64

So, Kylar needs to pay $64 for the 16 glasses.

### $64",1,True,False,{'math_format_name': 'Suffix2PhrasesMathFormat'}
6," To solve this problem, we need to find the number of sheep in each city and then add them together.

1. Seattle has 20 sheep.
2. Charleston has 4 times as many sheep as Seattle, so Charleston has 4 * 20 = 80 sheep.
3. Toulouse has twice as many sheep as Charleston, so Toulouse has 2 * 80 = 160 sheep.

Now, we add the number of sheep in each city together:

Seattle: 20 sheep
Charleston: 80 sheep
Toulouse: 160 sheep

Total sheep = 20 + 80 + 160 = 260 sheep

The final answer is 260 sheep.",1,True,False,{'math_format_name': 'Suffix3PhrasesMathFormat'}
7," To solve this problem, we first need to determine how much of the file Carla has downloaded before the restart, and then calculate the time it takes to download the remaining file.

1. Calculate the amount of the file downloaded before the restart:
Since Carla has downloaded 40% of the file before the restart, we can find the amount of the file downloaded by multiplying the total file size by 40%.

200 GB * 0.4 = 80 GB

2. Calculate the remaining file size:
Now, we need to find the remaining file size by subtracting the downloaded amount from the total file size.

200 GB - 80 GB = 120 GB

3. Calculate the time it takes to download the remaining file:
Since Carla can download 2 GB/minute, we can find the time it takes to download the remaining file by dividing the remaining file size by the download speed.

120 GB / 2 GB/minute = 60 minutes

4. Add the time taken for the restart and the updates:
Finally, we need to add the time taken for the restart and the updates to the time it takes to download the remaining file.

60 minutes (download time) + 20 minutes (restart and updates) = 80 minutes

The final answer is 80 minutes.",1,True,False,{'math_format_name': 'Suffix3PhrasesMathFormat'}
8," First, let's calculate the distance John traveled during each segment of his journey.

1. For the first 3 hours, he drove at a speed of 60 mph. So, the distance he covered is:
   Distance = Speed * Time
   Distance = 60 mph * 3 hours = 180 miles

2. For the next 2 hours, he was in standstill traffic, so he didn't cover any distance.

3. For the next half-hour (0.5 hours), he drove at a speed of 30 mph. So, the distance he covered is:
   Distance = Speed * Time
   Distance = 30 mph * 0.5 hours = 15 miles

4. For the remaining time of the 4 hours, he drove at a speed of 80 mph. Since he already spent 3.5 hours (3 hours + 0.5 hours) on his journey, he had 0.5 hours left. So, the distance he covered is:
   Distance = Speed * Time
   Distance = 80 mph * 0.5 hours = 40 miles

Now, let's add up all the distances to find out how far John is from home at the end of those 4 hours:
Total distance = 180 miles + 15 miles + 40 miles = 235 miles

The final answer is 235 miles.",1,True,False,{'math_format_name': 'Suffix3PhrasesMathFormat'}
9," To calculate Eliza's earnings for the week, we need to consider both her regular pay for the first 40 hours and her overtime pay for the additional hours worked.

1. Regular pay:
Eliza's regular hourly rate is $10, and she worked 40 hours at this rate. So, her regular pay is:
Regular pay = Regular hourly rate * Regular hours worked
Regular pay = $10 * 40
Regular pay = $400

2. Overtime pay:
Eliza worked 5 hours of overtime (45 total hours - 40 regular hours). Her overtime pay rate is 1.2 times her regular hourly rate. So, her overtime pay rate is:
Overtime pay rate = Regular hourly rate * 1.2
Overtime pay rate = $10 * 1.2
Overtime pay rate = $12

Now, we can calculate her overtime pay:
Overtime pay = Overtime pay rate * Overtime hours worked
Overtime pay = $12 * 5
Overtime pay = $60

3. Total earnings:
Eliza's total earnings for the week are the sum of her regular pay and her overtime pay.
Total earnings = Regular pay + Overtime pay
Total earnings = $400 + $60
Total earnings = $460

So, Eliza's earnings for this week are $460.",0,False,False,{'math_format_name': 'Suffix5PhrasesMathFormat'}
10," To find the total number of downloads over the three months, we first need to calculate the number of downloads for each month.

In the first month, the program had 60 downloads.

In the second month, the number of downloads was three times as many as the first month, so we multiply 60 by 3:
60 * 3 = 180 downloads

In the third month, the number of downloads reduced by 30%. To find the reduced number, we first calculate 30% of the second month's downloads:
30% of 180 = 0.30 * 180 = 54 downloads

Now, we subtract this number from the second month's downloads to find the third month's downloads:
180 - 54 = 126 downloads

Finally, we add the downloads from all three months to find the total:
60 (first month) + 180 (second month) + 126 (third month) = 366 downloads

Result: 366",1,True,True,{'math_format_name': 'Suffix4PhrasesMathFormat'}
