index,generated,result
0," In this study, the transport properties of chaotic deterministic ratchets are investigated, focusing on the relationship between bifurcations in particle trajectories and changes in the ensemble-averaged current. The research reveals that the current's behavior is significantly influenced by the ensemble's size, location, spread, and transient effects. It is found that not all current reversals are associated with bifurcations, and not all bifurcations lead to current reversals. A new heuristic is proposed: bifurcations correspond to sudden spikes or jumps in the current, which may or may not be reversals. This heuristic is useful for characterizing changes in current behavior as a function of system parameters. The study also identifies cases where the heuristic does not seem to apply, suggesting that further research is needed to understand the underlying reasons. The findings indicate that general rules of thumb for chaotic systems are rare and must be applied with caution, emphasizing the importance of considering ensemble characteristics in transport property studies.",0
1," We present updated orbital solutions and dynamical simulations for six highly eccentric extrasolar planetary systems ( hd  3651 , hd  37605 , hd  45350 , hd  80606 , hd  89744 , and 16  cyg  b ) to search for additional planets in these systems . 
 We find no evidence for additional planets in any of the six systems . 
 We also determine companion limits for these systems using high - precision radial velocity data . 
 The tightest limits are obtained for hd  3651 , hd  45350 , and 16  cyg  b , where planets with masses above the solid line can be ruled out by the data with 99% confidence . 
 We find that protected resonances are also present in the hd  3651 and hd  45350 systems . 
 Our results are consistent with the hypothesis that very eccentric single - planet systems originate by interactions within a wide binary system . 
 This work was supported by the national aeronautics and space administration under grant nos . 
 nng04g141 g and nng05g107 g issued through the terrestrial planet finder foundation science program . 
 We thank the hobby - eberly telescope ( het ) for their generous allocation of telescope time for this project . 
 This research has made use of nasa s astrophysics data system ( ads ) , and the simbad database , operated at cds , strasbourg , france . 
 The het is named in honor of its principal benefactors , william p.  hobby and robert e.  eberly . 
 lllllllll hd 3651 b & 62.197@xmath330.012 & 53932.2@xmath330.4 & 0.630@xmath330.046 & 250.7@xmath336.3 & 15.6@xmath331.1 & 0.20@xmath330.01 & 0.280",0
2," We study the rare @xmath0 decays @xmath1 ( @xmath2 ) and @xmath3 in the type-ii 2hdm , lepton-specific 2hdm , nmssm and nmssm , which predict a light cp-odd higgs boson @xmath0 . 
 We find that the branching ratios of these decays can reach @xmath4 , @xmath5 and @xmath6 for the optimum cases of the type-ii 2hdm , the lepton-specific 2hdm , the nmssm and the nmssm respectively , which implies that the decays @xmath1 and @xmath3 may be observable at the gigaz option . 
 Since different models predict different size of branching ratios , these decays can be used to distinguish different model through the measurement of these rare decays . 
 We also find that the decay @xmath11 may serve as an alternative channel to test new physics models , especially it may be used to distinguish the nmssm from the nmssm if the supersymmetry is found at the lhc and the @xmath11 is observed at the gigaz with large rate . 
 Our analysis indicates that the lightest cp-odd higgs boson @xmath0 in the nmssm and the nmssm is usually singlet - dominated , and its couplings to the sm fermions are suppressed . 
 The branching ratio of @xmath0 into muon pairs can reach @xmath7 in the nmssm and the nmssm , which may be observable at the gigaz if the studied model is chosen by nature . 
 We also find that the branching ratio of @xmath0 into light higgs bosons can reach @xmath8 in the nmssm and the nmssm , which may be observable at the gigaz if the studied model is chosen by nature . 
 Our analysis indicates that the branching ratio of @xmath0 into light higgs bosons in the nmssm and the nmssm is usually smaller than that in the type-ii 2hdm and the lepton-specific 2hdm . 
 The branching ratio of @xmath0 into light higgs bos",1
3," In this paper, we investigate the no-scale khler potential scenario in supersymmetric models, where the susy breaking is induced by gaugino masses and the hidden sector and observable sector are separated by a boundary condition. We find that when universal gaugino masses are given at the gut scale, the susy models are severely constrained by the cosmological bound and the lepton collider bounds, leaving a very narrow allowed region for the model parameters. However, when the boundary condition is given above the gut scale, a wide region of the parameter space is allowed, and the tevatron could potentially observe susy signatures like trilepton events. For the case of non-universal gaugino masses at the gut scale, the higgs mass bound becomes important in the higgsino lsp scenario, requiring the lsp mass to be larger than certain values. The wino and sneutrino lsp scenarios are less constrained by the higgs mass bound, allowing the lsp mass to be as small as 150 gev. Overall, the no-scale khler potential scenario is highly predictive but faces significant constraints from current experimental bounds.",1
4," <summary>
This paper investigates the stability of Cauchy horizons (ch) in colliding plane wave (cpw) spacetimes with added test fields, focusing on the Chandrasekhar-Xanthopoulos (cx) solution as a test ground. The cpbs solution, a cross-polarized version of the Bell-Szekeres (bs) solution, is analyzed for its singularity structure, revealing that the quasiregular (qr) singularity in the incoming region remains unchanged by cross polarization. Test fields, including electromagnetic (em) fields, scalar fields, and null dusts, are introduced to probe the stability of qr singularities. The Ch stability conjecture predicts that qr singularities will transform into scalar curvature (sc) singularities, but exact back-reaction solutions show that qr singularities remain qr, while sc singularities form on the null boundaries. The cpbs spacetime, when coupled with a scalar field, exhibits sc singularities on the horizon, consistent with the conjecture. The introduction of null dusts into the cpbs spacetime also leads to sc singularities on the horizon, confirming the conjecture's prediction. The paper concludes that while the Ch stability conjecture correctly predicts the formation of sc singularities, it does not accurately describe the nature of the qr singularity in the cpbs spacetime's interaction region.
</summary>",0
5," Deep X-ray surveys have extended the study of normal galaxies to cosmologically significant distances, revealing that they contribute substantially to the diffuse X-ray background (XRB) and may dominate the X-ray flux at certain energies. The Chandra Deep Field North (CDF-N) survey has enabled the detection of individual normal galaxies and the study of their X-ray properties, providing insights into the evolution of X-ray luminosity relative to optical luminosity and the contribution of normal galaxies to the XRB. The X-ray luminosity per unit optical luminosity of typical spiral galaxies has not evolved upward by more than a factor of 2.5 over the redshift range studied, which is consistent with predictions for the X-ray response to star formation rates. The study also suggests that the X-ray luminosity of the typical spiral galaxy should be about 2.5 times higher at high redshifts, and that the XRB is predominantly due to normal galaxies.",1
6," Quantum correlations can be classified into non-separable, ePR-steerable, and Bell-nonlocal states, with Bell-nonlocality being the strongest form of non-locality. The paper investigates the ePR-steerability of two-qubit t-states, which have maximally mixed reduced states. A deterministic local hidden variable (LHV) model is constructed using the quantum steering ellipsoid formalism, which coincides with the optimal LHV model for Werner states. Two sufficient conditions for ePR-steerability are derived via suitable ePR-steering inequalities, one linear and one nonlinear. These conditions are shown to be relatively close to the necessary condition for ePR-steerability, supporting the conjecture that the deterministic LHV model is optimal for t-states. The paper concludes with a discussion of extending the results to arbitrary two-qubit states and the challenges involved.",0
7," <summary>
The concept of using electron spin to encode information in computing was first mentioned informally by Feynman around 1985, but concrete schemes for spintronic logic gates were not developed until the mid-1990s. Spintronic devices could potentially offer lower power dissipation, immunity to noise, and faster operation compared to charge-based devices. A concrete scheme for a classical universal logic gate using three spins in a weak magnetic field was proposed in 1994, but faced challenges with signal propagation due to bidirectional exchange interaction. A solution involving a three-phase clock was later proposed to ensure unidirectional signal flow. Despite these challenges, the potential for spintronic devices in quantum computing was recognized, with the realization that spin coherence times are much longer than charge coherence times, making spins a promising candidate for qubits in solid-state systems. However, practical applications face significant challenges, including the difficulty of electrical readout of single qubits and the need for efficient heat dissipation. Theoretical and experimental progress in spin transfer and optical readout techniques has been made, but the realization of all-optical spintronic computing remains a future goal.
</summary>",0
8," Cataclysmic variables (CVs) are short-period binaries with a white dwarf primary and a low-mass main sequence secondary that fills its Roche lobe, transferring mass via the inner Lagrangian point. Theoretical models struggle to reproduce the observed short-period cut-off and shape of the CV orbital period distribution. This paper investigates ways to increase the bounce period beyond the canonical theoretical value and to ""hide"" the accumulation of systems near the minimum period (the period spike). The study considers consequential angular momentum loss (CAML) mechanisms, where angular momentum is lost as a result of mass transfer, and donor star deformation. The study finds that even with maximal CAML efficiency, the bounce period cannot be increased sufficiently, and that a large spread in CAML efficiencies does not wash out the period spike. A large spread in deformation factors also fails to eliminate the period spike, suggesting that most CVs form at long periods and evolve through the period gap. The paper concludes that the period minimum and spike problems remain open issues, with no clear solution found through the considered mechanisms.",0
9," The Stephan's Quintet, a compact group of galaxies, exhibits a powerful mid-infrared h@xmath5 emission, dominating the group's mid-infrared emission and suggesting a new cooling pathway in shock systems. The h@xmath5 emission follows the x-ray emission along the shock ridge, indicating that molecular hydrogen is a stronger coolant than x-rays in this shocked system. Star formation in the group is dominated by the northern and southern ends of the shock ridge, with low star formation rates in the warm h@xmath5-dominated medium, suggesting reheating of molecular gas by shocks. The h@xmath5 emission is consistent with a multiphase postshock medium produced by a galaxy-wide collision, with warm h@xmath5 emission following both fast (shock-heated) and slow (turbulent) shocks. These observations imply that molecular hydrogen cooling can be significant in high-speed shocks, challenging traditional views of cooling in galaxy formation.",1
