index,generated,result
0," <summary>
1. The transport properties of nonlinear non-equilibrium dynamical systems, particularly chaotic deterministic ratchets, are complex and not well understood.
2. These systems exhibit sensitivity to initial conditions and parameter changes, leading to a variety of behaviors including reversals in the direction of particle current.
3. Mateos conjectured a correlation between current reversal and bifurcations from chaotic to periodic behavior, but this was challenged by Barbi and Salerno, who found current reversals without such bifurcations.
4. The behavior of ensembles in chaotic systems is more complex than that of single trajectories, with ensemble properties significantly affecting the computed current.
5. Ensemble current calculations must consider the size, location, spread, and transience of the initial conditions to ensure convergence and relevance.
6. Bifurcations in the system often correspond to sudden spikes or jumps in the ensemble current, but not all spikes or jumps are associated with bifurcations, and not all current reversals are due to bifurcations.
7. A refined heuristic rule emerges: bifurcations correspond to sudden current changes, which may or may not result in current reversals.
8. The physical basis for this heuristic is the parameter-dependent net directed transport in chaotic systems, with bifurcations providing opportunities for current spikes or jumps.
</summary>",1
1," <summary>
1. The study investigates the dynamical possibility of additional low-mass planets in six highly eccentric extrasolar planetary systems (hd 3651, hd 37605, hd 45350, hd 80606, hd 89744, and 16 cyg b) using test particle simulations and observational data from the Hobby-Eberly Telescope (HET).
2. Test particle simulations show that there are regions detectable by current surveys where additional objects can exist, with protected resonances found in the hd 3651 and hd 37605 systems.
3. Combining simulations with detection limits computed using new high-precision HET data and all available published data effectively rules out additional planets with masses above the solid line (indicating a minimum mass of 2 Neptune) in the dynamically stable regions of the hd 3651 and hd 45350 systems.
4. The hd 80606 and hd 89744 systems have more challenging limits due to poor phase coverage and larger intrinsic scatter in the orbital solutions, making it difficult to set tight limits on additional planets.
5. The study concludes that there is no evidence for additional planets in the six systems studied, with the tightest limits obtained for hd 3651, hd 45350, and 16 cyg b systems, where planets with masses above the solid line can be ruled out with 99% confidence.
</summary>",1
2," <summary>
1. The study investigates rare @xmath0 decays into light higgs bosons and into fermion pairs in the type-ii 2hdm, lepton-specific 2hdm, nmssm, and nmssm models, motivated by the potential of the gigaz option of the International Linear Collider (ILC) to probe new physics.
2. The models predict a light cp-odd higgs boson @xmath0, which can decay into light higgs bosons or fermion pairs, with branching ratios potentially accessible at the gigaz.
3. Theoretical constraints from various experiments, such as the LHC, LEP, and muon anomalous magnetic moment, are applied to limit the model parameters, especially the @xmath1 coupling and the mass of the lightest cp-odd higgs boson.
4. The constraints from the muon anomalous magnetic moment are found to favor a light @xmath0 with large @xmath1 coupling and/or a light smuon in the type-ii 2hdm and the lepton-specific 2hdm.
5. The constraints from the branching ratios of @xmath1 decays into fermion pairs and the decay of @xmath0 into light higgs bosons are found to be more stringent in the type-ii 2hdm and the lepton-specific 2hdm, limiting the @xmath1 coupling and the mass of the lightest cp-odd higgs boson.
6. The branching ratios of the rare @xmath0 decays into light higgs bosons and into fermion pairs are calculated for the four models, with the type-ii 2hdm predicting the largest ratios for @xmath2 and @xmath3, and the l2hdm predicting the largest ratio for @xmath4.
7. The decay @xmath11, which depends on the higgs self interactions, is found to have a large branching ratio in the type-ii 2hdm, lepton-specific 2hdm, and nmssm, but not in the nmssm.
8. The decay @xmath11 may serve as an alternative channel to test new physics models, especially to distinguish the",0
3," <summary>
1. Supersymmetry (SUSY) is an extension of the Standard Model (SM) that predicts the existence of superpartners and solves the naturalness problem, potentially leading to gauge coupling unification at the GUT scale.
2. The no-scale khler potential scenario, where SUSY breaking is mediated by gaugino masses, is highly predictive and has been investigated in various models, including string theory and the sequestered sector scenario.
3. The no-scale khler potential scenario is flavor blind, suppressing contributions of SUSY particles to flavor-changing neutral currents (FCNCs).
4. The minimal SUSY breaking scenario, with universal gaugino masses at the GUT scale, is severely constrained by the cosmological bound and the LEP2 bound on muon pair production, leaving a very narrow allowed region for the SUSY breaking scale.
5. When the gaugino masses are above the GUT scale, the SUSY breaking scale can be as small as about 180 gev, allowing for potential discovery at the Tevatron Run 2, but the higgs mass bound and the @xmath0 constraint further constrain this scenario.
6. The higgsino-like SUSY breaking scenario, where stops are lighter than in the universal gaugino mass case, is not viable at the Tevatron Run 2 due to the higgs mass bound, but the wino-like and sneutrino-like SUSY breaking scenarios allow for lighter SUSY particles that could be detected at the Tevatron Run 2.
</summary>",1
4," <summary>
1. The paper investigates the stability of Cauchy horizons (ch) in spacetimes formed by colliding plane waves (cpw) with added test fields.
2. The Chandrasekhar-Xanthopoulos (cx) solution, which possesses a Cauchy horizon instead of a spacelike singularity, contrasts with the expected behavior of spacetimes formed by cpw, which typically result in spacelike singularities.
3. Yurtsever demonstrated that ch in cpw spacetimes is unstable against plane-symmetric perturbations, and a linear perturbation analysis by cx also shows an analogous result.
4. The paper explores the effects of cross polarization and electromagnetic (em) fields on the nature of resulting singularities in cpw spacetimes.
5. The Bell-Szekeres (bs) solution, describing the collision of two linearly polarized em waves, forms a Cauchy horizon in the interaction region, which is shown to be removable by a coordinate transformation.
6. The paper introduces a cross-polarized version of the bs solution (cpbs) and examines the stability of its quasiregular (qr) singularities using various test fields.
7. The stability conjecture by Helliwell and Konkowski (hk) predicts that qr singularities will transform into scalar curvature (sc) singularities in the presence of generic waves.
8. The paper presents an exact back-reaction calculation for the collision of cross-polarized em field coupled with scalar field, confirming the hk stability conjecture and revealing the true nature of the singularity in the cpbs spacetime.
</summary>",1
5," <summary>
1. Deep X-ray surveys have extended to cosmologically interesting distances, revealing a significant number of normal galaxies among the X-ray sources, contributing as much as 510% of the X-ray background (XRB) flux in the 0.52 keV band.
2. The Chandra Deep Field North (CDF-N) survey has detected individual normal galaxies up to redshifts of z=1.2, corresponding to a look-back time of 1.6 billion years, allowing for the study of the X-ray response to past star formation rates.
3. The study focuses on spiral galaxies, using stacking techniques to estimate X-ray fluxes at faint levels and spectroscopic redshifts to ensure comparable optical luminosities across different redshifts.
4. The X-ray luminosity per unit @2-band luminosity of typical spiral galaxies has not evolved upward by more than a factor of 1.73 by z=1.2, suggesting that the X-ray luminosity of spiral galaxies has not increased substantially over this redshift range.
</summary>",1
6," <summary>
1. Quantum correlations can be classified into non-separable (entangled), separable, and bell-nonlocal states, with bell-nonlocal states demonstrating the violation of local causality.
2. EPR-steerability is a phenomenon where a quantum state allows for correlations that demonstrate EPR-steering, which is a special case of steering and only possible for a subset of non-separable states.
3. The quantum steering ellipsoid formalism is used to develop a deterministic local hidden variable (LHV) model for projective measurements on two-qubit states with maximally mixed reduced states, known as t-states.
4. A necessary condition for t-states to be EPR-steerable is derived via the steering ellipsoid, which is also conjectured to be sufficient for EPR-steerability.
5. Two sufficient conditions for EPR-steerability are derived, based on new and known EPR-steering inequalities for the spin covariance matrix.
6. The necessary condition for EPR-steerability is shown to be relatively strong and to coincide with the boundary of t-states satisfying the sufficient conditions in some parameter regions.
7. The paper concludes with a discussion of further work, including the extension of the analysis to arbitrary two-qubit states and the generalization of the LHV models to arbitrary projective measurements.
8. The authors acknowledge support from the Australian Research Council and the European Union Seventh Framework Programme.
</summary>",1
7," <summary>
1. The concept of using a single electron's spin to encode binary information was first mentioned informally by Feynman around 1985, but concrete schemes for spintronic logic gates were not developed until the mid-1990s.
2. Encoding information in spin offers potential advantages such as lower power dissipation, immunity to noise, and possibly faster operation since spin does not require charge transport.
3. A concrete scheme for a classical universal logic gate (NAND) using three spins in a weak magnetic field was proposed in 1994, with the spins' spin orientations representing binary variables.
4. The system's ground state favors anti-ferromagnetic ordering, with the spin polarization either parallel or anti-parallel to the magnetic field.
5. The truth table of the proposed spintronic NAND gate was realized, but it faced challenges with input signals that could lead to metastable states and prevent proper logic signal propagation due to bidirectional exchange interaction.
6. A solution involving a three-phase clock was proposed to ensure unidirectional logic signal propagation, but it was not considered practical due to the need for precise gate potential control and significant energy dissipation.
7. In 1996, a logically and physically reversible quantum inverter using two exchange-coupled spins was devised, which could potentially bypass the Landauer barrier and offer lower energy dissipation.
8. The realization of a universal quantum gate using two exchange-coupled spins in quantum dots was also proposed, with the potential for using electron or nuclear spins for qubit encoding in solid-state systems.
9. Recent experimental progress in transferring electron spins between quantum dots and the ability to read spin states with circularly polarized light suggest that optical readout may be a more practical approach for solid-state qubits, avoiding the challenges of electrical readout.
</summary>",1
8," <summary>
1. Cataclysmic variables (CVs) are short-period binaries with a white dwarf primary and a low-mass main sequence secondary that fills its Roche lobe, transferring mass via the inner Lagrangian point. Theoretical models struggle to reproduce the observed orbital period distribution, particularly the lack of systems in the 2-3 hour range and the sharp cut-off at around 77 minutes.
2. Theoretical models suggest that the minimum orbital period occurs where the mass transfer time and thermal relaxation time are equal, but the exact position is affected by the assumed mass transfer rate and the rate of angular momentum (am) losses.
3. The authors investigate ways to increase the minimum period by increasing the mass transfer rate and to ""hide"" the period spike by introducing a spread of values in the CV population, specifically through consequential am loss (CAL), where am is lost as a result of mass transferred from the secondary.
4. The authors use a stellar code to calculate the long-term evolution of CVs, considering different CAL efficiencies and deformation factors of the secondary star. They find that even maximal CAL efficiency cannot increase the bounce period sufficiently, and that a large deformation factor is required to reach the observed minimum period.
5. The authors compare the observed period distribution with various synthesized model distributions, finding that none fit as well as a flat distribution. They conclude that the period spike problem remains unresolved, and that the period minimum problem may be an age limit rather than a bounce period.
6. The authors suggest that the period spike could be washed out by considering a spread of CAL efficiencies in the CV population, but note that this would still not account for the observed sharp cut-off at the minimum period.
</summary>",1
9," <summary>
1. The mid-infrared (mir) h@xmath5 emission in stephan s quintet (sq) is a dominant coolant over x-ray emission, challenging the traditional view that x-rays always dominate cooling in compact group evolution.
2. The mir h@xmath5 emission in sq is predominantly produced by shocks with velocities of 620 km/s and 2000 km/s, suggesting a multiphase postshock medium.
3. The h@xmath5 emission coexists with x-ray emission along the shock ridge, indicating that the h@xmath5 emission is not directly heated by x-rays but is a result of shock-induced reheating of the gas.
4. Star formation in sq is dominated by the regions sq-a and 7318b-south, located at the ends of the shock ridge, suggesting they are shock-triggered starbursts. However, regions dominated by warm h@xmath5 emission exhibit very low star formation rates, consistent with a turbulent model where h@xmath5 is significantly reheated.
5. The findings in sq provide evidence for a significant, albeit surprising, cooling mechanism in shock systems, which could be crucial in systems ranging from ultra-luminous infrared galaxies to radio galaxies to supernova remnants.
</summary>",1
