index,generated,result,format_properties
0,"<ans>
def remove_Occ(K2ZW, qhF): 
    for CEPyYngFb in range(len(K2ZW)): 
        if (K2ZW[CEPyYngFb] == qhF): 
            K2ZW = K2ZW[0 : CEPyYngFb] + K2ZW[CEPyYngFb + 1:] 
            break
    for CEPyYngFb in range(len(K2ZW) - 1,-1,-1):  
        if (K2ZW[CEPyYngFb] == qhF): 
            K2ZW = K2ZW[0 : CEPyYngFb] + K2ZW[CEPyYngFb + 1:] 
            break
    return K2ZW 
</ans>",True,{}
1,"<ans>
def sort_matrix(yBMWXaSCr):
    ZoL8g5ub = sorted(yBMWXaSCr, key=sum)
    return ZoL8g5ub
</ans>",True,{}
2,"<ans>
def find_Volume(bPI, yRn, UbHoWC) : 
    return ((bPI * yRn * UbHoWC) / 2) 
</ans>",True,{}
3,"<ans>
import re
def text_lowercase_underscore(JowoRo):
        D8s7bA16J = '^[a-z]+_[a-z]+$'
        if re.search(D8s7bA16J,  JowoRo):
                return True
        else:
                return False
</ans>",True,{}
4,"<ans>
def square_perimeter(glOU3shV):
  U_TG7 = 4 * glOU3shV
  return U_TG7
</ans>",True,{}
5,"<ans>
G16Qmt = 256
def str_to_list(L_4F2): 
    zL2cEpV = [] 
    for zAQlxJ4SX in L_4F2: 
        zL2cEpV.append(zAQlxJ4SX) 
    return zL2cEpV 
def lst_to_string(VxfCQGgX): 
    return ''.join(VxfCQGgX) 
def get_char_count_array(L_4F2): 
    H1zx = [0] * G16Qmt 
    for UbEctT in L_4F2: 
        H1zx[ord(UbEctT)] += 1
    return H1zx 
def remove_dirty_chars(L_4F2, NLLzPkkGo): 
    H1zx = get_char_count_array(NLLzPkkGo) 
    XmI = 0
    JozGw82Kw = 0
    zL2cEpV = '' 
    rQJM9U = str_to_list(L_4F2) 
    while XmI != len(rQJM9U): 
        zL2cEpV = rQJM9U[XmI] 
        if H1zx[ord(zL2cEpV)] == 0: 
            rQJM9U[JozGw82Kw] = rQJM9U[XmI] 
            JozGw82Kw += 1
        XmI+=1
    return lst_to_string(rQJM9U[0:JozGw82Kw]) 
</ans>",True,{}
6,"<ans>
def test_duplicate(yY2):
    VGZiHXJnB = set(yY2)    
    return E3x(yY2) != E3x(VGZiHXJnB)     
</ans>",True,{}
7,"<ans>
def is_woodall(Jm8GAF0): 
	if (Jm8GAF0 % 2 == 0): 
		return False
	if (Jm8GAF0 == 1): 
		return True
	Jm8GAF0 = Jm8GAF0 + 1 
	AwaII = 0
	while (Jm8GAF0 % 2 == 0): 
		Jm8GAF0 = Jm8GAF0/2
		AwaII = AwaII + 1
		if (AwaII == Jm8GAF0): 
			return True
	return False
</ans>",True,{}
8,"<ans>
def rev(YNvDMbZ):    
    OlJL = 0
    while (YNvDMbZ > 0):  
        OlJL = (OlJL * 10 + YNvDMbZ % 10) 
        YNvDMbZ = YNvDMbZ // 10  
    return OlJL  
def check(fZJZ):    
    return (2 * rev(fZJZ) == fZJZ + 1)  
</ans>",True,{}
9,"<ans>
def find_Max_Num(_7qc18Ref) : 
    bCaWWrprh = len(_7qc18Ref)
    _7qc18Ref.sort(reverse = True) 
    NlwsekkqH = _7qc18Ref[0] 
    for QrPT in range(1,bCaWWrprh) : 
        NlwsekkqH = NlwsekkqH * 10 + _7qc18Ref[QrPT] 
    return NlwsekkqH 
</ans>",True,{}
