index,generated,result,format_results,acc_results,format_properties
0,"### 1. Calculate the total number of eggs Janet's ducks lay each day.
- Janet's ducks lay **16 eggs per day**.

### 2. Subtract the number of eggs Janet eats for breakfast.
- Janet eats **3 eggs** for breakfast each day.
- Remaining eggs: **16 - 3 = 13 eggs**.

### 3. Subtract the number of eggs used for baking muffins.
- Janet uses **4 eggs** for baking muffins each day.
- Remaining eggs: **13 - 4 = 9 eggs**.

### 4. Calculate the daily earnings from selling the remaining eggs.
- Janet sells the remaining **9 eggs** at the farmers' market.
- She sells each egg for **$2**.
- Daily earnings: **9 eggs × $2 = $18**.

### Final result:
18",0,False,True,{'math_format_name': 'BulletPoints7MathFormat'}
1,"```json
{
  ""1"": ""The robe requires 2 bolts of blue fiber."",
  ""2"": ""The robe requires half as much white fiber as blue fiber."",
  ""3"": ""Half of 2 bolts is 1 bolt of white fiber."",
  ""4"": ""To find the total bolts required, add the blue and white fiber bolts together."",
  ""5"": ""2 bolts (blue) + 1 bolt (white) = 3 bolts.""
}
```
\boxed{3}",1,True,True,{'math_format_name': 'BulletPoints20MathFormat'}
2,"```json
[
    ""Josh buys a house for $80,000."",
    ""He spends $50,000 on repairs, bringing his total investment to $130,000."",
    ""The value of the house increases by 150%, which means the new value is 2.5 times the original value."",
    ""The original value of the house was $80,000, so the new value is $80,000 * 2.5 = $200,000."",
    ""To calculate profit, subtract the total investment from the new value: $200,000 - $130,000 = $70,000.""
]
```
Final result: 70000",1,True,True,{'math_format_name': 'BulletPoints15MathFormat'}
3,"**Step 1** Calculate the total number of sprints per week.
- James runs 3 sprints per session.
- He does this 3 times a week.
- Total sprints per week = 3 sprints/session × 3 sessions/week = 9 sprints/week.

**Step 2** Calculate the total distance run per week.
- Each sprint is 60 meters.
- Total distance = 9 sprints/week × 60 meters/sprint = 540 meters/week.

Final result: 540",0,False,True,{'math_format_name': 'BulletPoints11MathFormat'}
4,"### Step-by-Step Reasoning:

1. **Calculate the total daily feed required per chicken:**
   - Each chicken is fed 3 cups of feed per day.

2. **Calculate the total daily feed required for the entire flock:**
   - Total feed per day = Number of chickens × Feed per chicken
   - Total feed per day = 20 chickens × 3 cups = 60 cups

3. **Calculate the total feed already given in the morning and afternoon:**
   - Morning feed = 15 cups
   - Afternoon feed = 25 cups
   - Total feed given so far = 15 + 25 = 40 cups

4. **Determine the remaining feed needed for the final meal:**
   - Remaining feed = Total daily feed - Feed already given
   - Remaining feed = 60 cups - 40 cups = 20 cups

### Final Result:
\boxed{20}",1,True,True,{'math_format_name': 'BulletPoints8MathFormat'}
5,"# 1. Understand the pricing structure
- The first glass costs $5.
- Every second glass costs 60% of the original price, which is $5 * 0.6 = $3.

# 2. Determine the number of glasses at each price
- Kylar is buying 16 glasses.
- Since every second glass is discounted, half of the glasses will be at the discounted price.
- 16 glasses / 2 = 8 glasses at the full price and 8 glasses at the discounted price.

# 3. Calculate the total cost for full-price glasses
- 8 glasses * $5 = $40.

# 4. Calculate the total cost for discounted glasses
- 8 glasses * $3 = $24.

# 5. Add the costs together
- $40 (full-price glasses) + $24 (discounted glasses) = $64.

Final result: 64",0,False,True,{'math_format_name': 'BulletPoints7MathFormat'}
6,"```json
{
  ""1"": ""Seattle has 20 sheep."",
  ""2"": ""Charleston has 4 times as many sheep as Seattle, so Charleston has 4 * 20 = 80 sheep."",
  ""3"": ""Toulouse has twice as many sheep as Charleston, so Toulouse has 2 * 80 = 160 sheep."",
  ""4"": ""To find the total number of sheep, add the number of sheep in Toulouse, Charleston, and Seattle: 160 + 80 + 20 = 260.""
}
```
Final result: 260",1,True,True,{'math_format_name': 'BulletPoints19MathFormat'}
7,"**Step 1** Calculate the amount of data downloaded before the restart.
- Total file size: 200 GB
- 40% of 200 GB = 0.4 * 200 = 80 GB

**Step 2** Calculate the time taken to download 80 GB.
- Download speed: 2 GB/minute
- Time = Data / Speed = 80 GB / 2 GB/minute = 40 minutes

**Step 3** Add the time taken for the Windows restart.
- Restart time: 20 minutes
- Total time before restart: 40 minutes (download) + 20 minutes (restart) = 60 minutes

**Step 4** Calculate the time taken to download the entire file after restarting.
- Total file size: 200 GB
- Download speed: 2 GB/minute
- Time = 200 GB / 2 GB/minute = 100 minutes

**Step 5** Add the time before the restart to the time after the restart.
- Total time = 60 minutes (before restart) + 100 minutes (after restart) = 160 minutes

Final result: 160",1,True,True,{'math_format_name': 'BulletPoints11MathFormat'}
8,"**Step 1** Calculate the distance John travels in the first 3 hours.
- John drives at 60 mph for 3 hours.
- Distance = Speed × Time = 60 mph × 3 hours = 180 miles.

**Step 2** Calculate the distance John travels during the first 2 hours of the return trip.
- John is stuck in standstill traffic for 2 hours.
- Distance = Speed × Time = 0 mph × 2 hours = 0 miles.

**Step 3** Calculate the distance John travels during the next half-hour.
- John drives at 30 mph for 0.5 hours.
- Distance = Speed × Time = 30 mph × 0.5 hours = 15 miles.

**Step 4** Calculate the distance John travels during the remaining 1.5 hours.
- John drives at 80 mph for 1.5 hours.
- Distance = Speed × Time = 80 mph × 1.5 hours = 120 miles.

**Step 5** Calculate the total distance John travels during the 4-hour return trip.
- Total distance = 0 miles (standstill) + 15 miles + 120 miles = 135 miles.

**Step 6** Calculate John's final distance from home.
- Initial distance from home = 180 miles.
- Distance traveled back = 135 miles.
- Final distance from home = 180 miles - 135 miles = 45 miles.

Final result: 45",1,True,True,{'math_format_name': 'BulletPoints11MathFormat'}
9,"### 1
- **Calculate Eliza's regular earnings for the first 40 hours.**
- Eliza's regular hourly rate is $10.
- Regular earnings = 40 hours × $10/hour = $400.

### 2
- **Determine the number of overtime hours worked.**
- Total hours worked = 45 hours.
- Overtime hours = Total hours - 40 hours = 5 hours.

### 3
- **Calculate Eliza's overtime pay rate.**
- Overtime pay rate = 1.2 × regular hourly rate = 1.2 × $10 = $12/hour.

### 4
- **Calculate Eliza's overtime earnings.**
- Overtime earnings = 5 hours × $12/hour = $60.

### 5
- **Calculate Eliza's total earnings for the week.**
- Total earnings = Regular earnings + Overtime earnings = $400 + $60 = $460.

\boxed{460}",1,True,True,{'math_format_name': 'BulletPoints4MathFormat'}
10,"### 1. Calculate downloads in the first month
- The program had **60 downloads** in the first month.

### 2. Calculate downloads in the second month
- The number of downloads in the second month was **three times** the first month's downloads.
- \( 60 \times 3 = 180 \) downloads in the second month.

### 3. Calculate downloads in the third month
- The number of downloads in the third month was **30% less** than the second month's downloads.
- \( 180 \times 0.30 = 54 \) (30% of 180).
- \( 180 - 54 = 126 \) downloads in the third month.

### 4. Calculate total downloads over three months
- Add the downloads from all three months:
  - First month: 60
  - Second month: 180
  - Third month: 126
- \( 60 + 180 + 126 = 366 \).

### Final Result:
\boxed{366}",0,False,True,{'math_format_name': 'BulletPoints8MathFormat'}
11,"### 1
Calculate the cost of the donuts:
- Toula bought 3 dozen donuts.
- Cost per dozen: $68.
- Total cost for donuts: \( 3 \times 68 = 204 \).

### 2
Calculate the cost of the mini cupcakes:
- Toula bought 2 dozen mini cupcakes.
- Cost per dozen: $80.
- Total cost for mini cupcakes: \( 2 \times 80 = 160 \).

### 3
Calculate the cost of the mini cheesecakes:
- Toula bought 6 dozen mini cheesecakes.
- Cost per dozen: $55.
- Total cost for mini cheesecakes: \( 6 \times 55 = 330 \).

### 4
Add up all the costs:
- Total cost for donuts: $204.
- Total cost for mini cupcakes: $160.
- Total cost for mini cheesecakes: $330.
- Total cost: \( 204 + 160 + 330 = 694 \).

Final result: 694",1,True,True,{'math_format_name': 'BulletPoints3MathFormat'}
