index,generated,result,format_properties
0,"The text discusses the transport properties of nonlinear non-equilibrium dynamical systems, focusing on ratchet systems that exhibit directed transport due to unbiased noisy fluctuations, similar to biological systems. It compares the behavior of deterministic chaotic ratchets and Hamiltonian ratchets, noting that the transport properties of chaotic ratchets are not as simple as initially conjectured. The paper investigates the impact of different ensembles of particles on the current in a chaotic deterministic ratchet and finds that the current depends significantly on the details of the initial ensemble. It also emphasizes the importance of discarding transients in quantifying the current. The study finds evidence for a generalized version of Mateos' conjecture, which states that bifurcations for trajectory dynamics as a function of system parameter are associated with abrupt changes in the current, although not necessarily reversals in direction. The paper concludes that broad heuristics are rare in chaotic systems, and it is critical to understand the ensemble-dependence in any study of the transport properties of chaotic ratchets.",0,{'n_sentences': 8}
1,"The text discusses the discovery of extrasolar planets with highly eccentric orbits, which has led to several theories about their origin. One such theory is planet-planet scattering, where multiple jovian planets form several astronomical units from the host star and then interact, leaving one in an eccentric orbit and often ejecting the other. This method has been proposed to explain the architecture of the HD 82943 and planetary system, which contains a hot Jupiter as well as two jovian planets in moderately eccentric orbits. Interactions with stellar companions are another possible way to boost a planet's eccentricity. The Kozai mechanism can induce large-amplitude oscillations in the eccentricity of the planet if the inclination angle between the planetary orbit and a stellar companion is large. The Kozai mechanism has been suggested to explain the high eccentricity of 16 Cyg Bb and HD 80606b. The text also mentions a survey of six highly eccentric extrasolar planetary systems, including HD 3651, HD 37605, HD 45350, HD 80606, HD 89744, and 16 Cyg B. The results of the survey show that there is no evidence for additional planets in these systems, and test particle simulations indicate that there are regions detectable by current surveys where additional objects could exist.",0,{'n_sentences': 5}
2,"The paper studies rare Z decays of the Higgs boson in four new physics models: Type-II 2HDM, Lepton-Specific 2HDM, NMSSM, and N2MSSM. The decays considered are h→ZZ, h→WW, and h→γγ, with the Higgs boson h being a light CP-odd Higgs boson with a significant singlet component. The paper finds that the branching ratios of these decays can be as large as 0.05, 0.08, and 0.09, respectively, in the optimal cases of the models, and these decays may be accessible at the GigaZ option of the International Linear Collider. The paper also finds that the branching ratio of h→ZZ can reach 0.5 in the optimal case of the Type-II 2HDM, and the decay h→WW may serve as an alternative channel to test new physics models, especially to distinguish the NMSSM from the N2MSSM if supersymmetry is found at the LHC and the h→WW is observed at the GigaZ with a large rate. The paper also notes that in the NMSSM, the Higgs boson h may be lighter than 100 GeV without conflicting with low energy data from B physics observables and other constraints, and in this case, h is axion-like and its decay into a highly collinear muon pair may be detectable at the GigaZ.",0,{'n_sentences': 9}
3,"The no-scale supersymmetry (SUSY) scenario is a promising extension of the Standard Model that solves the naturalness problem and predicts gauge coupling unification. In this scenario, the only source of SUSY breaking is gaugino masses, making it highly predictive. The separation of the hidden and observable sectors in the Kähler potential implies that contributions of SUSY particles to flavor-changing neutral currents are suppressed, making this scenario interesting from the viewpoint of the SUSY flavor problem. The minimal scenario, where universal gaugino masses are given at the GUT scale, is severely constrained by direct search bounds and the cosmological constraint. However, when the boundary condition is given above the GUT scale, relatively large parameter regions are allowed, and the scenario can be explored at the Tevatron or LHC. The case of non-universal gaugino masses given at the GUT scale allows for wino, Higgsino, or sneutrino as the lightest supersymmetric particle (LSP), and the Higgsino LSP case is constrained by the Higgs mass bound.",1,{'n_sentences': 6}
4,"<summary>
The paper discusses the stability of horizons formed in spacetimes of colliding plane waves (CPW), focusing on the cross-polarized version of the Bell-Szekeres (BS) solution. The Chandrasekhar-Xanthopoulos (CX) solution, which also forms a Cauchy horizon (CH), is mentioned as a related example. The paper aims to test the validity of the Helliwell-Konkowski (HK) stability conjecture using exact back-reaction solutions. The conjecture suggests that certain test fields will cause a CH to become singular. The paper considers three types of test fields: electromagnetic (EM), scalar, and null dust. The stability of quasiregular (QR) singularities in the incoming region of the cross-polarized BS spacetime is analyzed using these test fields. An exact back-reaction solution for the collision of cross-polarized EM field coupled with a scalar field is presented. The paper also considers the insertion of test null dusts into the background CPW spacetime and studies their exact back-reaction solution. The paper concludes that the HK stability conjecture is not always correct in predicting the nature of singularities in the interaction region of CPW spacetimes.
</summary>",0,{'n_sentences': 8}
5,"The Chandra Deep Field North (CDF-N) survey has detected normal galaxies with X-ray fluxes below 9 x 10^-15 erg cm^-2 s^-1 in the 0.5-2 keV band, contributing up to 50% of the X-ray background (XRB) flux in this band. The CDF-N has reached depths necessary to detect individually many normal galaxies up to a redshift of 1.5, corresponding to a look-back time of 8.5 Gyr. The X-ray luminosity per unit B-band luminosity of normal galaxies is expected to be larger at higher redshifts due to increased star formation rates, and measurements of the X-ray luminosities of typical galaxies can constrain models of X-ray binary production in galaxies.",0,{'n_sentences': 4}
6,"Quantum systems can exhibit non-classical correlations, with the strongest being Bell non-locality, which allows for secure key distribution. However, there are degrees of non-classicality, with the weakest being non-separable states, which cannot be expressed as a mixture of product states. The class of steerable states is strictly larger than the set of non-separable states, and all Bell non-local states are steerable. A separable quantum state shared by Alice and Bob is both Bell-local and non-steerable. EPR steering, a special case of steering, is the only way to verify the existence of entanglement if one party or their detectors cannot be trusted. A bipartite state is Bell-local if and only if there is a local hidden variable model for any measurements Alice and Bob perform. In this paper, we investigate the EPR steerability of the class of two-qubit states whose reduced states are maximally mixed, known as T-states. We use the steering ellipsoid formalism to develop a deterministic local hidden state model for projective measurements on these states and conjecture that this model is optimal. We also derive two sufficient conditions for T-states to be EPR steerable via suitable EPR steering inequalities, including a new asymmetric steering inequality for the spin covariance matrix. These sufficient conditions touch the necessary condition in some regions of the space of T-states and are quite close to it elsewhere.",0,{'n_sentences': 8}
7,"<summary>
Spin-based computing, or spintronics, uses the spin polarization of a single electron to encode binary information. The idea was first mentioned by Richard Feynman in the mid-1980s, but practical schemes for implementing spintronic logic gates were not proposed until the mid-1990s. Spin-based devices have potential advantages over charge-based devices, including lower power dissipation, immunity to noise, and potentially faster operation. In 1994, a scheme for a spintronic NAND gate using three exchange-coupled spins in quantum dots was proposed. However, these devices face challenges in pipelined architectures due to the bidirectional nature of exchange interaction, which can lead to metastable states and prevent logic signal propagation. One proposed solution is to use a multi-phase clock to enforce unidirectional signal flow, but this approach has practical limitations. Quantum dots with high densities can be fabricated using electrochemical techniques, but the power dissipation of spin-based devices can be significant. Reversible logic gates, which do not dissipate energy, are a potential solution to this challenge. Spin-based qubits, which use the spin orientation of a single electron or nucleus to encode quantum information, have been proposed as a promising approach for quantum computing. Optical readout of spin states is a more practical approach than electrical readout, as it does not require contacts to individual quantum dots.
</summary>",0,{'n_sentences': 9}
8,"<summary>
Cataclysmic variables (CVs) are binary stars consisting of a white dwarf (WD) primary and a low-mass main sequence secondary. The secondary fills its Roche lobe and transfers mass to the WD through the inner Lagrangian point. The orbital period distribution of CVs with hydrogen-rich donors lacks systems in the 2-3 hour period range (the period gap) and has a sharp cut-off at around 77 minutes. Theoretical models have not been able to accurately reproduce the observed short-period cut-off and the shape of the CV orbital period distribution near this cut-off. The orbital angular momentum (AM) loss rate of a CV can be written as the sum of systemic AM loss rate (e.g., gravitational wave radiation) and consequential AM loss (CAML) rate, which is a function of the mass transfer rate. The authors investigate ways to increase the period minimum by increasing the mass transfer rate and to ""hide"" the spike by introducing a spread of minimum orbital periods in the CV population.
</summary>",1,{'n_sentences': 6}
9,"The mid-infrared spectral mapping of Stephan's Quintet using the Spitzer Space Telescope revealed a vast extent of warm molecular hydrogen (H2) emission, with a lower limit luminosity of 1.2 x 10^42 erg s^-1 spread over 30 kpc, dominating the mid-infrared emission of the system. The H2 emission is associated with two main shock structures: the main shock and a new feature called the ""bridge,"" which is likely a remnant of past tidal interactions within the group. The spatial variation in the distribution of the H2 0-0 line ratios implies differences in temperature and excitation in the shocked system. The global L(H2)/L(X-ray) ratio in the main shock is ~92, and ~62.5 in the new ""bridge"" feature, indicating that mid-infrared H2 lines are a stronger coolant than X-ray emission over the shock structures, modifying the traditional view that X-rays dominate cooling at all times in the later stages of compact group evolution.",0,{'n_sentences': 5}
