index,generated,result,format_properties
0," <ans>
def remove\_Occ(str\_var, char\_var):
for index\_var in range(len(str\_var)):
if (str\_var[index\_var] == char\_var):
str\_var = str\_var[0 : index\_var] + str\_var[index\_var + 1:]
break
for index\_var in range(len(str\_var) - 1, -1, -1):
if (str\_var[index\_var] == char\_var):
str\_var = str\_var[0 : index\_var] + str\_var[index\_var + 1:]
break
return str\_var
</ans>",0,{}
1," <ans>
def sort\_matrix(matrix):
result = sorted(matrix, key=sum)
return result
</ans>",0,{}
2," <ans>
def find\_Volume(length, breadth, height) :
return ((length \* breadth \* height) / 2)
</ans>",0,{}
3," <ans>
import re

def text\_lowercase\_underscore(input\_string):
 regex\_pattern = '^[a-z]+_[a-z]+$'
 if re.search(regex\_pattern, input\_string):
 return True
 else:
 return False
</ans>",0,{}
4," <ans>
def square\_perimeter(x):
 boundary=4\*x
 return boundary
</ans>",0,{}
5," <ans>
TOTAL\_CHARACTERS = 256
def str\_to\_list(input\_string): 
	temporary\_list = [] 
	for char in input\_string: 
		temporary\_list.append(char) 
	return temporary\_list 
def lst\_to\_string(char\_list): 
	return ''.join(char\_list) 
def get\_char\_count\_array(input\_string): 
	char\_count\_array = [0] \* TOTAL\_CHARACTERS 
	for char in input\_string: 
		char\_count\_array[ord(char)] += 1
	return char\_count\_array 
def remove\_dirty\_chars(input\_string, filter\_string): 
	char\_count\_array = get\_char\_count\_array(filter\_string) 
	input\_index = 0
	result\_index = 0
	string\_as\_list = str\_to\_list(input\_string) 
	while input\_index != len(string\_as\_list): 
		char = string\_as\_list[input\_index] 
		if char\_count\_array[ord(char)] == 0: 
			string\_as\_list[result\_index] = string\_as\_list[input\_index] 
			result\_index += 1
		input\_index+=1
	return lst\_to\_string(string\_as\_list[0:result\_index]) 
</ans>",0,{}
6," <ans>
def test\_duplicate(input\_list):
unique\_elements = set(input\_list)
return length(input\_list) != length(unique\_elements)
</ans>",0,{}
7," <ans>
def is\_woodall(y):
if (y % 2 == 0):
return False
if (y == 1):
return True
y = y + 1
q = 0
while (y % 2 == 0):
y = y/2
q = q + 1
if (q == y):
return True
return False
</ans>",0,{}
8," <ans>
def rev(value):
    reversed\_value = 0
    while (value > 0):
        reversed\_value = (reversed\_value * 10 + value % 10)
        value = value // 10
    return reversed\_value

def check(input\_value):
    return (2 \* rev(input\_value) == input\_value + 1)
</ans>",0,{}
9," <ans>
def find\_Max\_Num(list\_of\_numbers) :<br> length\_of\_list = len(list\_of\_numbers)<br> list\_of\_numbers.sort(reverse = True) <br> max\_number = list\_of\_numbers[0] <br> for index in range(1,length\_of\_list) : <br> max\_number = max\_number \* 10 + list\_of\_numbers[index] <br> return max\_number<br></ans>",0,{}
10," <ans>
def opposite\_Signs(a,b):
return ((a ^ b) < 0);
</ans>",0,{}
11," <ans>
def is\_octagonal(x): 
return 3 \* x \* x - 2 \* x
</ans>",0,{}
12," <ans>
from collections import defaultdict
def count\_Substrings(input\_string):
length\_of\_string = len(input\_string)
substring\_count, current\_sum = 0, 0
frequency\_map = defaultdict(lambda : 0)
frequency\_map[0] += 1
for index in range(length\_of\_string):
current\_sum += ord(input\_string[index]) - ord('0')
substring\_count += frequency\_map[current\_sum - (index + 1)]
frequency\_map[current\_sum - (index + 1)] += 1
return substring\_count
</ans>",0,{}
13," <ans>
def smallest\_num(list\_of\_numbers):
return min(list\_of\_numbers)
</ans>",0,{}
14," <ans>
def max\_difference(input\_list):
  difference\_list = [abs(second\_element - first\_element) for first\_element, second\_element in input\_list]
  max\_diff = max(difference\_list)
  return (max\_diff)
</ans>",0,{}
15," <ans>
def course\_scores(course\_scores\_list):
#course\_scores\_list = [('English', 88), ('Science', 90), ('Maths', 97), ('Social sciences', 82)])
 course\_scores\_list.sort(key = lambda item: item[1])
 return course\_scores\_list
</ans>",0,{}
16," <ans>
def recursive_list\_sum(input\_list):
sum\_total = 0
for item in input\_list:
if type(item) == type([]):
sum\_total = sum\_total + recursive\_list\_sum(item)
else:
sum\_total = sum\_total + item
return sum\_total
</ans>",0,{}
17," <ans>
def positive\_counter(items):
positive\_counter = 0
for element in items:
if element >= 0:
positive\_counter += 1
return positive\_counter
</ans>",0,{}
18," <ans>
def chime\_number(num):
chime = [[0 for i in range(num+1)] for j in range(num+1)]
chime[0][0] = 1
for index\_i in range(1, num+1):
chime[index\_i][0] = chime[index\_i-1][index\_i-1]
for index\_j in range(1, index\_i+1):
chime[index\_i][index\_j] = chime[index\_i-1][index\_j-1] + chime[index\_i][index\_j-1]
return chime[num][0]
</ans>",0,{}
19," <ans>
def is\_Monotonic(array): 
return (all(array[index] <= array[index + 1] for index in range(len(array) - 1)) or
all(array[index] >= array[index + 1] for index in range(len(array) - 1)))
</ans>",0,{}
20," <ans>
def is\_sublist(main\_list, sub\_list):
	is\_sublist = False
	if sub\_list == []:
		is\_sublist = True
	elif sub\_list == main\_list:
		is\_sublist = True
	elif len(sub\_list) > len(main\_list):
		is\_sublist = False
	else:
		for index in range(len(main\_list)):
			if main\_list[index] == sub\_list[0]:
				counter = 1
				while (counter < len(sub\_list)) and (main\_list[index+counter] == sub\_list[counter]):
					counter += 1				
				if counter == len(sub\_list):
					is\_sublist = True
	return is\_sublist
</ans>",0,{}
21," <ans>
def find\_equal\_tuple(data):
k = 0 if not data else len(data[0])
status = 1
for item in data:
if len(item) != k:
status = 0
break
return status
def get\_equal(data):
return find\_equal\_tuple(data) == 1
</ans>",0,{}
22," <ans>
def comb_sort(numbers):
    shrink\_factor = 1.3
    gap\_size = len(numbers)
    is\_swapped = True
    index = 0
    while gap\_size > 1 or is\_swapped:
        gap\_size = int(float(gap\_size) / shrink\_factor)
        is\_swapped = False
        index = 0
        while index + gap\_size < len(numbers):
            if numbers[index] > numbers[index+gap\_size]:
                numbers[index], numbers[index+gap\_size] = numbers[index+gap\_size], numbers[index]
                is\_swapped = True
            index += 1
    return numbers
</ans>",0,{}
23," <ans>
def dif\_Square(x): 
if (x % 4 != 2): 
return True
return False
</ans>",0,{}
24," <ans>
def is\_samepatterns(hues, designs):
hue\_set = set()
color\_set = set()
mapping = {}
pattern\_set = set()
for index in range(len(designs)):
pattern\_set.add(designs[index])
color\_set.add(hues[index])
if designs[index] not in mapping.keys():
mapping[designs[index]] = []

mapped\_colors = mapping[designs[index]]
mapped\_colors.append(hues[index])
mapping[designs[index]] = mapped\_colors

if len(pattern\_set) != len(color\_set):
return False

for color\_list in mapping.values():
for index in range(len(color\_list) - 1):
if color\_list[index] != color\_list[index+1]:
return False

return True
</ans>",0,{}
25," <ans>
def find_tuples(input\_list, divisor):
result = [tuple\_element for tuple\_element in input\_list if all(element % divisor == 0 for element in tuple\_element)]
return result
</ans>",0,{}
26," <ans>
def is\_Diff(x): 
return (x % 11 == 0)
</ans>",0,{}
27," <ans>
def word\_len(input\_string):<br>
&nbsp;&nbsp;&nbsp;&nbsp; input\_string = input\_string.split(' ')<br>
&nbsp;&nbsp;&nbsp;&nbsp; for current\_word in input\_string:<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if len(current\_word)%2!=0:<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; return True<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; else:<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; return False<br>
</ans>",0,{}
28," <ans>
def tetrahedral_number(x): 
	return (x * (x + 1) * (x + 2)) / 6
</ans>",True,{}
29," <ans>
def get\_Char(input\_string):
 total\_sum = 0
 for index in range(len(input\_string)):
 total\_sum += (ord(input\_string[index]) - ord('a') + 1)
 if (total\_sum % 26 == 0):
 return ord('z')
 else:
 total\_sum = total\_sum % 26
 return chr(ord('a') + total\_sum - 1)
</ans>",0,{}
30," <ans>
def seq(x): 
	if x == 1 or x == 2: 
		return 1
	else: 
		return seq(seq(x-1)) + seq(x-seq(x-1))
</ans>",True,{}
31," <ans>
def hex_num(x):
  output = 3 * x * (x - 1) + 1
  return output
</ans>",0,{}
32," <ans>
import collections as collections\_alias
def merge\_dictionaries\_three(dictionary\_one,dictionary\_two, dictionary\_three):
merged\_dict = dict(collections\_alias.ChainMap({},dictionary\_one,dictionary\_two,dictionary\_three))
return merged\_dict
</ans>",0,{}
33," <ans>
import collections

def freq\_count(input\_list):
  frequency\_counter = collections.Counter(input\_list)
  return frequency\_counter
</ans>",0,{}
34," <ans>
def closest_num(M):
  return (M - 1)
</ans>",True,{}
35," <ans>
def length\_log(array1):
maximum\_length = len(array1[0])
for element in array1:
if len(element) > maximum\_length:
maximum\_length = len(element)
return maximum\_length
</ans>",0,{}
36," <ans>
def find\_substring(main\_string, substring):
if any(substring in e for e in main\_string):
return True
return False
</ans>",0,{}
