index,generated,result,format_properties
0," <ans>
def remove\_Occ(K2ZW, qhF): 
for CEPyYngFb in range(len(K2ZW)): 
if (K2ZW[CEPyYngFb] == qhF): 
K2ZW = K2ZW[0 : CEPyYngFb] + K2ZW[CEPyYngFb + 1:] 
break
for CEPyYngFb in range(len(K2ZW) - 1, -1, -1):  
if (K2ZW[CEPyYngFb] == qhF): 
K2ZW = K2ZW[0 : CEPyYngFb] + K2ZW[CEPyYngFb + 1:] 
break
return K2ZW
</ans>",0,{}
1," <ans>
def sort\_matrix(yBMWXaSCr):
result = sorted(yBMWXaSCr, key=sum)
return result
</ans>",0,{}
2," <ans>
def find\_Volume(bPI, yRn, UbHoWC) : 
 return ((bPI \* yRn \* UbHoWC) / 2)
</ans>",0,{}
3," <ans>
import re
def text\_lowercase\_underscore(JowoRo):
        D8s7bA16J = '^[a-z]+_[a-z]+$'
        if re.search(D8s7bA16J,  JowoRo):
                return True
        else:
                return False
</ans>",0,{}
4," <ans>
def square\_perimeter(glOU3shV):
  U\_TG7=4\*glOU3shV
  return U\_TG7
</ans>",0,{}
5," <ans>
G16Qmt = 256
def str\_to\_list(L\_4F2): 
	zL2cEpV = [] 
	for zAQlxJ4SX in L\_4F2: 
		zL2cEpV.append(zAQlxJ4SX) 
	return zL2cEpV 
def lst\_to\_string(VxfCQGgX): 
	return ''.join(VxfCQGgX) 
def get\_char\_count\_array(L\_4F2): 
	H1zx = [0] \* G16Qmt 
	for UbEctT in L\_4F2: 
		H1zx[ord(UbEctT)] += 1
	return H1zx 
def remove\_dirty\_chars(L\_4F2, NLLzPkkGo): 
	H1zx = get\_char\_count\_array(NLLzPkkGo) 
	XmI = 0
	JozGw82Kw = 0
	rQJM9U = '' 
	str\_list = str\_to\_list(L\_4F2) 
	while XmI != len(str\_list): 
		rQJM9U = str\_list[XmI] 
		if H1zx[ord(rQJM9U)] == 0: 
			str\_list[JozGw82Kw] = str\_list[XmI] 
			JozGw82Kw += 1
		XmI+=1
	return lst\_to\_string(str\_list[0:JozGw82Kw]) 
</ans>",0,{}
6," <ans>
def test\_duplicate(yY2):
nums\_set = set(yY2)
return E3x(yY2) != E3x(nums\_set)
</ans>",0,{}
7," <ans>
def is\_woodall(Jm8GAF0): 
 Jm8GAF0 = Jm8GAF0 + 1  
 AwaII = 0  
 while (Jm8GAF0 % 2 == 0): 
 Jm8GAF0 = Jm8GAF0 / 2  
 AwaII = AwaII + 1  
 if (AwaII == Jm8GAF0): 
 return True  
 return False
</ans>",0,{}
8," <ans>
def rev(YNvDMbZ):
OlJL = 0
while (YNvDMbZ > 0):
OlJL = (OlJL * 10 + YNvDMbZ % 10)
YNvDMbZ = YNvDMbZ // 10
return OlJL

def check(fZJZ):
return (2 \* rev(fZJZ) == fZJZ + 1)
</ans>",0,{}
9," <ans>
def find\_Max\_Num(\_7qc18Ref) :
n = len(\_7qc18Ref)
\_7qc18Ref.sort(reverse = True)
NlwsekkqH = \_7qc18Ref[0]
for QrPT in range(1,n) :
NlwsekkqH = NlwsekkqH \* 10 + \_7qc18Ref[QrPT]
return NlwsekkqH
</ans>",0,{}
10," <ans>
def opposite\_Signs(DSuFE, bty):
 return ((DSuFE ^ bty) < 0);
</ans>",0,{}
11," <ans>
def is\_octagonal(AYmqg): 
 return 3 \* AYmqg \* AYmqg - 2 \* AYmqg
</ans>",0,{}
12," <ans>
from collections import defaultdict
def count\_Substrings(UG\_n9):
n = len(UG\_n9)
cU9k, TGRBI1 = 0, 0
OZSH = defaultdict(lambda : 0)
OZSH[0] += 1
for oHPbzR in range(n):
TGRBI1 += ord(UG\_n9[oHPbzR]) - ord('0')
cU9k += OZSH[TGRBI1 - (oHPbzR + 1)]
OZSH[TGRBI1 - (oHPbzR + 1)] += 1
return cU9k
</ans>",0,{}
13," <ans>
def smallest\_num(ZuQOBdV):
 return min(ZuQOBdV)
</ans>",0,{}
14," <ans>
def max\_difference(i9n4d):
max\_difference(test\_list) -> i9n4d
temp = [abs(b - a) for a, b in i9n4d] -> e2et6 = [abs(aJ42 - VkAKq) for VkAKq, aJ42 in i9n4d]
res = max(temp) -> L0n = max(e2et6)
return (res) -> return (L0n)
</ans>",0,{}
15," <ans>
def Dk033\_X(NGcymwgn):
NGcymwgn.sort(key = lambda R5BLmFg: R5BLmFg[1])
return NGcymwgn
</ans>",0,{}
16," <ans>
def recursive\_list\_sum(ysGFbuN3):
	sbkm2u = 0
	for KYivBnrRg in ysGFbuN3:
		if type(KYivBnrRg) == type([]):
			sbkm2u = sbkm2u + recursive\_list\_sum(KYivBnrRg)
		else:
			sbkm2u = sbkm2u + KYivBnrRg
	return sbkm2u
</ans>",0,{}
17," <ans>
def XIpeUc(y7Jw641RI):
  XIpeUc= 0
  for ikk in y7Jw641RI: 
    if ikk >= 0: 
      XIpeUc += 1
  return XIpeUc
</ans>",True,{}
18," <ans>
def xvvhs(nrWvMG1):
xvvhs = [[0 for i in range(nrWvMG1+1)] for j in range(nrWvMG1+1)]
xvvhs[0][0] = 1
for MX9T in range(1, nrWvMG1+1):
xvvhs[MX9T][0] = xvvhs[MX9T-1][MX9T-1]
for iLJXgu in range(1, MX9T+1):
xvvhs[MX9T][iLJXgu] = xvvhs[MX9T-1][iLJXgu-1] + xvvhs[MX9T][iLJXgu-1]
return xvvhs[nrWvMG1][0]
</ans>",0,{}
19," <ans>
def is\_Monotonic(Aey): 
return (all(Aey[Yj1ivhNLY] <= Aey[Yj1ivhNLY + 1] for Yj1ivhNLY in range(len(Aey) - 1)) or
all(Aey[Yj1ivhNLY] >= Aey[Yj1ivhNLY + 1] for Yj1ivhNLY in range(len(Aey) - 1)))
</ans>",0,{}
20," <ans>
def is\_sublist(eKJoKf, x5sKI):
D5r = False
if x5sKI == []:
D5r = True
elif x5sKI == eKJoKf:
D5r = True
elif len(x5sKI) > len(eKJoKf):
D5r = False
else:
for Yc0 in range(len(eKJoKf)):
if eKJoKf[Yc0] == x5sKI[0]:
aNQaf = 1
while (aNQaf < len(x5sKI)) and (eKJoKf[Yc0+aNQaf] == x5sKI[aNQaf]):
aNQaf += 1				
if aNQaf == len(x5sKI):
D5r = True
return D5r
</ans>",0,{}
