index,generated,result
0,"1. The transport properties of nonlinear, non-equilibrium dynamical systems, such as ratchet systems, are not well understood.
2. Ratchet systems are asymmetric periodic potentials that can direct the transport of an ensemble of particles.
3. The interest in ratchet systems comes from the possibility of extracting useful work from unbiased noisy fluctuations, as seen in biological systems.
4. Recent research has focused on deterministic chaotic ratchets and Hamiltonian ratchets.
5. The behavior of nonlinear systems, including the transition from regular to chaotic behavior, is sensitive to the system's parameters.
6. Mateos considered a specific ratchet model and found that the current can change direction based on the amplitude of the periodic forcing.
7. Mateos conjectured a connection between current direction reversal and bifurcations in the trajectory dynamics, but this has been disputed.
8. A study by Barbi and Salerno proposed an alternative origin for current reversal, but their arguments assume ergodicity, which is not always true for chaotic systems.",0
1,"1. The discovery of over 200 extrasolar planets has revealed a wide range of eccentricities, with many having moderate to high eccentricities.
2. Planet-planet scattering and merger scenarios have been proposed to explain the architecture of some extrasolar planetary systems.
3. Interactions with stellar companions can also boost a planet's eccentricity, and the Kozai mechanism can induce large-amplitude oscillations in a planet's eccentricity.
4. Of the 15 stars hosting a planet with high eccentricity, six also have stellar-mass companions in wide binary orbits.
5. Test particle simulations have been used to investigate the dynamical possibility of additional low-mass planets in six extrasolar planetary systems.
6. The simulations revealed regions in each system where additional planets could remain in stable orbits.
7. The radial-velocity measurements from the Hobby-Eberly Telescope (HET) were used to determine the regions in which planets could be detected with 99% confidence.
8. The companion limits were highly varied, with the tightest limits obtained for hd 3651 and hd 45350.
9. The results suggest that there is no evidence for additional planets in the six systems studied.",0
2,"1. The LEP experiments at the resonance of the Z boson have tested the Standard Model (SM) at the quantum level, measuring the Z decay into fermion pairs with high accuracy. The good agreement between LEP data and SM predictions has constrained new physics at the Z pole.
2. The physics of the Z boson is expected to play a central role in the frontier of particle physics if the next generation Z factory is realized, with generated Z events several orders of magnitude higher than that of LEP. This factory can be achieved in the Gigaz option of the International Linear Collider (ILC).
3. The ILC is a proposed electron-positron collider with tunable energy ranging from 12 to 13 GeV and polarized beams in its first phase. The Gigaz option corresponds to its operation on top of the resonance of the Z boson by adding a bypass to its main beam line.
4. The high luminosity, cross section at the resonance of the Z boson, and the number of Z events generated in an operational year of Gigaz can improve the sensitivity to the branching ratio of Z decay.
5. The properties of the Z boson, especially its exotic or rare decays, should be investigated comprehensively to evaluate their potential in probing new physics.
6. Among the rare Z decays, flavor changing (FC) processes were most extensively studied to explore the flavor texture in new physics.
7. The Z decay into light Higgs bosons is another type of rare process that was widely studied, and the rates of these decays can be as large as the kinematic forbidden of these decays in the SM.
8. The work extends the previous studies of these decays to some new models and investigates these decays altogether, motivated by recent studies on the singlet extension of the MSSM and the more stringent constraints on the properties of the light Higgs boson.",0
3,"1. Supersymmetry (SUSY) is an extension of the Standard Model that solves the naturalness problem and predicts gauge coupling unification at the GUT scale. It also predicts the existence of superpartners of Standard Model particles, with their masses expected to be below the TeV range.
2. The mechanism of SUSY breaking and its mediation to the MSSM sector is an important problem in SUSY phenomenology. In many models, this dynamics is related to high energy physics far above the electroweak scale.
3. If SUSY breaking is mediated by gravity, the structure of SUSY breaking masses of scalars is determined by the Kähler potential. In the no-scale type Kähler potential, the hidden sector and the observable sector are separated, and all scalar masses and trilinear scalar couplings vanish as the cosmological constant vanishes.
4. The no-scale structure of the Kähler potential is obtained in various models, including weakly coupled heterotic string theory. It is also realized naturally in a five-dimensional setting with two branes, where the hidden sector fields live on one brane and the visible sector fields live on the other.
5. In the no-scale scenario, the degrees of freedom of SUSY particle mass spectrum are limited because only non-zero soft SUSY breaking masses are gaugino masses and Higgs mixing mass at the energy scale where the boundary condition is given.
6. Current limits from the lightest Higgs mass and the branching ratio for h → γγ are used to constrain the no-scale scenario. When universal gaugino masses are given at the GUT scale, almost all the parameter region is excluded.
7. When the boundary condition is given above the GUT scale, a relatively large parameter region is allowed. The case of non-universal gaugino masses given at the GUT scale is also important when the higgsino-like neutralino is the LSP.
8. The minimal scenario, where universal gaugino masses are given at the GUT scale, is severely constrained by the cosmological bound and direct search limit at LEP 2. The other two scenarios, where universal gaugino masses are given above the GUT scale or non-universal gaugino masses are given at the GUT scale, are not constrained by the cosmological",0
4,"1. * Colliding plane waves (CPW) can result in spacelike singularities, but this strength is weakened by relative cross polarization prior to collision.
2. * A solution by Chandrasekhar and Xanthopoulos (CX) has a Cauchy horizon (CH) instead of a spacelike singularity, which led to a literature focused on horizon stability.
3. * CH formed in spacetimes of CPW was shown to be unstable against plane-symmetric perturbations, and any such perturbation turns the CH into an essential singularity.
4. * The electromagnetic (EM) field itself weakens the singularity strength in CPW collisions, with pure EM waves having special significance for singularity formation.
5. * A solution by Bell and Szekeres (BS) describes the collision of two linearly polarized step EM waves, with a removable singularity in the interaction region but essential curvature singularities on the null boundaries.
6. * A cross-polarized version of the BS (CPBS) solution was found, with regular Weyl scalars in the interaction region but unremoved singularities on the null boundaries.
7. * The paper tests the validity of the Helliwell and Konkowski (HK) conjecture on CH stability using the CPBS solution with various added test fields.
8. * The paper also discusses singularity classifications, the backreaction effect on CH, and presents an exact back reaction calculation for the collision of cross-polarized EM field coupled with scalar field.
9. * The metric for collision of EM waves with cross polarization is analyzed, and the stability of quasiregular (qr) singularities in the incoming region is investigated using geodesics and test EM and scalar field analyses.",0
5,"1. Deep X-ray surveys, such as the CDF-N, have detected normal galaxies with X-ray emission at cosmologically interesting distances. These galaxies contribute significantly to the X-ray background (XRB) and are likely the most numerous extragalactic X-ray sources.
2. Normal galaxies are expected to dominate the number counts at 0.52 keV fluxes of ~10^-15 erg s^-1 cm^-2. The CDF-N survey has reached the depths necessary to detect individually many normal galaxies at redshifts up to ~5.
3. The ratio of X-ray luminosity to K-band luminosity in normal galaxies is an indicator of the current level of star formation. Spectroscopic redshifts for galaxies are drawn from catalogs, while photometric redshifts are used for the redshift interval where spectroscopic determination is difficult.
4. The study focuses on galaxies at z~1 due to extensive spectroscopic redshift coverage and superb imaging for morphological studies. The CDF-N data provide extremely deep X-ray coverage over this area.
5. The sample is constructed by filtering galaxies based on optical luminosity and morphology, and excluding galaxies with X-ray detections. The synthetic photometry package synphot in IRAF is used to calculate the X-ray to K-band luminosity ratio.
6. The sample is divided into several bins based on redshift, ensuring a sufficient number of galaxies per bin. The number of galaxies, median redshift, median look-back time, and median optical magnitude are listed for each bin.
7. Stacking analysis of galaxies in the redshift bins results in significant detections in the soft band for all bins up to z~1. The results for two different spiral galaxy SED samples are nearly identical, except for the detection in the highest redshift bin.
8. The X-ray luminosities of individually detected galaxies are generally much higher than those of the stacked galaxies, suggesting that they are atypical of the normal galaxy population. The percentage of radio detections among individually detected galaxies is higher than that among stacked galaxies.
9. The average X-ray luminosity of spiral galaxies in the stacking sample is higher than that of the Shapley et al. (2001) sample, consistent with",0
6,"1. Quantum systems can exhibit non-classical correlations, with different degrees of non-classicality. 
2. At the weaker end, there are non-separable or entangled states, which cannot be expressed as a mixture of product states.
3. At the stronger end, there are systems that can violate Bell inequalities, demonstrating the violation of local causality.
4. EPR-steering is a phenomenon where one party can steer the state of another party's system through local measurements.
5. A bipartite state is EPR-steerable if it allows for a demonstration of EPR-steering, and a state is not EPR-steerable if there exists a hybrid LHV-LHS model explaining the Alice-Bob correlations.
6. The logical hierarchy of non-separability, EPR-steerability, and Bell-locality leads to a hierarchy for bipartite states.
7. The interplay of quantum and classical correlations in mixed states produces a richer structure compared to pure states.",0
7,"1. The concept of using an electron's spin to encode binary information was first proposed by an unidentified individual, with Richard Feynman mentioning it in casual conversations around 1985.
2. Spintronic devices may offer advantages such as lower power consumption, reduced susceptibility to noise, and faster operation compared to traditional charge-based devices.
3. In 1994, a concrete scheme for realizing a classical universal logic gate (NAND) using three spins in a weak magnetic field was proposed.
4. The ground state of the array has an anti-ferromagnetic ordering, with the spin configuration determining the logic state (1 or 0).
5. The system's response to different input configurations is determined by the magnetic field, exchange interaction, and energy differences between triplet and singlet states.
6. A shortcoming of spintronic devices is their inability to ensure unidirectional flow of logic signals, which is essential for classical logic devices.
7. A proposed solution to this problem is the use of clocking, as demonstrated in charge-coupled device arrays, to impose unidirectionality in time.
8. However, implementing this solution in spintronic devices requires a three-phase clock and presents challenges in lithography and energy dissipation.
9. Reversible logic gates, not constrained by the Landauer limit, are a potential solution to the energy dissipation challenge in spin-based classical irreversible logic gates.",0
8,"1. Cataclysmic variables (CVs) are binary star systems with a white dwarf (WD) primary and a low-mass main sequence secondary that transfers mass to the WD through the inner Lagrangian point.
• The orbital period distribution of CVs with hydrogen-rich donors has a lack of systems in the 2-3 hour period range (the period gap) and a sharp cut-off at around 77 minutes.
• Theoretical models have not been able to accurately reproduce the observed short-period cut-off and shape of the CV orbital period distribution near this cut-off.
• The minimum period for CVs that evolve under the influence of gravitational radiation (GR) as the only sink of orbital angular momentum (AM) is reached at approximately 80 minutes.
2. The probability of finding a system within a given period range is proportional to the time taken to evolve through this region.
• The orbital period evolution of CVs reflects the radius evolution of the mass donor, which is governed by two competing effects: mass transfer expands the star, while thermal relaxation contracts the star back to its equilibrium radius.
• The minimum period occurs where the two corresponding time scales, the mass transfer time and the thermal (Kelvin-Helmholtz) time, are about equal.
• The position of the minimum period is affected by the assumed mass transfer rate and the assumed rate of orbital AM losses.
3. The orbital AM loss rate of a CV can be written as the sum of two terms: the systemic AM loss rate and an explicit function of the mass transfer rate.
• The systemic AM loss rate is independent of mass transfer, while the second term is a function of the mass transfer rate.
• The AM is assumed to be lost via mass loss that is axis-symmetrical with respect to an axis fixed at the WD center but perpendicular to the orbital plane.
• The total fraction of mass lost from the secondary that leaves the system is defined as @xmath19, and a fraction of the transferred mass leaves the system with some fraction of the angular momentum it had on leaving the @xmath4 point.
4. The mass transfer rate is seen to decrease with increasing deformation, which can be understood from the functional dependence on orbital period and donor mass in the usual quadrupole formula for the",0
9,"1. Stephan's Quintet (SQ) is a compact group of galaxies with a highly disturbed intragroup medium due to a complex sequence of interactions and harassment.
* A large-scale intergalactic shock wave has been produced by the high-velocity collision of an intruder galaxy with the intergalactic medium of the group.
* The shock-heated gas is responsible for the X-ray emitting gas, and the region is powered by strong shocks, not star formation.
* The main elements of SQ include a primary shock, an intruder galaxy (NGC 7318b), a Seyfert 2 galaxy, and other group members.
2. The discovery of extremely powerful pure rotational H2 line emission from the center of the shock using the Spitzer Space Telescope has sparked intense interest in the SQ system.
* Warm molecular hydrogen emission was found with a line luminosity exceeding the X-ray luminosity from the shock.
* The mid-infrared (MIR) H2 linewidth was resolved, suggesting that the H2-emitting clouds carry a large bulk-kinetic energy, tapping a large percentage of the energy available in the shock.
* A recent model of SQ involving the collision between two inhomogeneous gas flows describes H2 formation out of the multiphase, shocked gas, and an efficient cooling channel for high-speed shocks as an alternative to X-ray emission.
3. Since the SQ detection, several other systems exhibiting similarly strong H2 emission have been discovered.
* A large subset of local 3CR radio galaxies have extremely dominant MIR rotational H2 lines, often seen against a very weak thermal continuum.
* The low AGN and star formation power are insufficient to drive the MIR H2 emission.
* Mechanical heating driven by the radio jet interaction with the host galaxy ISM is the favored mechanism.
4. The study of nearby prototypes may provide valuable insight into the nature of these more distant systems.
* The large scale (~30 kpc) of the SQ shock is well-suited for such a study.
* The authors extend the single pointing observations of SQ to full spectral maps of SQ using the IRS instrument on the Spitzer Space Telescope.
* In paper II, they will",0
