index,generated,result
0,"1. The transport properties of nonlinear, non-equilibrium dynamical systems, particularly ratchet systems, are not well understood.
2. Ratchet systems are asymmetric periodic potentials that can direct an ensemble of particles to move in a particular direction.
3. The interest in ratchet systems comes from the possibility of extracting useful work from unbiased noisy fluctuations, as observed in biological systems.
4. Recent research has focused on deterministic chaotic ratchets and Hamiltonian ratchets, which are sensitive to initial conditions and system parameters.
5. The behavior of nonlinear systems, including the transition from regular to chaotic behavior, is sensitive to system parameters, leading to complex phase-space structures.
6. Mateos considered a specific ratchet model with a periodically forced underdamped particle and showed that the current could reverse direction depending on the amplitude of the periodic forcing.
7. Mateos conjectured a connection between current reversal and bifurcations in the trajectory dynamics, but Barbi and Salerno argued that this was not a valid rule.
8. A new investigation is necessary to understand the impact of different kinds of ensembles of particles on the current and the role of ergodicity in characterizing the behavior of chaotic deterministic ratchets.",0
1,"1. The discovery of over 200 extrasolar planets has revealed a wide range of eccentricities, with many having moderate to high eccentricities.
2. Several theories have been proposed to explain the origin of highly eccentric extrasolar planets, including planet-planet scattering and stellar companion interactions.
3. The kozai mechanism, which can induce large-amplitude oscillations in a planet's eccentricity, has been suggested as a possible explanation for the high eccentricity of certain planets.
4. Test particle simulations have been performed to investigate the dynamical possibility of additional low-mass planets in six selected systems, revealing regions where additional planets could remain in stable orbits.
5. The results of these simulations, combined with detection limit computations, suggest that there is no evidence for additional planets in these systems and that tight limits can be set on any potential companions.",0
2,"1. The LEP experiments at the resonance of the Z-boson have tested the Standard Model (SM) at the quantum level, measuring the Z-decay into fermion pairs with high accuracy.
2. The good agreement between LEP data and SM predictions has constrained new physics at the Z-pole, making the physics of the Z-boson central to the frontier of particle physics if a next-generation Z-factory is realized.
3. This factory could be achieved in the Gigaz option of the International Linear Collider (ILC), an electron-positron collider with tunable energy, polarized beams, and a bypass for resonance operation.
4. With high luminosity, cross-section, and expected sensitivity, the ILC Gigaz could generate several orders of magnitude more Z events than LEP, improving the sensitivity to the branching ratio of Z-decay.
5. Investigating Z-boson properties, especially exotic or rare decays, is crucial for probing new physics, as these decays are widely believed to be sensitive to new physics.
6. Among rare Z-decays, flavor-changing (FC) processes have been extensively studied to explore flavor texture in new physics, with branching ratios significantly enhanced in new physics models.
7. Another type of rare process is the Z-decay into light Higgs bosons, which has been studied in various models, including the Two Higgs Doublet Model (2HDM) and the Minimal Supersymmetric Standard Model (MSSM).
8. In these models, the rates of these decays can be as large as the SM prediction, lying within the expected sensitivity of the ILC Gigaz.
9. Recent studies on singlet extensions of the MSSM, such as the Next-to-Minimal Supersymmetric Standard Model (NMSSM) and the Nearly Minimal Supersymmetric Standard Model (NMSSM), have motivated the investigation of these decays in new models.",0
3,"1. Supersymmetry (SUSY) is an extension of the Standard Model that solves the naturalness problem, predicts gauge coupling unification, and the existence of superpartners of Standard Model particles.
2. The mechanism of SUSY breaking and its mediation to the Minimal Supersymmetric Standard Model (MSSM) sector is an important problem in SUSY phenomenology, often related to high energy physics far above the electroweak scale.
3. The no-scale type Kähler potential separates the hidden and observable sectors, resulting in a predictive scenario with only gaugino masses as the source of SUSY breaking.
4. In the no-scale scenario, the degrees of freedom of SUSY particle mass spectrum are limited due to the boundary condition, which only allows non-zero soft SUSY breaking masses for gaugino masses and the Higgs mixing mass.
5. Current limits from the lightest Higgs mass and the branching ratio for h → γγ are used to constrain the no-scale scenario, excluding almost all the parameter region when universal gaugino masses are given at the GUT scale.
6. However, when the boundary condition is given above the GUT scale, a relatively large parameter region is allowed, and these constraints are important when the higgsino-like neutralino is the LSP.",0
4,"1. Colliding plane waves (CPW) can result in spacelike singularities, but this strength is weakened by relative cross polarization before collision.
2. A solution by Chandrasekhar and Xanthopoulos (CX) has a Cauchy horizon (CH) instead of a spacelike singularity, which led to a literature focused on the stability of horizons in CPW spacetimes.
3. CHs formed in CPW spacetimes were shown to be unstable against plane-symmetric perturbations, and a linear perturbation analysis by CX revealed similar results.
4. The electromagnetic (EM) field itself weakens the strength of a singularity in CPW collisions, with pure EM wave collisions having special significance for singularity formation.
5. The solution by Bell and Szekeres (BS) describes the collision of two linearly polarized step EM waves, resulting in a removable singularity in the interaction region but essential curvature singularities on the null boundaries.
6. A cross-polarized version of the BS solution (CPBS) has regular Weyl scalars in the interaction region, but singularities remain on the null boundaries.
7. The paper tests the validity of a conjecture by Helliwell and Konkowski (HK) regarding the stability of CHs using the CPBS solution with various added test fields.
8. The authors use the terminology of singularities from the classification presented by Ellis and Schmidt, dividing them into quasiregular (QR), scalar curvature (SC), and non-scalar curvature (NSC) types.",0
5,"1. The Chandra Deep Field North (CDF-N) surveys have detected normal galaxies with X-ray emission at cosmologically interesting distances, contributing significantly to the X-ray background (XRB) flux in the 0.52 keV band.
2. The study of these normal galaxies aims to understand the dominant source of their X-ray emission, which could be a population of X-ray binaries, hot interstellar gas, or a low-luminosity active galactic nucleus (AGN).
3. By analyzing the X-ray luminosities of typical galaxies, researchers can constrain models of X-ray binary production in galaxies and study the evolution of the X-ray luminosity to K-band luminosity ratio in normal spiral galaxies up to z ~ 1.
4. The study also investigates the contribution of normal galaxies to the XRB and the fraction of the diffuse XRB explained by galaxies lingering just below the CDF-N detection threshold.",0
6,"1. Quantum systems can exhibit non-classical correlations, with different degrees of non-classicality, and for simplicity, this discussion focuses on bipartite correlations between two spatially separated parties, Alice and Bob.
2. At the weaker end of the spectrum, there are non-separable or entangled states, which cannot be expressed as a mixture of product states of the constituents.
3. At the stronger end, there are quantum systems whose measurement correlations can violate Bell inequalities, demonstrating (modulo loopholes) the violation of local causality, known as Bell-nonlocality.
4. EPR-steering is a phenomenon that lies between non-separability and Bell-nonlocality, and it is the only way for two spatially separated parties to verify the existence of entanglement if either of them or their detectors cannot be trusted.
5. A bipartite state is said to be EPR-steerable if and only if it allows a demonstration of EPR-steering, and a state is not EPR-steerable if and only if there exists a hybrid LHV-LHS model explaining the Alice-Bob correlations.
6. The authors investigate EPR-steerability of the class of two-qubit states whose reduced states are maximally mixed, the so-called T-states, and they use the steering ellipsoid formalism to develop a deterministic LHS model for projective measurements on these states.
7. They also obtain two sufficient conditions for T-states to be EPR-steerable via suitable EPR-steering inequalities, and they conjecture that this model is optimal.
8. The paper is organized into sections discussing the three notions of non-locality, introducing the quantum steering ellipsoid formalism, developing a deterministic LHS model for projective measurements on T-states, deriving asymmetric steering inequalities for arbitrary two-qubit states, and concluding with future work.",0
7,"1. The concept of using an electron's spin to encode information was first proposed by an unidentified visionary and later popularized by Feynman.
2. Spintronic devices have potential advantages over charge-based devices, including lower power dissipation, reduced noise susceptibility, and faster operation.
3. In 1994, a concrete scheme for realizing a classical universal logic gate (NAND) using three spins in a weak magnetic field was proposed.
4. The spin orientation in a quantum dot becomes a binary variable due to the magnetic field, with the spin polarization being either along or opposite to the field.
5. Anti-ferromagnetic ordering is preferred over ferromagnetic ordering in the presence of exchange interaction between two electrons in separate potentials.
6. Spintronic NAND gates have been designed and illustrated, and they can be used to realize any arbitrary Boolean logic circuit.
7. However, spintronic devices have a severe shortcoming that precludes their use in pipelined architectures due to the bidirectional nature of exchange interaction.
8. A more elegant solution to enforce unidirectionality was proposed in 1996, inspired by charge coupled device (CCD) arrays, which achieve unidirectional charge propagation through clocking.
9. Although multi-phase clocking can make these devices work, it is not an attractive solution due to the challenges in fabricating gate pads between every two cells and the considerable energy dissipation caused by moving charges into and out of the gate pads.",0
8,"1. Cataclysmic variables (CVs) are binary star systems with a white dwarf primary and a low-mass main sequence secondary that transfers mass to the white dwarf.
2. The orbital period distribution of CVs with hydrogen-rich donors has a gap and a sharp cut-off, which theoretical models have struggled to accurately reproduce.
3. The minimum period that CVs can reach is affected by the assumed mass transfer rate and the rate of orbital angular momentum losses.
4. The paper investigates ways to increase the minimum period by increasing the mass transfer rate and introducing a spread of minimum period values in the CV population.
5. The authors consider a form of consequential angular momentum loss (CAML) where angular momentum is lost as a consequence of the mass transferred from the secondary.
6. The paper presents detailed calculations of the long-term evolution of CVs and compares the observed short-period CV period distribution with various theoretically synthesized model distributions.",0
9,"1. Stephan's Quintet (SQ) is a compact group of galaxies with a highly disturbed intragroup medium resulting from a complex sequence of interactions and harassment.
2. The high-velocity collision of an intruder galaxy with the intergalactic medium of the group has produced a large-scale intergalactic shock wave, observed as a narrow filament in the radio continuum and detected in X-rays.
3. The shock-heated X-ray emitting gas is powered by strong shocks, not star formation, and is associated with the giant filament seen in the system.
4. The discovery of extremely powerful pure rotational H2 line emission from the center of the shock using the Spitzer Space Telescope has sparked interest in the SQ system.
5. The large-scale shock in SQ is well-suited for studying nearby prototypes, which may provide valuable insights into the nature of more distant systems.",0
10,"1. The short-lived radioisotope (SLRI) Xmath4al was present during the formation of the first refractory solids in the solar nebula and may have been injected into the presolar cloud or solar nebula by a supernova or AGB star shock wave.
2. The injection occurred as a single, spatially heterogeneous event, which could reduce the usefulness of Xmath4al as a spatially homogeneous chronometer for precise studies of the earliest phases of planet formation.
3. Initial spatial isotopic heterogeneity can be substantially reduced in a marginally gravitationally unstable (MGU) disk due to large-scale inward and outward transport and mixing of gas and small particles.
4. Other elements and their isotopes suggest a well-mixed solar nebula, but stable oxygen isotopes appear to have been spatially heterogeneous during the early phases of planet formation.
5. The leading explanation for generating oxygen anomalies is UV photodissociation of CO molecules at the surface of the outer solar nebula, where self-shielding could lead to isotopic fractionation between gas-phase and solid-phase oxygen atoms.
6. The very existence of refractory particles in comet 81P/Wild 2 implies that these small particles experienced large-scale outward transport from the inner solar nebula to the comet-forming regions of the outer solar nebula.
7. MGU disks offer a means to accomplish this early large-scale transport and are likely to be involved in FU Orionis outbursts experienced by young solar-type stars.
8. MGU models can explain high mass accretion rates needed to explain FU Orionis events and offer an alternative mechanism for gas giant planet formation.
9. The presented models examine the time evolution of isotopic heterogeneity introduced in either the inner or outer solar nebula, by either a single-shot event or a continuous injection process, for a variety of disk and central protostar masses, including protostars with M dwarf masses.",0
11,"1. The authors conducted a search for new particles with a narrow natural width that decay to dijets, specifically looking for axigluons, excited states of composite quarks, color octet technirhos, new gauge bosons, and scalar diquarks.
2. They combined dijet mass spectra from four triggers with integrated luminosities ranging from 0.089 pb@xmath0 to 69.8 pb@xmath0.
3. Jets were defined using a fixed cone clustering algorithm and corrected for detector response, energy lost outside the cone, and underlying event.
4. The two highest @xmath15 jets were required to have pseudorapidity @xmath16 and a cms scattering angle @xmath17| < 2/3 $ to reduce QCD background.
5. The dijet mass distribution was presented as a differential cross section in bins of the mass resolution, and the data was systematically higher than a prediction from Pythia plus a CDF detector simulation.
6. To search for new particles, the authors determined the QCD background by fitting the data to a smooth function of three parameters and found upward fluctuations near 200, 550, and 850 gev / c@xmath1.
7. The authors also studied the angular distribution of the fluctuation in a specific mass region and found it to be compatible with both QCD alone and with QCD + 5% excited quark (best fit).
8. From the likelihood distribution including experimental systematic uncertainties, the authors obtained the 95% CL upper limit on the cross section for new particles.
9. The authors compared this to the cross section for axigluons, excited quarks, technirhos, W and Z, and e6 diquarks, and found that the large mass of the top quark suggests that the third generation may be special.",0
12,"1. The discovery of the accelerated expansion of the universe has led to the development of new cosmological models, including those that consider interactions within the dark sector, which is composed of dark energy (DE) and dark matter (DM).
2. These models aim to alleviate the coincidence problem, which is the fine-tuning required for the DE/DM ratio to be of order unity in the standard LCDM model.
3. Observations of the background evolution and the emergence of large scale structure can be used to constrain the interaction within the dark sector.
4. Current and future observations, such as those from the BOSS and eBOSS surveys, will provide more precise measurements of the expansion history and the growth of structure, which will help to set constraints on interactions between dark sectors and clarify the nature of DM/DE interactions.",0
13,"1. Type 1 AGNs exhibit a variety of broad and narrow emission lines that offer insights into the structure and kinematics of photoionized and excited gas surrounding the central massive object.
2. Broad emission lines, like Hβ, are thought to originate in or near an accretion disk acting as the fuel reservoir for the central supermassive black hole.
3. Two Type 1 AGN populations have been identified based on broad-line widths: Population A has smaller widths (FWHM Hβ=1000-4000 km/s) and includes Narrow Line Seyfert 1 sources, while Population B has larger widths (FWHM Hβ=4000-12000 km/s) and includes both radio-quiet and radio-loud quasars.
4. Broad-line profile shifts and asymmetries have been observed, with Population A sources showing rare systematic red or blue shifts, and Population B sources displaying more complex line shift properties.
5. Narrow emission lines, like [OIII]5007, are generally considered a reliable measure of the local quasar rest frame, except in the case of ""blue outliers"" found in sources with FWHM Hβ=1500-3500 km/s and weak [OIII].
6. Blue outliers show [OIII] blueshifts as large as 10,000 km/s, and their existence challenges the assumption that narrow lines can always be used as a rest frame measure.
7. The study of line spectra and profile shifts in AGNs is crucial for understanding the geometry and kinematics of the broad-line region, and the potential impact of systematic line shifts on models should not be overlooked.",0
14,"1. Nuclear multifragmentation is the subject of intense theoretical and experimental study due to the possibility of a liquid-gas phase transition in nuclear matter.
2. The first experimental evaluation of the nuclear caloric curve was reported in 1995, showing a wide plateau interpreted as a sign of a phase transition.
3. However, subsequent experiments have reported slightly different caloric curves, with discrepancies attributed to experimental precision and finite-size effects.
4. Recent improvements to the microcanonical multifragmentation model include the use of experimental discrete energy levels and modifications to the level density formula for excited fragments.
5. The model has been used to reevaluate caloric curves for a source nucleus, showing a liquid-like region, a large plateau-like region, and a linearly increasing gas-like region.
6. The model also predicts a phase transition around 4.5 MeV/nucleon excitation energy, as indicated by a sharp maximum in the constant volume heat capacity curve.",0
15,"1. The solar corona, which is much hotter than the visible surface of the sun, is believed to be heated by magnetic fields or waves that convert convective energy into thermal energy.
2. The energy to heat the corona may come from the dissipation of magneto-hydrodynamic (MHD) waves or from numerous small-scale magnetic reconnection events called nanoflares.
3. A new setup using the mid-sized coronagraph at Lomnicky Peak Observatory will observe high-frequency coronal oscillations in the Fe XIV green line using the SECIS instrument, with the goal of improving our understanding of coronal heating and its implications for solar physics and solar-terrestrial relationships.",0
16,"1. Water vapor is an important molecule in interstellar and circumstellar clouds, and the 6@xmath8 - 5@xmath9 masing transition of H@xmath3O at 22 GHz has been used to trace high excitation gas around star-forming regions and evolved stars.
2. Other H@xmath3O lines have been detected from ground or airborne-based telescopes, but only the 3@xmath11 - 2@xmath12 transition at 183 GHz has been used to map the emission of H@xmath3O at very large spatial scales.
3. The Iso satellite has provided the opportunity to observe thermal lines of water in the middle and far-infrared, and mapping of the SgrB2 molecular cloud has shown that water vapor is an ubiquitous molecule in molecular clouds with an abundance of 10@xmath7.
4. The 3@xmath11 - 2@xmath12 transition of H@xmath3O at 183 GHz has been used to derive abundance estimates for different large-scale components of the Orion molecular cloud.
5. Ground-based observations of another masing transition of H@xmath3O with similar properties to those of the 183 GHz line could aid in deriving H@xmath3O abundances.
6. The 325 GHz line of H@xmath3O was observed in the direction of Orion Irc2 and other molecular clouds, but no maps were obtained.
7. The present data show the importance of ground-based observations of H@xmath3O in deriving the abundance of H@xmath3O in molecular clouds and in providing useful constraints on the physical conditions of the emitting regions.
8. The observations were performed with the 10.4 m telescope of the Caltech Submillimeter Observatory at the summit of Mauna Kea (Hawaii) and the receiver was tuned at the frequency of the 5@xmath04@xmath1 line of H@xmath23O (325.152919 GHz).
9. The observations indicate that the lines from the image sideband are weaker than the 325 GHz H@xmath",0
