index,generated,result
0,"1. The transport properties of nonlinear non-equilibrium dynamical systems, particularly ratchet systems, are not well understood. Ratchet systems are asymmetric periodic potentials that cause directed transport of an ensemble of particles. The interest in this field comes from the possibility of extracting useful work from unbiased noisy fluctuations, as observed in biological systems.
2. Recent studies have focused on deterministic chaotic ratchets and Hamiltonian ratchets. These systems are sensitive to initial conditions and their behavior can change dramatically as parameters change, leading to changes in transport properties.
3. Mateos considered a specific ratchet model with a periodically forced underdamped particle and showed that the current, defined as the time-averaged velocity of an ensemble of particles, can change direction depending on the amplitude of the periodic forcing. Mateos conjectured a connection between current direction and bifurcations in the trajectory dynamics.
4. A later investigation by Barbi and Salerno argued that current reversals can occur in the absence of bifurcations from periodic to chaotic behavior. They proposed an alternative origin for current reversal, related to the stability properties of the rotating periodic orbits of the system.
5. However, the arguments presented by Barbi and Salerno are based on the behavior of a single particle, which may not be true for chaotic systems in general due to the possibility of extreme dependence on the statistics of the ensemble being considered.
6. A detailed methodology for understanding transport properties in mixed regular and chaotic systems has been laid out in earlier studies. The specific system under consideration has multiple coexisting periodic or chaotic attractors or a mixture of both, and the behavior of a probability ensemble in such a system is relevant to possible experimental validation of these results.
7. The current investigation studies the properties of the current in a chaotic deterministic ratchet, specifically the same system as considered by Mateos and Barbi and Salerno. The study finds that the current depends significantly on the details of the initial ensemble and that it is important to discard transients in quantifying the current.
8. The investigation also finds evidence for a generalized version of Mateos's conjecture, that bifurcations for trajectory dynamics as a function of system parameter seem to be associated with abrupt changes in the current. However, not all bifurcations lead to current reversal, and",1
1,"1. The text discusses the discovery and analysis of extrasolar planetary systems, specifically those with high eccentricities. These eccentricities challenge existing theories of planet formation and migration.
2. The authors describe various mechanisms that could explain these high eccentricities, including planet-planet scattering, stellar companion interactions, and the Kozai mechanism. They also discuss the possibility of multi-planet systems and the presence of low-mass ""hot Neptunes.""
3. The authors present the results of their study of six eccentric planetary systems, using observational data from the McDonald Observatory and the Hobby-Eberly Telescope (HET). They fit the data with Keplerian orbits and perform test particle simulations to investigate the dynamical possibility of additional low-mass planets.
4. The authors find that the test particle simulations can help determine the regions in which additional planets could remain in stable orbits. They also note that the detection limits vary depending on the observing strategy and the number of observations.
5. The authors conclude that there is no evidence for additional planets in the six systems they studied. However, they note that there are regions where additional objects could exist and that further observations and simulations are needed to constrain the architecture of these systems.",1
2,"1. The LEP experiments at the resonance of the Z boson have tested the Standard Model (SM) at the quantum level, measuring the Z decay into fermion pairs with high accuracy. The good agreement between LEP data and SM predictions has constrained new physics at the Z pole.
2. The physics of the Z boson is expected to play a central role in the frontier of particle physics if the next generation Z factory is realized, which can generate Z events several orders of magnitude higher than that of LEP.
3. The ILC, a proposed electron-positron collider with tunable energy and polarized beams, can realize this factory by operating on top of the Z boson resonance with a bypass added to its main beam line.
4. The rates of rare Z decays, such as the flavor changing processes and the decay into light Higgs bosons, can be significantly enhanced in new physics models and may be observable at the ILC.
5. Recent studies have shown that new physics models, such as the Next-to-Minimal Supersymmetric Standard Model (NMSSM) and the Nearly Minimal Supersymmetric Standard Model (NMSSM), can naturally accommodate a light CP-odd Higgs boson with a singlet-dominant component.
6. These non-minimal supersymmetric models can avoid the muon g-2 problem and alleviate the little hierarchy problem by having such a light Higgs boson.
7. With the latest experiments, the properties of the light Higgs boson are more stringently constrained than before, making it worthwhile to update previous studies.
8. The lower bound on the lightest Higgs boson mass can be significantly relaxed in extensions of the SM, such as the NMSSM, the NMSSM, and the Lepton-Specific Two-Higgs-Doublet Model (L2HDM).
9. In this work, the authors study the rare Z decays Z → γA0, Z → A0A0, and Z → H+H- in a comparative way for four models, namely the Type-II 2HDM, the L2HDM, the NMSSM, and the NMSSM, and examine carefully the constraints on the light A0 from many latest experimental results.",1
3,"1. Supersymmetry (SUSY) is an attractive extension of the Standard Model that solves the naturalness problem and predicts gauge coupling unification at the GUT scale. It also predicts the existence of superpartners of the SM particles, with their masses expected to be below the TeV range. Mechanisms of SUSY breaking and its mediation to the MSSM sector are important problems in SUSY phenomenology.
2. The no-scale type Kähler potential is a type of Kähler potential in which the hidden sector and the observable sector are separated, and all scalar masses and trilinear scalar couplings vanish as the cosmological constant vanishes. The only source of SUSY breaking is gaugino masses, making this scenario highly predictive with various phenomenological consequences obtained with a few parameters.
3. The no-scale structure of the Kähler potential is obtained in various models, including weakly coupled heterotic string theory and the sequestered sector scenario in a five-dimensional setting with two branes. In this scenario, the hidden sector fields live on one brane and the visible sector fields live on the other, and the form of the Kähler potential of the effective theory obtained by dimensional reduction is indeed given by eq.([eq : noscalekahler]).
4. In the no-scale scenario, the degrees of freedom of SUSY particle mass spectrum are limited because only non-zero soft SUSY breaking masses are gaugino masses and Higgs mixing mass at the energy scale where the boundary condition is given. Phenomenological aspects of this scenario have been investigated, mainly focusing on the mass spectrum.
5. Current limits from the lightest Higgs mass and the branching ratio for h → γγ are used to constrain the no-scale scenario. When universal gaugino masses are given at the GUT scale, almost all the parameter region is excluded. However, when the boundary condition is given above the GUT scale, a relatively large parameter region is allowed. The constraints are also important when the higgsino-like neutralino is the LSP.
6. The minimal scenario, where universal gaugino masses are given at the GUT scale, is severely constrained by the cosmological bound and direct search limit at LEP 2. The other two scenarios, where universal gaugino masses are given above the GUT scale or",1
4,"1. Colliding plane waves (CPW) result in spacelike singularities, but this strength is weakened by relative cross polarization prior to collision [1]. However, a solution by Chandrasekhar and Xanthopoulos (CX) possesses a Cauchy horizon (CH) instead of a spacelike singularity [2].
2. CH formed in spacetimes of CPW was shown to be unstable against plane-symmetric perturbations [3, 4]. Any perturbation applied to a CPW spacetime will turn the CH into an essential singularity.
3. The electromagnetic (EM) field itself weakens the strength of a singularity in CPW. Collision of pure EM waves must have a special significance for singularity formation [5].
4. A cross-polarized version of the BS solution (CPBS) was found, which has the nice feature that the Weyl scalars are all regular in the interaction region [6, 7]. However, cross polarization does not remove the singularities formed on the null boundaries.
5. The paper tests the validity of the HK stability conjecture for the CPBS solution with various added test fields. The conjecture is more economical in reaching a direct conclusion about the stability of a CH compared to perturbation analysis.
6. The metric that describes collision of EM waves with cross polarization was found to be a minimal extension of the BS metric, with a conformally non-flat solution generated by the cross polarization [7].
7. The paper investigates the stability of quasiregular (qr) singularities in the cpbs spacetime using geodesics and test EM and scalar field analyses, and presents an exact back reaction calculation for the collision of cross-polarized EM field coupled with scalar field.
8. The conjecture suggests that putting a test field into the background geometry and studying the reaction it will experience can indicate whether certain scalars diverge, which would render a CH unstable and convert it into a scalar singularity.",1
5,"1. X-ray studies of ""normal"" galaxies have been extended to cosmologically interesting distances through deep field surveys, such as the CDF surveys, which have reached 1 ms of exposure. These surveys have detected significant numbers of normal galaxies among the population of X-ray sources contributing to the XRB.
2. Normal galaxies are likely to be the most numerous extragalactic X-ray sources in the universe and are expected to dominate the number counts at 0.52 keV fluxes of ~10^-15 erg s^-1 cm^-2. The CDF-N survey has reached the depths necessary to detect individually many normal galaxies at a look-back time of ~12.2 Gyr.
3. The ratio of X-ray luminosity to K-band luminosity is an indicator of the current level of star formation in a galaxy. The study presented here places observational constraints on the evolution of this ratio for normal spiral galaxies up to z~1.2. The study also places constraints on the fraction of the diffuse XRB explained by galaxies lingering just below the CDF-N detection threshold.
4. Stacking techniques have been used to estimate the emission at extremely faint flux levels for normal galaxies. The study found that the X-ray luminosity per unit K-band luminosity is larger at z~1 than in the local universe, indicating a larger contribution from X-ray binary populations at earlier epochs. This can be used to constrain models of X-ray binary production in galaxies.",1
6,"1. Quantum systems can exhibit non-classical correlations, which can be categorized into different types: non-separable or entangled states, EPR-steerable states, and Bell-nonlocal states.
2. Non-separable states cannot be expressed as a mixture of product states, while EPR-steerable states allow for a demonstration of EPR-steering, which is the ability to remotely prepare a quantum state.
3. Bell-nonlocal states violate Bell inequalities, indicating the presence of non-local correlations.
4. EPR-steering is a necessary condition for Bell-nonlocality, and it is the only way to verify the existence of entanglement if either party or their detectors cannot be trusted.
5. The notion of EPR-steering was formalized eight years ago and is defined as the ability to demonstrate EPR-steering using a hybrid local hidden variable (LHV) and local hidden state (LHS) model.
6. The hierarchy of non-classical correlations for bipartite states is as follows: separable states are a strict subset of non-EPR-steerable states, which are in turn a strict subset of Bell-local states.
7. The steering ellipsoid formalism is used to investigate EPR-steerability of the class of two-qubit states whose reduced states are maximally mixed, known as t-states.
8. A deterministic LHS model for projective measurements on t-states is developed, and two sufficient conditions for t-states to be EPR-steerable are obtained via EPR-steering inequalities.",1
7,"1. The idea of using an electron's spin to encode binary information was first proposed by an unidentified visionary and later popularized by Feynman in the mid-1990s.
2. Encoding information in spin has potential advantages such as lower power dissipation, immunity to noise, and faster operation.
3. In 1994, a concrete scheme for realizing a classical universal logic gate (NAND) using three spins was proposed.
4. The ground state of the array has an anti-ferromagnetic ordering, and the spin configuration encodes logic 1.
5. If the inputs change rapidly compared to the time it takes for the metastable state to decay, the system can function properly.
6. However, if exchange interaction is bidirectional, it can prevent unidirectional flow of logic signals, which is necessary for any logic device.
7. A proposed solution is to use clocking to impose unidirectionality in time, but this requires lowering adjacent barriers pairwise at the same time.
8. Multi-phase clocking can make these devices work, but it requires fabricating gate pads between every two cells, which is a major lithography challenge.
9. The minimum power dissipation per unit area for a quantum inverter using two exchange coupled spins is 3 kw/cm^2, which is much higher than current chips.",1
8,"1. Cataclysmic variables (CVs) are binary star systems with a white dwarf primary and a low-mass main sequence secondary. The secondary star fills its Roche lobe and transfers mass to the white dwarf through the inner Lagrangian point. The orbital period distribution of CVs with hydrogen-rich donors shows a lack of systems in the 2-3 hour period range (the period gap) and a sharp cut-off at around 77 minutes.
2. Theoretical models have not been able to accurately reproduce the observed short-period cut-off and shape of the CV orbital period distribution near this cut-off. The minimum period for CVs that evolve under the influence of gravitational radiation as the only sink of orbital angular momentum is around 80 minutes.
",0
9,"1. Stephan's Quintet (SQ) is a compact group of galaxies with a highly disturbed intragroup medium due to a complex sequence of interactions and harassment. A large-scale intergalactic shock wave has been produced as a result of a high-velocity collision between an intruder galaxy and the intergalactic medium of the group.
2. The shock wave is responsible for heating the x-ray emitting gas, as evidenced by optical emission line ratios and observed broad linewidths. The shock wave is also associated with the detection of extremely powerful pure rotational H2 line emission, which has sparked intense interest in the SQ system.
3. The distribution of large-scale x-ray and radio emission, along with optical emission line diagnostics, provides strong evidence that the giant filament seen in SQ is the result of a strong shock. The spectral cubes of the shock region reveal a new H2 structure running eastward from the ""main"" shock ridge, which is observed faintly in X-ray and radio continuum images.
4. The distribution of warm H2 emission along the length of the main north-south (ns) shock ridge and along the ""bridge"" demonstrates the remarkable projected coexistence of hot x-ray plasma and warm H2. The s(3) line exhibits a clear correspondence to the x-ray, notably at the center of the shock, where peaks are found at both wavelengths.
5. The intergalactic star formation region SQ-a is essentially absent in x-ray emission but is strongly detected in H2 emission. The s(0) line demonstrates correspondence with the main shock, but is dominated by emission in the north where less powerful radio emission is observed. The s(3) line presents a much tighter correlation with regions of the shock that are more radio luminous than the lower-j transitions. The radio emission is likely sensitive to the most compressed regions of the shock where cosmic ray particles are accelerated more strongly, while the brightest x-ray patches are likely due to the fastest regions of the shock.",1
