index,generated,result,format_properties
0,"<summary>
In this paper, we explore the complex behavior of nonlinear statistical mechanical systems, specifically focusing on chaotic deterministic ratchets. We argue that it is crucial to factor out issues of size, location, spread, and transience in computing the ""current"" due to an ensemble before searching for general rules. We propose that bifurcations in single-trajectory behavior often correspond to sudden spikes or jumps in the current for an ensemble in the same system. Current reversals are a special case of this. However, not all spikes or jumps correspond to a bifurcation, nor vice versa. The open question is whether these rules are valid or violated near certain bifurcation points. We conclude that it is useful to find general rules of thumb, even if not universally valid, to understand the complicated behavior of non-equilibrium nonlinear statistical mechanical systems.
</summary>",0,"{'n_points': 8, 'n_subpoints': 1, 'symbol': '•'}"
1,"<summary>
1. The study investigates the detection of additional planets in known planetary systems, particularly in the context of extrasolar planets.
2. The research includes the detection of planets with eccentricities ranging from 0.00 to 0.06, which are significant for the detection of additional planets.
3. The study uses high-precision het data to detect additional planets in known planetary systems, providing a comprehensive analysis of the detection limits.
4. The research also examines the detection of additional planets in the HD 3651 system, which has a high eccentricity of 0.630.
5. The study compares the detection limits of additional planets in known planetary systems with the detection limits of planets in the HD 3651 system.
6. The research also examines the detection of additional planets in the HD 45350 system, which has a high eccentricity of 0.778.
7. The study compares the detection limits of additional planets in known planetary systems with the detection limits of planets in the HD 45350 system.
8. The research also examines the detection of additional planets in the HD 80606 system, which has a high eccentricity of 0.933.
9. The study compares the detection limits of additional planets in known planetary systems with the detection limits of planets in the HD 80606 system.
10. The research also examines the detection of additional planets in the HD 89744 system, which has a high eccentricity of 0.689.
11. The study compares the detection limits of additional planets in known planetary systems with the detection limits of planets in the HD 89744 system.
12. The research also examines the detection of additional planets in the HD 89744 system, which has a high eccentricity of 0.689.
13. The study compares the detection limits of additional planets in known planetary systems with the detection limits of planets in the HD 89744 system.
14. The research also examines the detection of additional planets in the HD 89744 system, which has a high eccentricity of 0.689.
15. The study compares the detection limits of additional planets in known planetary systems with the detection limits of planets in the HD 89744 system.
16. The research also examines the detection",0,"{'n_points': 9, 'n_subpoints': 1, 'symbol': '*'}"
2,"<summary>
• The paper discusses the rare decays of the light CP-even Higgs boson (CP-even Higgs) in the type-II 2HDM and L2HDM models, which are predicted to be accessible at the gigaz level. The authors find that the branching ratios of the rare CP-even Higgs decays are significantly larger than those of the CP-odd Higgs decays, indicating that the CP-even Higgs is favored in the type-II 2HDM and L2HDM models. The authors also discuss the implications of these rare decays for the grand unification relation and the relic density of the CP-even Higgs boson.
</summary>",0,"{'n_points': 8, 'n_subpoints': 3, 'symbol': '•'}"
3,"<summary>
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *",0,"{'n_points': 8, 'n_subpoints': 3, 'symbol': '*'}"
4,"<summary>
In the context of colliding plane waves in general relativity, the study of colliding plane waves (CPW) has been known to result in spacelike singularities (CS). These singularities are weakened when the waves are endowed with a relative cross polarization prior to collision. Chandrasekhar and Xanthopoulos (CX) have shown that the solution of Chandrasekhar and Xanthopoulos (CX) constitutes an example contrasting this category, namely, it possesses a Cauchy horizon (CH) instead of a spacelike singularity. The stability conjecture proposed by Hellinger and Konkowski (HK) is based on the assumption that the cross polarization and the electromagnetic field are coupled. The stability conjecture correctly predicts that these CS are unstable. However, the same stability conjecture does not find the nature of the CS. The stability conjecture correctly predicts that the CS are unstable, but the same stability conjecture does not find the nature of the CS. The stability conjecture correctly predicts that the CS are unstable, but the same stability conjecture does not find the nature of the CS. The stability conjecture correctly predicts that the CS are unstable, but the same stability conjecture does not find the nature of the CS.
</summary>",0,"{'n_points': 9, 'n_subpoints': 4, 'symbol': '*'}"
5,"<summary>
• The paper discusses the detection of normal galaxies in deep x-ray surveys, particularly focusing on the cdf-n survey, which has reached deep exposure levels. The study includes the detection of normal galaxies at 0.52 keV fluxes below 100 erg/s, contributing to the x-ray background. The paper also explores the typical properties of normal galaxies, including their luminosity and the fraction of the x-ray background explained by galaxies at different redshifts.
• The authors extend the study to the entire plus  flanking fields region, focusing on galaxies at 0.52 keV fluxes. They use statistical methods to estimate the x-ray luminosity per unit @xmath2-band luminosity and constrain models of x-ray binary production in galaxies.
• The paper presents significant detections of x-ray emission from normal galaxies at 0.52 keV fluxes, which are significant in the context of the x-ray background. The authors also discuss the evolution of x-ray properties with redshift, including the non-linear relationship between x-ray luminosity and @xmath2-band luminosity for some types of spiral galaxies.
• The study provides a detailed analysis of the x-ray imaging data at each position in the cdf-n survey, including the stacking of galaxies and the detection significance of individual detections. The authors also compare the detection significance of stacked galaxies with the detection significance of individual detections.
• The paper concludes by discussing the significance of the detection of x-ray emission from normal galaxies at 0.52 keV fluxes, which is important for understanding the x-ray background and the evolution of x-ray properties with redshift.
</summary>",0,"{'n_points': 9, 'n_subpoints': 3, 'symbol': '•'}"
6,"<summary>
1. Quantum steering is a special case of epr steering, where the reduced state of one observer is described by a local hidden variable model.
2. The steering ellipsoid is a geometric representation of all separable states, and the steering ellipsoid surface is defined by a linear inequality.
3. The steering ellipsoid is a representation of all separable states, and the steering ellipsoid surface is defined by a nonlinear inequality.
4. The steering ellipsoid is a geometric representation of all separable states, and the steering ellipsoid surface is defined by a nonlinear inequality.
5. The steering ellipsoid is a geometric representation of all separable states, and the steering ellipsoid surface is defined by a nonlinear inequality.
6. The steering ellipsoid is a geometric representation of all separable states, and the steering ellipsoid surface is defined by a nonlinear inequality.
7. The steering ellipsoid is a geometric representation of all separable states, and the steering ellipsoid surface is defined by a nonlinear inequality.
</summary>",0,"{'n_points': 7, 'n_subpoints': 2, 'symbol': '*'}"
7,"<summary>
• Spin is a promising candidate for quantum computing due to its ability to encode qubits and utilize spin coherence times in solids.
• Quantum inverter and quantum gate devices using spin have been proposed and demonstrated, offering a potential solution to the Landauer barrier.
• The advantage of spin coherence times in solids over those in semiconductors is that it allows for the encoding of qubits without requiring electrical readout.
• Optical readout has been proposed as a practical alternative to electrical readout, but it still requires contacts to individual quantum dots.
• The spin-jump technique has been experimentally verified for electron states in quantum dots, making it a more practical approach.
• The use of spin in quantum computing has gained traction due to its potential to encode qubits and utilize spin coherence times in solids.
</summary>",0,"{'n_points': 9, 'n_subpoints': 2, 'symbol': '•'}"
8,"<summary>
• The paper investigates the theoretical and observational properties of short-period cataclysmic variables (CVs) and their potential mechanisms for increasing their period minimum.
• CVs are short-period binaries containing a white dwarf primary and a low-mass main sequence secondary.
• The paper presents a theoretical model for CVs that includes the effects of gravitational radiation as the only sink for orbital angular momentum.
• The model predicts a sharp cut-off at around 77 minutes, which is consistent with the observed period gap.
• The paper also investigates the accumulation of systems near the observed period minimum.
• The paper suggests that the period minimum problem and the period spike problem remain open issues.
• The paper concludes that the period minimum problem and the period spike problem remain an open issue.
</summary>",0,"{'n_points': 7, 'n_subpoints': 4, 'symbol': '•'}"
9,"<summary>
* The powerful h@xmath5  emission detected by @xcite surprisingly represents only a small fraction of the group-wide warm h@xmath5  (with a lower limit luminosity of @xmath89 spread over @xmath90 kpc@xmath7 ) that dominates the mid-IR emission of the system.
* There is evidence for another shock-excited feature, the so-called h@xmath5  bridge between the main shock and ngc 7319, which is likely a remnant of past tidal interactions within the group.
* The spatial variation in the distribution of the h@xmath5  0 - 0 line ratios implies differences in temperature and excitation in the shocked system.
* The results confirm that mir h@xmath9 lines are a stronger coolant than x-ray emission over the shock structures, indicating a new cooling pathway seen on a large scale in sq.
* Following earlier interpretations of nebular line ratios in the optical, we interpret infrared ionic lines within the framework of fast ( @xmath93 km@xmath0 ) ionizing shocks.
* Comparison between the @xmath10neii@xmath11 $ ] , @xmath10neiii@xmath11 $ ] , @xmath10siii@xmath11 $ ] and @xmath10feii@xmath11 $ ] line intensities implies that both silicon and iron are depleted onto dust.
* This result implies that dust is not destroyed in the shock.
* Star formation in sq is dominated by sq - a and 7318b - south, located at the extreme ends of the shock ridge seen at radio wavelengths, suggesting they are both shock triggered starbursts.
* However, regions dominated by warm h@xmath5  emission exhibit very low star formation rates, consistent with a turbulent model where h@xmath5  is significantly reheated and cool clouds are too short - lived or undersized to collapse.
* In sq, we observe the projected coexistence of @xmath10siii@xmath11 $ ] and h@xmath5 being produced by @xmath6200km@xmath0 and @xmath620km@xmath0 velocity shocks, respectively.
* Our observational results are consistent with a model of a multiphase postshock medium produced by a galaxy-wide collision @xcite.
* The",0,"{'n_points': 6, 'n_subpoints': 4, 'symbol': '*'}"
10,"<summary>
1. The text discusses the implications of single-shot versus continuous injection of isotopic heterogeneity into larger outer-radius disks, such as g dwarf and m dwarf protostars, for the evolution of the disk's color field and dispersion.
2. It compares the results of single-shot and continuous injection models for g dwarf protostars, showing that continuous injection leads to higher dispersion levels, which can be attributed to ongoing uv photodissociation and fractionation at the outer disk surface.
3. The text also mentions that the results of the models for m dwarf protostars suggest that mgu phases in low mass m dwarf disks may be responsible for the observed refractory grains in comet 81p / wild 2.
4. The text notes that the models show that a phase of marginal gravitational instability in disks and stars with various masses and disk temperatures can lead to relatively rapid inward and outward transport of disk gas and small grains, as required to drive the protostellar mass accretion associated with fu orionis events, and to explain the discovery of refractory grains in comet 81p / wild 2.
5. The text emphasizes that the main factor in determining the radial dispersion profile is whether the injection occurs in a single-shot or continuously, with continuous injection leading to stronger homogenization of the color field.
6. The text concludes that the results of the models for g dwarf protostars suggest that mgu phases in low mass m dwarf disks may be responsible for the observed refractory grains in comet 81p / wild 2, and that the models show that a phase of marginal gravitational instability in disks and stars with various masses and disk temperatures can lead to relatively rapid inward and outward transport of disk gas and small grains, as required to drive the protostellar mass accretion associated with fu orionis events, and to explain the discovery of refractory grains in comet 81p / wild 2.
</summary>",0,"{'n_points': 7, 'n_subpoints': 4, 'symbol': '*'}"
11,"<summary>
In this paper, we conduct a general search for new particles with a narrow natural width that decay to dijets. We search for the following particles summarized in Fig. [fig_particles]: axigluons from chiral QCD, excited states of composite quarks, color octet technirhos, new gauge bosons, scalar diquarks, and topgluons. We combine dijet mass spectra above a mass of 150 gev / c, 241 gev / c, 292 gev / c, and 388 gev / c with integrated luminosities of 7.5, 3.3, 3.3, and 69.8 pb, respectively. We use four triggers from run 1a and 1b to combine dijet mass spectra. We take the two highest jets and require that they have pseudorapidity and a CMS scattering angle < 2/3. We determine the qcd background by fitting the data to a smooth function of three parameters. We find upward fluctuations near 200 gev / c, 550 gev / c, and 850 gev / c for narrow resonances. We study the angular distribution of the fluctuation in the mass region 19 gev / c of run 1a data. We compare this to the cross section for axigluons (excluding 5 gev / c of run 1a data) and excited quarks (excluding 5 gev / c of run 1a data). We find that the topgluon is electroweakly produced and decays mainly to the third generation (statistical) with a narrow natural width. We search for the topgluon in the topcolor channel. We find that the topcolor cross section is nt large enough for us to set mass limits at this time. For topgluons, we find that the production cross section is larger, and we are able to exclude at 95% cl topgluons of width 57 gev / c of mass region 60 gev / c of run 1a data. We start with the data sample from the top mass measurement and use top decays to w + four jets with at least one b-tag. We find 19 events on a background of 2 gev / c of run 1a data, resulting in a top mass of 176 gev / c. We add",0,"{'n_points': 10, 'n_subpoints': 3, 'symbol': '*'}"
