index,generated,result,format_properties
0,"Here is a summary of the text using 8 bullet points with 2 levels of indentation:

<summary>
• Transport properties of nonlinear non-equilibrium dynamical systems are not well-understood
	• Ratchet systems are asymmetric periodic potentials where particles experience directed transport
• Chaotic deterministic ratchets have complicated phase-space structure that changes with parameters
	• Transport properties can change dramatically, such as current reversals
• Mateos conjectured current reversal is correlated with bifurcation from chaotic to periodic behavior
	• Later studies by Barbi and Salerno argued this is not always valid
• The authors study current properties in the same chaotic ratchet system
	• They consider the impact of different particle ensembles and show current depends on initial ensemble
• Bifurcations for individual trajectories seem associated with abrupt changes in current
	• Changes may lead to current reversal depending on the specific current value
• The authors compare bifurcation diagrams with current behavior
	• They find current reversals can occur without bifurcations, and vice versa
• A generalized heuristic is proposed: bifurcations correspond to sudden current changes (spikes/jumps)
	• Current reversals are a special case of this when the change goes through zero
• Open questions remain about when the heuristic rules are violated or valid
	• Further work is needed to make the reasons more concrete
</summary>",1,"{'n_points': 8, 'n_subpoints': 1, 'symbol': '•'}"
1,"Here is a summary of the text using 9 bullet points with 1 level of sub-points:

<summary>
* Many extrasolar planets have moderate to high eccentricities, unlike our solar system
	* Planet-planet scattering and interactions with stellar companions are possible explanations
* Six highly eccentric extrasolar planetary systems were studied: HD 3651, HD 37605, HD 45350, HD 80606, HD 89744, and 16 Cyg B
	* Each hosts a planet with e > 0.6 and was observed by planet search programs at McDonald Observatory
* Updated Keplerian orbital solutions were obtained for HD 3651b, HD 37605b, HD 80606b, and HD 89744b
	* No evidence was found for additional objects in any of the six systems
* Test particle simulations were performed to investigate regions where additional low-mass planets could remain stable
	* Surviving test particles were found in protected resonances for HD 3651 and HD 37605
* Limits on additional planets were computed using the radial velocity data
	* Planets with masses above the limits can be ruled out with 99% confidence
* The best limits were obtained for HD 3651, HD 45350, and 16 Cyg B
	* Planets of a few Neptune masses can be excluded in dynamically stable regions for these systems
* Poor limits were obtained for HD 37605, HD 80606, and HD 89744
	* Factors include poor phase coverage, short time baselines, and intrinsic scatter in the data
* Combining dynamical simulations with observational limits is particularly effective
	* This approach constrains both the presence and location of additional planets
* Further observations and simulations can place tighter constraints on planetary system architectures
	* Higher precision measurements and longer time baselines will continue to improve detection limits
</summary>",1,"{'n_points': 9, 'n_subpoints': 1, 'symbol': '*'}"
2,"Here is a summary of the text using 8 bullet points with 2 levels of indentation:

<summary>
• Rare Z-boson decays are studied in the Type-II 2HDM, Lepton-specific 2HDM, NMSSM and nMSSM models, which predict a light CP-odd Higgs boson A0
	• Decays studied include Z → f𝑓A0 (f = b, τ, μ), Z → A0γ and Z → A0A0A0
	• Branching ratios can reach 10−5 for Z → 𝑏𝑏A0, 10−8 for Z → A0γ and 10−6 for Z → A0A0A0 in allowed parameter space
	• Different models predict different branching ratios, allowing them to be distinguished
• The light CP-odd Higgs A0 in NMSSM and nMSSM is mostly singlet, suppressing its couplings to SM fermions
	• Main decay modes are 𝑏𝑏 (dominant) and ττ (subdominant) for Type-II 2HDM, NMSSM and nMSSM
	• For L2HDM, main decay mode is ττ
	• In rare cases, neutralino pairs are possible decay products in NMSSM
• Constraints on the models come from theoretical considerations, collider searches, precision electroweak data, muon g-2, b-physics observables and dark matter relic density
	• tan β is constrained differently in the various models based on these constraints
	• NMSSM and nMSSM also have constraints on SUSY particle masses and couplings
• Random scans of the parameter spaces of the four models were performed, taking into account all relevant constraints
	• About 5000 surviving points in each scan satisfy mA0 < 90 GeV
	• Lightest neutralino in NMSSM must be lighter than about 60 GeV and plays crucial role in dark matter annihilation
• Z → A0A0A0 may have largest branching ratio among exotic Z decays, reaching 10",0,"{'n_points': 8, 'n_subpoints': 3, 'symbol': '•'}"
3,"Here is a summary of the text using 8 bullet points with 2 levels of indentation:

<summary>
* Supersymmetry (SUSY) is an attractive extension of the Standard Model
	* Solves the naturalness problem and predicts gauge coupling unification
	* Predicts the existence of superpartners of SM particles
	* Mechanisms of SUSY breaking and mediation to MSSM sector are important
* No-scale type Kähler potential separates hidden and observable sectors
	* Scalar masses and trilinear scalar couplings vanish
	* Gaugino masses are the only source of SUSY breaking
	* Obtained in various models like string theory and sequestered sector scenario
* Three cases of boundary conditions are considered
	* Universal gaugino masses at the GUT scale (minimal scenario)
	* Universal gaugino masses above the GUT scale
	* Non-universal gaugino masses at the GUT scale
* Minimal scenario is severely constrained by direct search and cosmological bounds
	* Higgs mass bound and BR(b→sγ) constraint exclude almost all parameter region
	* Allowed region exists only for μ > 0
* Universal gaugino masses above the GUT scale are less constrained
	* Tevatron Run 2 can explore the scenario for μ > 0
	* For μ < 0, M1/2 > 280 GeV is required
* Non-universal gaugino masses at the GUT scale
	* Wino-like neutralino LSP and tau sneutrino LSP cases are less constrained
	* Higgsino-like neutralino LSP case is strongly constrained by Higgs mass bound
	* LSP mass must be larger than 245 GeV (μ > 0) and 370 GeV (μ < 0)
* Unusual acceptance cuts may be required for wino and sneutrino LSP cases
	* Small mass difference between LSP and parent particles
	* Soft leptons from chargino and neutralino decays
* Higgs mass bound and BR(b→sγ) provide important constraints on SUSY models with no-scale boundary conditions
	*",0,"{'n_points': 8, 'n_subpoints': 3, 'symbol': '*'}"
4,"Here is a summary of the text using 9 bullet points and 2 levels of indentation:

<summary>
* Colliding plane waves (CPW) result in spacelike singularities, but cross polarization or electromagnetic (EM) fields can weaken the singularities
    * The Chandrasekhar-Xanthopoulos (CX) solution has a Cauchy horizon (CH) instead of a spacelike singularity
    * Yurtsever and CX showed the CH formed in CPW spacetimes is unstable against perturbations
    * EM fields coupled to gravity result in weaker singularities compared to pure gravitational waves
* The Bell-Szekeres (BS) solution describes the collision of two linearly polarized step EM waves
    * The singularity in the interaction region of the BS solution is a removable CH
    * The cross-polarized version of the BS (CPBS) solution has regular Weyl scalars in the interaction region
    * The CPBS solution is used to test the validity of the Helliwell-Konkowski (HK) CH stability conjecture
* Test fields are added to the CPBS background to study the stability of quasi-regular (QR) singularities
    * Test EM fields predict the QR singularities are unstable and transform into non-scalar curvature singularities
    * Test scalar fields also predict the QR singularities are unstable and transform into scalar curvature singularities
    * Exact back-reaction solutions are presented for the collision of cross-polarized EM fields coupled with scalar fields
* The stability of QR singularities in the CPBS spacetime is analyzed using test EM fields, scalar fields, and null dust
    * Test EM fields indicate the QR singularities become non-scalar curvature singularities
    * Test scalar fields predict the QR singularities transform into scalar curvature singularities, confirmed by an exact back-reaction solution
    * Test null dust results in the CH becoming a scalar curvature singularity, as predicted by the conjecture and confirmed by an exact back-reaction solution
* The paper concludes that the HK stability conjecture correctly predicts the instability of QR",0,"{'n_points': 9, 'n_subpoints': 4, 'symbol': '*'}"
5,"Here is a summary of the text using 9 bullet points and 2 levels of indentation:

<summary>
• X-ray studies of normal galaxies have been extended to cosmological distances in deep field surveys
	• Galaxies with @xmath8 are detected in appreciable numbers at faint fluxes
	• Normal galaxies contribute 5-10% of the soft X-ray background flux
	• The Chandra Deep Field-North (CDF-N) has detected many normal galaxies to @xmath15
• The authors estimate X-ray emission from galaxies at @xmath22 using stacking analysis
	• They focus on galaxies at @xmath25 with extensive redshift coverage and morphology data
	• Spectroscopic (@xmath30) and photometric (@xmath32) redshift samples are used
	• Galaxies are filtered by optical luminosity, morphology, and lack of X-ray detection
• Stacking analysis resulted in significant soft X-ray detections for redshift bins up to @xmath48
	• X-ray luminosities are @xmath53-@xmath54 erg/s for the average galaxy
	• The X-ray-to-optical luminosity ratio @xmath59 is consistent with local galaxies up to @xmath66
	• @xmath59 increases by a factor of 1.6-3 at higher redshifts (@xmath50)
• The average X-ray luminosity of galaxies increases by a factor of @xmath72-@xmath73 at @xmath68-@xmath74
	• This is less than the factor of @xmath80 increase predicted by some models
	• Including individually X-ray detected galaxies does not change the results significantly
	• The range of average soft X-ray fluxes is @xmath46-@xmath5 erg cm^-2 s^-1
• The authors estimate that @xmath85% of the soft X-ray background arises from spiral galaxies not yet individually detected
	• Many of these objects should be detectable with longer Chandra exposures
	• The results are consistent with independent predictions of the X-ray fluxes of such galaxies
	• Further observations will help",0,"{'n_points': 9, 'n_subpoints': 3, 'symbol': '•'}"
6,"Here is a summary of the text using 7 bullet points with 2 levels of indentation:

<summary>
* Quantum systems can exhibit non-classical correlations, with degrees of non-classicality:
	* Non-separable or entangled states cannot be expressed as a mixture of product states
	* Bell-nonlocal states violate a Bell inequality and local causality
* EPR-steering lies between entanglement and Bell-nonlocality:
	* Allows verification of entanglement when one party or their detectors are untrusted
	* Characterized by the inability to construct a local hidden state model
* The authors investigate EPR-steerability of two-qubit states with maximally mixed marginals (T-states):
	* Use the steering ellipsoid formalism to develop a deterministic local hidden state model
	* Conjecture that this model is optimal for T-states
* Two sufficient conditions for T-states to be EPR-steerable are obtained:
	* Via suitable EPR-steering inequalities
	* These conditions are close to the necessary condition in some regions
* The authors discuss the three notions of non-locality in detail:
	* Bell-nonlocality, EPR-steerability, and non-separability
	* Logical hierarchy of the three concepts leads to a hierarchy for bipartite states
* Properties of the quantum steering ellipsoid for a two-qubit state are introduced:
	* Surface of the ellipsoid represents the set of steered states
	* Volume of the ellipsoid is bounded for separable states
* The authors develop a deterministic local hidden state model for projective measurements on T-states:
	* Motivated by the steering ellipsoid formalism
	* Provides a strong necessary condition for EPR-steerability of T-states
</summary>",1,"{'n_points': 7, 'n_subpoints': 2, 'symbol': '*'}"
7,"Here is a summary of the text using 9 bullet points with 2 levels of indentation:

<summary>
• The visionary who first thought of using electron spin to encode binary information is unknown
	• Feynman may have mentioned the idea circa 1985
	• Concrete schemes for spintronic logic gates emerged in the mid-1990s
• Encoding information in spin has potential advantages over charge
	• Possibility of lower power dissipation when switching logic gates
	• Spin is less susceptible to noise from stray electric fields
• In 1994, a scheme was proposed for a spintronic NAND gate using 3 spins in quantum dots
	• Spin orientation becomes a binary variable in a weak magnetic field
	• Anti-ferromagnetic ordering between neighboring spins is assumed
• The proposed spintronic logic gates have a serious shortcoming
	• Exchange interaction is bidirectional and cannot ensure unidirectional logic signal flow
	• This prevents their use in pipelined architectures
• Clocking was proposed as a solution to enforce unidirectionality
	• A multi-phase clock is required, with two adjacent barriers lowered pairwise
	• Clocking negates the energy efficiency advantage of spintronic devices
• Minimum energy dissipation in irreversible spintronic logic gates exceeds current chips
	• Assumes quantum dot density of 10^11 cm^-2 and 1 psec spin flip time
	• Heat sinking this level of power dissipation is a major challenge
• Reversible logic gates that are not constrained by the Landauer kT ln(2) limit are needed
	• In 1996, a logically and physically reversible quantum inverter was devised
	• Later, a universal quantum gate using exchange coupled spins was proposed
• Spin is the preferred vehicle to encode qubits in solids due to longer coherence times
	• Electron spin coherence times of 100 nsec in GaAs at 5 K have been reported
	• Nuclear spins in silicon are expected to have even longer coherence times
• All-optical quantum computing using spin qubits has emerged as a viable approach
	• Avoids the difficulty of electrical readout of single spins",0,"{'n_points': 9, 'n_subpoints': 2, 'symbol': '•'}"
8,"Here is a summary of the text using 7 bullet points and 2 levels of indentation:

<summary>
• Cataclysmic variables (CVs) are short-period binaries with a white dwarf primary and low mass main sequence secondary
	• The secondary fills its Roche lobe and transfers mass to the white dwarf
	• The orbital period distribution of CVs shows a period gap and a sharp cut-off around 77 minutes
	• Theoretical models have been unable to reproduce the precise position of the observed short-period cut-off
	• An accumulation of systems is expected at the minimum period, but no such spike is observed
• The authors investigate ways to increase the minimum period and hide the spike in the CV population
	• They study the effect of consequential angular momentum loss (CAML) where angular momentum is lost as a consequence of mass transfer
	• Calculations of the long-term evolution of CVs are presented
	• The observed short-period CV distribution is compared with various theoretically synthesized model distributions
	• Tidal deformation of the secondary may have an effect on the period minimum
• The authors consider the case where only geometrical deformation effects are taken into account
	• Magnetic pressure inside the star could cause a larger deformation factor
	• Patterson (2000) claims to find observational evidence for ""bloated"" secondaries in short-period CVs
	• This observation cannot distinguish between intrinsic deformation or non-equilibrium caused by angular momentum losses
	• Period distributions of model populations are calculated for various assumptions about evolutionary parameters
• The authors test the calculated model parent distributions against the observed CV period distribution
	• A modified chi-squared test is used as a measure of the significance level of rejecting the hypothesis
	• No significant difference is found between the observed distribution of non-magnetic and magnetic CVs below the period gap
	• The combined magnetic and non-magnetic distribution is tested against the models
	• A flat distribution is used as a benchmark for the models
• King, Schenker & Hameury (2002) constructed a nearly flat period distribution by superimposing individual idealized PDFs
	• The authors apply this weighting to their non-idealized model PDFs involving CAML efficiency and deformation factor
	• The weighting produced a marginally",0,"{'n_points': 7, 'n_subpoints': 4, 'symbol': '•'}"
9,"Here is a summary of the text using 6 bullet points with 4 sub-points each:

<summary>
* Stephan's Quintet (SQ) exhibits a large-scale intergalactic shock-wave
	* Shock produced by high-velocity collision of NGC 7318b with intergalactic medium
	* Powerful H2 line emission discovered in the shock, exceeding X-ray luminosity
	* H2 forms in denser clouds experiencing slower shocks
	* Coexistence of hot X-ray gas and cooler molecular material due to multiphase medium
* H2 is the dominant line coolant in the mid-infrared
	* H2 emission extends over 35 kpc2 with luminosity > 1042 erg/s
	* Global L(H2)/LX-ray ratio > 3 in main shock and ""bridge"" feature
	* Modifies traditional view of X-rays dominating cooling in late-stage compact group evolution
	* Dust emission associated with H2 regions, but low intensity radiation field
* Infrared ionic lines interpreted as fast (100-300 km/s) ionizing shocks
	* Ne, Si, and Fe line ratios imply Si and Fe depletion onto dust
	* Dust not destroyed in the shock
	* Projected coexistence of SiII and H2 produced by 200 km/s and 20 km/s shocks
	* Consistent with model of multiphase postshock medium from galaxy-wide collision
* Star formation in SQ dominated by SQ-A and 7318b-south at ends of radio shock ridge
	* Suggests both are shock triggered starbursts
	* H2-dominated regions exhibit very low star formation rates
	* Consistent with turbulent model where H2 is reheated and cool clouds too short-lived to collapse
	* Requires inventory of lines and continuum at all wavelengths to determine dominant cooling
* SQ provides ideal laboratory for probing H2 cooling mechanism
	* Potentially crucial in systems from ULIRGs to radio galaxies to supernova remnants
	* Contributions from other lines (e.g. OI, CII) and UV",0,"{'n_points': 6, 'n_subpoints': 4, 'symbol': '*'}"
