index,generated,result,format_properties
0,"<ans>
```python
def remove_Occ(s,ch): 
    """"""
    Args:
        s (str): The input string.
        ch (str): The character to be removed.

    Returns:
        str: The string with the first and last occurrence of 'ch' removed.
    """"""
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s 
```
</ans>",True,{}
1,"<ans>
```python
def sort_matrix(M):
    """"""
    Args:
        M (list of lists): A list of lists representing a matrix.

    Returns:
        list of lists: The sorted matrix based on the sum of each row.
    """"""
    result = sorted(M, key=sum)
    return result
```
</ans> 
",True,{}
2,"<ans>
```python
def find_Volume(l,b,h) : 
    """"""
    Args:
        l (int): length of the box
        b (int): breadth of the box
        h (int): height of the box

    Returns:
        int: volume of the box
    """"""
    return ((l * b * h) / 2) 
```
</ans>",True,{}
3,"<ans>
```python
import re
def text_lowercase_underscore(text):
        """"""
        Args:
            text (str): Text to check.

        Returns:
            bool: True if the text matches the pattern, False otherwise.
        """"""
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False
```
</ans>",0,{}
4,"<ans>
```python
def square_perimeter(a):
  """"""
  Args:
      a (int): the side length of a square

  Returns:
      perimeter (int): the perimeter of the square
  """"""
  perimeter=4*a
  return perimeter
```
</ans>",True,{}
5,"<ans>
NO_OF_CHARS = 256
def str_to_list(string): 
	""""""
    Args:
        string (str): string to be converted to list

    Returns:
        temp (list): list of characters
    """"""
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	""""""
    Args:
        List (list): list to be converted to string

    Returns:
        result (str): string of characters
    """"""
	return ''.join(List) 
def get_char_count_array(string): 
	""""""
    Args:
        string (str): string to get character count array for

    Returns:
        count (list): list of character counts
    """"""
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	""""""
    Args:
        string (str): string to remove dirty characters from
        second_string (str): string containing dirty characters

    Returns:
        result (str): string with dirty characters removed
    """"""
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) 
</ans>",0,{}
6,"<ans>
```python
def test_duplicate(arraynums):
    """"""
    Args:
        arraynums (list): list of numbers

    Return:
        bool: True if there are duplicate numbers in the list, False otherwise.
    """"""
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     
```
</ans>",0,{}
7,"<ans>
```python
def is_woodall(x): 
	""""""
	Args:
		x (int): An integer.

	Returns:
		bool: True if x is a Woodall number, False otherwise.
	""""""
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False
```
</ans>
",True,{}
8,"<ans>
def rev(num):    
    """"""
    Args:
        num (int): An integer.

    Returns:
        rev_num (int): Reversed integer value of num.
    """"""
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    """"""
    Args:
        n (int): An integer.

    Returns:
        bool: True if double of reverse of n is equal to n+1, else False.
    """"""
    return (2 * rev(n) == n + 1)  
</ans>",True,{}
9,"<ans>
```python
def find_Max_Num(arr) : 
    """"""
    Args:
        arr (list): list of integers

    Returns: 
        int: maximum number formed from array
    """"""
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num 
```
</ans>",True,{}
