index,generated,result,format_properties
0,"<ans>
def remove_Occ(s,ch): 
    """"""
    Args:
        s (str): input string
        ch (str): character to be removed from the string

    Returns:
        str: modified string after removing the specified character
    """"""
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s 
</ans>",True,{}
1,"<ans>
def sort_matrix(M):
    """"""
    Args:
        M (list of lists): a matrix to be sorted

    Returns:
        result (list of lists): sorted matrix
    """"""
    result = sorted(M, key=sum)
    return result
</ans>",True,{}
2,"<ans>
def find_Volume(l, b, h):
    """"""
    Args:
        l (float): length of the object
        b (float): breadth of the object
        h (float): height of the object

    Returns:
        float: volume of the object
    """"""
    return ((l * b * h) / 2)
</ans>",True,{}
3,"<ans>
def text_lowercase_underscore(text):
    """"""
    Args:
        text (str): input text to be checked

    Returns:
        bool: True if the input text follows the pattern of lowercase words separated by an underscore, False otherwise
    """"""
    patterns = '^[a-z]+_[a-z]+$'
    if re.search(patterns, text):
        return True
    else:
        return False
</ans>",True,{}
4,"<ans>
def square_perimeter(a):
    """"""
    Args:
        a (int): length of the side of the square

    Returns:
        perimeter (int): perimeter of the square
    """"""
    perimeter = 4 * a
    return perimeter
</ans>",True,{}
5,"<ans>
NO_OF_CHARS = 256
def str_to_list(string): 
    """"""
    Args:
        string (str): input string

    Returns:
        temp (list): list of characters in the input string
    """"""
    temp = [] 
    for x in string: 
        temp.append(x) 
    return temp 

def lst_to_string(List): 
    """"""
    Args:
        List (list): list of characters

    Returns:
        str: concatenated string from the list of characters
    """"""
    return ''.join(List) 

def get_char_count_array(string): 
    """"""
    Args:
        string (str): input string

    Returns:
        count (list): count of each character in the input string
    """"""
    count = [0] * NO_OF_CHARS 
    for i in string: 
        count[ord(i)] += 1
    return count 

def remove_dirty_chars(string, second_string): 
    """"""
    Args:
        string (str): input string
        second_string (str): string used to remove dirty characters from the input string

    Returns:
        str: cleaned string after removing characters present in the second string
    """"""
    count = get_char_count_array(second_string) 
    ip_ind = 0
    res_ind = 0
    temp = '' 
    str_list = str_to_list(string) 
    while ip_ind != len(str_list): 
        temp = str_list[ip_ind] 
        if count[ord(temp)] == 0: 
            str_list[res_ind] = str_list[ip_ind] 
            res_ind += 1
        ip_ind+=1
    return lst_to_string(str_list[0:res_ind]) 
</ans>",0,{}
6,"<ans>
def test_duplicate(arraynums):
    """"""
    Args:
        arraynums (list): a list of numbers

    Returns:
        bool: True if there are duplicates in the input list, False otherwise
    """"""
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     
</ans>",True,{}
7,"<ans>
def is_woodall(x): 
    """"""
    Args:
        x (int): an integer to check if it is a Woodall number

    Returns:
        bool: True if x is a Woodall number, False otherwise
    """"""
    if (x % 2 == 0): 
        return False
    if (x == 1): 
        return True
    x = x + 1 
    p = 0
    while (x % 2 == 0): 
        x = x/2
        p = p + 1
        if (p == x): 
            return True
    return False
</ans>",True,{}
8,"<ans>
def rev(num):    
    """"""
    Args:
        num (int): an integer to be reversed

    Returns:
        rev_num (int): the reversed integer
    """"""
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  

def check(n):    
    """"""
    Args:
        n (int): an integer to be checked

    Returns:
        bool: True if 2 times the reverse of n is equal to n + 1, False otherwise
    """"""
    return (2 * rev(n) == n + 1)  
</ans>",True,{}
9,"<ans>
def find_Max_Num(arr) : 
    """"""
    Args:
        arr (list): a list of integers

    Returns:
        int: the maximum number that can be formed by concatenating the integers in the list
    """"""
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num 
</ans>",True,{}
10,"<ans>
def opposite_Signs(x, y): 
    """"""
    Args:
        x (int): an integer value
        y (int): an integer value

    Returns:
        bool: True if the signs of x and y are opposite, False otherwise
    """"""
    return ((x ^ y) < 0); 
</ans>",True,{}
11,"<ans>
def is_octagonal(n): 
    """"""
    Args:
        n (int): an integer representing the number to check if it is octagonal

    Returns:
        int: the result of the formula 3 * n * n - 2 * n
    """"""
    return 3 * n * n - 2 * n 
</ans>",True,{}
12,"<ans>
def count_Substrings(s):
    """"""
    Args:
        s (str): input string

    Returns:
        count (int): number of substrings with equal number of 0's and 1's
    """"""
    n = len(s)
    count,sum = 0,0
    mp = defaultdict(lambda : 0)
    mp[0] += 1
    for i in range(n):
        sum += ord(s[i]) - ord('0')
        count += mp[sum - (i + 1)]
        mp[sum - (i + 1)] += 1
    return count
</ans>",True,{}
13,"<ans>
def smallest_num(xs):
    """"""
    Args:
        xs (list): a list of numbers

    Returns:
        min_num (int or float): the smallest number in the list
    """"""
    return min(xs)
</ans>",True,{}
