index,generated,result,format_properties
0,"<!DOCTYPE html>
<html>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
    </body>
</html>",0,"{'config': 'nested', 'ground_truth': {'body': 5, 'div': 10, 'footer': 10, 'h1': 40, 'h2': 50, 'head': 4, 'html': 1, 'p': 20, 'title': 16}, 'mode': 'nested', 'no_of_tags': {'body': 5, 'div': 2, 'footer': 2, 'h1': 4, 'h2': 5, 'head': 4, 'html': 1, 'p': 2, 'title': 4}}"
1,"<!DOCTYPE html>
<html>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
    </body>
</html>",0,"{'config': 'nested', 'ground_truth': {'body': 3, 'div': 12, 'footer': 6, 'h1': 48, 'h2': 48, 'head': 4, 'html': 1, 'p': 60, 'title': 16}, 'mode': 'nested', 'no_of_tags': {'body': 3, 'div': 4, 'footer': 2, 'h1': 4, 'h2': 4, 'head': 4, 'html': 1, 'p': 5, 'title': 4}}"
2,"<!DOCTYPE html>
<html>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
    </body>
</html>",0,"{'config': 'nested', 'ground_truth': {'body': 5, 'div': 25, 'footer': 25, 'h1': 75, 'h2': 50, 'head': 5, 'html': 1, 'p': 75, 'title': 20}, 'mode': 'nested', 'no_of_tags': {'body': 5, 'div': 5, 'footer': 5, 'h1': 3, 'h2': 2, 'head': 5, 'html': 1, 'p': 3, 'title': 4}}"
3,"<!DOCTYPE html>
<html>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
    </body>
</html>",0,"{'config': 'nested', 'ground_truth': {'body': 3, 'div': 9, 'footer': 6, 'h1': 45, 'h2': 45, 'head': 5, 'html': 1, 'p': 18, 'title': 15}, 'mode': 'nested', 'no_of_tags': {'body': 3, 'div': 3, 'footer': 2, 'h1': 5, 'h2': 5, 'head': 5, 'html': 1, 'p': 2, 'title': 3}}"
4,"<!DOCTYPE html>
<html>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
    </body>
    <footer></footer>
    <footer></footer>
    <footer></footer>
    <footer></footer>
</html>",0,"{'config': 'nested', 'ground_truth': {'body': 3, 'div': 9, 'footer': 12, 'h1': 45, 'h2': 18, 'head': 5, 'html': 1, 'p': 18, 'title': 10}, 'mode': 'nested', 'no_of_tags': {'body': 3, 'div': 3, 'footer': 4, 'h1': 5, 'h2': 2, 'head': 5, 'html': 1, 'p': 2, 'title': 2}}"
5,"<!DOCTYPE html>
<html>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
    </body>
</html>",0,"{'config': 'nested', 'ground_truth': {'body': 4, 'div': 12, 'footer': 16, 'h1': 60, 'h2': 60, 'head': 4, 'html': 1, 'p': 60, 'title': 20}, 'mode': 'nested', 'no_of_tags': {'body': 4, 'div': 3, 'footer': 4, 'h1': 5, 'h2': 5, 'head': 4, 'html': 1, 'p': 5, 'title': 5}}"
6,"<!DOCTYPE html>
<html>
    <head>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
    </body>
    <head>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
    </body>
</html>",0,"{'config': 'nested', 'ground_truth': {'body': 3, 'div': 12, 'footer': 15, 'h1': 48, 'h2': 60, 'head': 3, 'html': 1, 'p': 48, 'title': 9}, 'mode': 'nested', 'no_of_tags': {'body': 3, 'div': 4, 'footer': 5, 'h1': 4, 'h2': 5, 'head': 3, 'html': 1, 'p': 4, 'title': 3}}"
7,"<!DOCTYPE html>
<html>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
    </body>
</html>",0,"{'config': 'nested', 'ground_truth': {'body': 2, 'div': 8, 'footer': 4, 'h1': 32, 'h2': 32, 'head': 5, 'html': 1, 'p': 16, 'title': 10}, 'mode': 'nested', 'no_of_tags': {'body': 2, 'div': 4, 'footer': 2, 'h1': 4, 'h2': 4, 'head': 5, 'html': 1, 'p': 2, 'title': 2}}"
8,"<!DOCTYPE html>
<html>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
        <footer></footer>
    </body>
</html>",0,"{'config': 'nested', 'ground_truth': {'body': 3, 'div': 15, 'footer': 9, 'h1': 75, 'h2': 45, 'head': 4, 'html': 1, 'p': 45, 'title': 8}, 'mode': 'nested', 'no_of_tags': {'body': 3, 'div': 5, 'footer': 3, 'h1': 5, 'h2': 3, 'head': 4, 'html': 1, 'p': 3, 'title': 2}}"
9,"<!DOCTYPE html>
<html>
    <head>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <head>
        <title></title>
        <title></title>
        <title></title>
    </head>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
    </body>
    <body>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <div>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h1></h1>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <h2></h2>
            <p></p>
            <p></p>
            <p></p>
            <p></p>
        </div>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
        <footer></footer>
    </body>
</html>",1,"{'config': 'nested', 'ground_truth': {'body': 3, 'div': 6, 'footer': 15, 'h1': 30, 'h2': 30, 'head': 2, 'html': 1, 'p': 24, 'title': 6}, 'mode': 'nested', 'no_of_tags': {'body': 3, 'div': 2, 'footer': 5, 'h1': 5, 'h2': 5, 'head': 2, 'html': 1, 'p': 4, 'title': 3}}"
