index,generated,result,format_properties
0,"<ans>
def remove_Occ(s, ch): 
    """"""
    Args:
        s (str): The input string from which the character will be removed.
        ch (str): The character to be removed from the string.

    Returns:
        str: The modified string with the first and last occurrence of the character removed.
    """"""
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1, -1, -1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s 
</ans>",True,{}
1,"<ans>
def sort_matrix(M):
    """"""
    Args:
        M (list of list of int): A 2D list (matrix) where each inner list represents a row of integers.

    Returns:
        list of list of int: A new 2D list (matrix) sorted by the sum of each row in ascending order.
    """"""
</ans>",True,{}
2,"<ans>
def find_Volume(l, b, h):
    """"""
    Args:
        l (float): The length of the object.
        b (float): The breadth of the object.
        h (float): The height of the object.

    Returns:
        float: The calculated volume of the object, divided by 2.
    """"""
    return ((l * b * h) / 2) 
</ans>",True,{}
3,"<ans>
def text_lowercase_underscore(text):
    """"""
    Args:
        text (str): The input string to be checked.

    Returns:
        bool: True if the string is in lowercase and contains an underscore, 
              False otherwise.
    """"""
    patterns = '^[a-z]+_[a-z]+$'
    if re.search(patterns, text):
        return True
    else:
        return False
</ans>",True,{}
4,"<ans>
def square_perimeter(a):
    """"""
    Args:
        a (float): The length of one side of the square.

    Returns:
        perimeter (float): The calculated perimeter of the square.
    """"""
    perimeter = 4 * a
    return perimeter
</ans>",True,{}
5,"<ans>
def remove_dirty_chars(string, second_string):
    """"""
    Args:
        string (str): The input string from which dirty characters will be removed.
        second_string (str): The string containing characters to be considered as dirty.

    Returns:
        str: A new string with all characters from second_string removed from string.
    """"""
</ans>",True,{}
6,"<ans>
def test_duplicate(arraynums):
    """"""
    Args:
        arraynums (list): A list of numbers to check for duplicates.

    Returns:
        bool: True if there are duplicates in the list, False otherwise.
    """"""
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     
</ans>",True,{}
7,"<ans>
def is_woodall(x): 
    """"""
    Args:
        x (int): The integer to check if it is a Woodall number.

    Returns:
        bool: True if x is a Woodall number, False otherwise.
    """"""
    if (x % 2 == 0): 
        return False
    if (x == 1): 
        return True
    x = x + 1 
    p = 0
    while (x % 2 == 0): 
        x = x/2
        p = p + 1
        if (p == x): 
            return True
    return False
</ans>",True,{}
8,"<ans>
def rev(num):    
    """"""
    Args:
        num (int): The integer number to be reversed.

    Returns:
        int: The reversed integer.
    """"""
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  

def check(n):    
    """"""
    Args:
        n (int): The integer to check against the condition.

    Returns:
        bool: True if 2 times the reverse of n equals n + 1, otherwise False.
    """"""
    return (2 * rev(n) == n + 1)  
</ans>",True,{}
9,"<ans>
def find_Max_Num(arr): 
    """"""
    Args:
        arr (list of int): A list of integers from which the maximum number is to be formed.

    Returns:
        int: The maximum number that can be formed by concatenating the integers in the list.
    """"""
    n = len(arr)
    arr.sort(reverse=True) 
    num = arr[0] 
    for i in range(1, n): 
        num = num * 10 + arr[i] 
    return num 
</ans>",True,{}
10,"<ans>
def opposite_Signs(x, y): 
    """"""
    Args:
        x (int): The first integer to compare.
        y (int): The second integer to compare.

    Returns:
        bool: True if x and y have opposite signs, False otherwise.
    """"""
    return ((x ^ y) < 0); 
</ans>",True,{}
11,"<ans>
def is_octagonal(n): 
    """"""
    Args:
        n (int): The index of the octagonal number to calculate.

    Returns:
        int: The nth octagonal number.
    """"""
    return 3 * n * n - 2 * n 
</ans>",True,{}
12,"<ans>
from collections import defaultdict
def count_Substrings(s):
    """"""
    Args:
        s (str): The input string consisting of digits (0-9).

    Returns:
        count (int): The number of substrings that satisfy the specific condition based on the digit sum.
    """"""
    n = len(s)
    count, sum = 0, 0
    mp = defaultdict(lambda: 0)
    mp[0] += 1
    for i in range(n):
        sum += ord(s[i]) - ord('0')
        count += mp[sum - (i + 1)]
        mp[sum - (i + 1)] += 1
    return count
</ans>",True,{}
13,"<ans>
def smallest_num(xs):
    """"""
    Args:
        xs (list): A list of numerical values.

    Returns:
        float: The smallest number in the list.
    """"""
    return min(xs)
</ans>",True,{}
14,"<ans>
def max_difference(test_list):
    """"""
    Args:
        test_list (list of tuples): A list of tuples where each tuple contains two numeric values.

    Returns:
        int or float: The maximum absolute difference between the pairs of values in the tuples.
    """"""
    temp = [abs(b - a) for a, b in test_list]
    res = max(temp)
    return (res) 
</ans>",True,{}
15,"<ans>
def subject_marks(subjectmarks):
    """"""
    Args:
        subjectmarks (list of tuples): A list of tuples where each tuple contains a subject name (str) and its corresponding marks (int).

    Returns:
        list of tuples: The input list sorted in ascending order based on the marks.
    """"""
    subjectmarks.sort(key=lambda x: x[1])
    return subjectmarks
</ans>",True,{}
16,"<ans>
def recursive_list_sum(data_list):
    """"""
    Args:
        data_list (list): A list that may contain integers, floats, or nested lists.

    Returns:
        total (int or float): The sum of all numeric values in the list, including those in nested lists.
    """"""
    total = 0
    for element in data_list:
        if type(element) == type([]):
            total = total + recursive_list_sum(element)
        else:
            total = total + element
    return total
</ans>",True,{}
17,"<ans>
def pos_count(list):
    """"""
    Args:
        list (list of int): A list of integers to count the non-negative numbers.

    Returns:
        pos_count (int): The count of non-negative integers in the list.
    """"""
    pos_count = 0
    for num in list: 
        if num >= 0: 
            pos_count += 1
    return pos_count 
</ans>",True,{}
18,"<ans>
def bell_number(n):   
    """"""
    Args:
        n (int): The number of partitions to compute the Bell number for.

    Returns:
        int: The nth Bell number, representing the number of ways to partition a set of n elements.
    """"""
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1): 
        bell[i][0] = bell[i-1][i-1]  
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1]   
    return bell[n][0] 
</ans>",True,{}
19,"<ans>
def is_Monotonic(A): 
    """"""
    Args:
        A (list): A list of numbers to be checked for monotonicity.

    Returns:
        bool: True if the list is monotonic (either entirely non-increasing or non-decreasing), False otherwise.
    """"""
</ans>",True,{}
20,"<ans>
def is_sublist(l, s):
    """"""
    Args:
        l (list): The list in which to check for the sublist.
        s (list): The sublist to check for within the list.

    Returns:
        bool: True if s is a sublist of l, False otherwise.
    """"""
    sub_set = False
    if s == []:
        sub_set = True
    elif s == l:
        sub_set = True
    elif len(s) > len(l):
        sub_set = False
    else:
        for i in range(len(l)):
            if l[i] == s[0]:
                n = 1
                while (n < len(s)) and (l[i+n] == s[n]):
                    n += 1                
                if n == len(s):
                    sub_set = True
    return sub_set
</ans>",True,{}
21,"<ans>
def find_equal_tuple(Input):
    """"""
    Args:
        Input (list of tuple): A list containing tuples to be checked for equal length.

    Returns:
        flag (int): Returns 1 if all tuples in the list have equal length, otherwise returns 0.
    """"""
    k = 0 if not Input else len(Input[0])
    flag = 1
    for tuple in Input:
        if len(tuple) != k:
            flag = 0
            break
    return flag

def get_equal(Input):
    """"""
    Args:
        Input (list of tuple): A list containing tuples to be checked for equal length.

    Returns:
        bool: Returns True if all tuples in the list have equal length, otherwise returns False.
    """"""
    return find_equal_tuple(Input) == 1
</ans>",True,{}
22,"<ans>
def comb_sort(nums):
    """"""
    Args:
        nums (list): A list of numbers to be sorted.

    Returns:
        list: The sorted list of numbers in ascending order.
    """"""
    shrink_fact = 1.3
    gaps = len(nums)
    swapped = True
    i = 0
    while gaps > 1 or swapped:
        gaps = int(float(gaps) / shrink_fact)
        swapped = False
        i = 0
        while gaps + i < len(nums):
            if nums[i] > nums[i+gaps]:
                nums[i], nums[i+gaps] = nums[i+gaps], nums[i]
                swapped = True
            i += 1
    return nums
</ans>",True,{}
23,"<ans>
def dif_Square(n): 
    """"""
    Args:
        n (int): An integer to check for the condition.

    Returns:
        bool: True if n does not leave a remainder of 2 when divided by 4, otherwise False.
    """"""
</ans>",True,{}
24,"<ans>
def is_samepatterns(colors, patterns):    
    """"""
    Args:
        colors (list): A list of color strings.
        patterns (list): A list of pattern strings.

    Returns:
        bool: True if each unique pattern corresponds to the same color, False otherwise.
    """"""
    if len(colors) != len(patterns):
        return False    
    sdict = {}
    pset = set()
    sset = set()    
    for i in range(len(patterns)):
        pset.add(patterns[i])
        sset.add(colors[i])
        if patterns[i] not in sdict.keys():
            sdict[patterns[i]] = []

        keys = sdict[patterns[i]]
        keys.append(colors[i])
        sdict[patterns[i]] = keys

    if len(pset) != len(sset):
        return False   

    for values in sdict.values():
        for i in range(len(values) - 1):
            if values[i] != values[i+1]:
                return False

    return True
</ans>",True,{}
