index,generated,result,format_properties
0,"```html
<html>
    <head>
        <title>Title 1</title>
        <title>Title 2</title>
        <title>Title 3</title>
        <title>Title 4</title>
    </head>
    <body>
        <div>
            <h1>Heading 1</h1>
            <h1>Heading 2</h1>
            <h1>Heading 3</h1>
            <h1>Heading 4</h1>
            <h1>Heading 5</h1>
            <h2>Subheading 1</h2>
            <h2>Subheading 2</h2>
            <p>Paragraph 1</p>
            <p>Paragraph 2</p>
            <p>Paragraph 3</p>
            <p>Paragraph 4</p>
        </div>
        <footer>Footer 1</footer>
        <footer>Footer 2</footer>
        <footer>Footer 3</footer>
        <footer>Footer 4</footer>
    </body>
</html>
```",1,"{'config': 'nested', 'ground_truth': {'body': 1, 'div': 1, 'footer': 4, 'h1': 5, 'h2': 2, 'head': 1, 'html': 1, 'p': 4, 'title': 4}, 'mode': 'nested', 'no_of_tags': {'body': 1, 'div': 1, 'footer': 4, 'h1': 5, 'h2': 2, 'head': 1, 'html': 1, 'p': 4, 'title': 4}}"
1,"```html
<html>
    <head>
        <title>Title 1</title>
        <title>Title 2</title>
        <title>Title 3</title>
        <title>Title 4</title>
        <title>Title 5</title>
    </head>
    <body>
        <div>
            <h1>Header 1</h1>
            <h1>Header 2</h1>
            <h2>Subheader 1</h2>
            <h2>Subheader 2</h2>
            <p>Paragraph 1</p>
            <p>Paragraph 2</p>
            <p>Paragraph 3</p>
            <p>Paragraph 4</p>
        </div>
        <footer>Footer 1</footer>
        <footer>Footer 2</footer>
        <footer>Footer 3</footer>
    </body>
</html>
```",1,"{'config': 'nested', 'ground_truth': {'body': 1, 'div': 1, 'footer': 3, 'h1': 2, 'h2': 2, 'head': 1, 'html': 1, 'p': 4, 'title': 5}, 'mode': 'nested', 'no_of_tags': {'body': 1, 'div': 1, 'footer': 3, 'h1': 2, 'h2': 2, 'head': 1, 'html': 1, 'p': 4, 'title': 5}}"
2,"```html
<html>
    <head>
        <title>Title 1</title>
        <title>Title 2</title>
        <title>Title 3</title>
        <title>Title 4</title>
    </head>
    <body>
        <div>
            <h1>Header 1</h1>
            <h1>Header 2</h1>
            <h1>Header 3</h1>
            <h1>Header 4</h1>
            <h2>Subheader 1</h2>
            <h2>Subheader 2</h2>
            <h2>Subheader 3</h2>
            <h2>Subheader 4</h2>
            <p>Paragraph 1</p>
            <p>Paragraph 2</p>
            <p>Paragraph 3</p>
            <p>Paragraph 4</p>
        </div>
        <footer>Footer 1</footer>
        <footer>Footer 2</footer>
        <footer>Footer 3</footer>
        <footer>Footer 4</footer>
        <footer>Footer 5</footer>
    </body>
</html>
```",1,"{'config': 'nested', 'ground_truth': {'body': 1, 'div': 1, 'footer': 5, 'h1': 4, 'h2': 4, 'head': 1, 'html': 1, 'p': 4, 'title': 4}, 'mode': 'nested', 'no_of_tags': {'body': 1, 'div': 1, 'footer': 5, 'h1': 4, 'h2': 4, 'head': 1, 'html': 1, 'p': 4, 'title': 4}}"
3,"```html
<html>
    <head>
        <title>Title 1</title>
        <title>Title 2</title>
    </head>
    <body>
        <div>
            <h1>Heading 1</h1>
            <h1>Heading 1</h1>
            <h1>Heading 1</h1>
            <h1>Heading 1</h1>
            <h1>Heading 1</h1>
            <h2>Subheading 1</h2>
            <h2>Subheading 1</h2>
            <h2>Subheading 1</h2>
            <h2>Subheading 1</h2>
            <h2>Subheading 1</h2>
            <p>Paragraph 1</p>
            <p>Paragraph 1</p>
            <p>Paragraph 1</p>
            <p>Paragraph 1</p>
            <p>Paragraph 1</p>
        </div>
        <footer>Footer 1</footer>
        <footer>Footer 2</footer>
        <footer>Footer 3</footer>
        <footer>Footer 4</footer>
    </body>
</html>
```",1,"{'config': 'nested', 'ground_truth': {'body': 1, 'div': 1, 'footer': 4, 'h1': 5, 'h2': 5, 'head': 1, 'html': 1, 'p': 5, 'title': 2}, 'mode': 'nested', 'no_of_tags': {'body': 1, 'div': 1, 'footer': 4, 'h1': 5, 'h2': 5, 'head': 1, 'html': 1, 'p': 5, 'title': 2}}"
4,"```html
<html>
    <head>
        <title>Title 1</title>
        <title>Title 2</title>
        <title>Title 3</title>
    </head>
    <body>
        <div>
            <h1>Header 1</h1>
            <h1>Header 2</h1>
            <h2>Subheader 1</h2>
            <h2>Subheader 2</h2>
            <h2>Subheader 3</h2>
            <p>Paragraph 1</p>
            <p>Paragraph 2</p>
            <p>Paragraph 3</p>
            <p>Paragraph 4</p>
            <p>Paragraph 5</p>
        </div>
        <footer>Footer 1</footer>
        <footer>Footer 2</footer>
        <footer>Footer 3</footer>
        <footer>Footer 4</footer>
        <footer>Footer 5</footer>
    </body>
</html>
```",1,"{'config': 'nested', 'ground_truth': {'body': 1, 'div': 1, 'footer': 5, 'h1': 2, 'h2': 3, 'head': 1, 'html': 1, 'p': 5, 'title': 3}, 'mode': 'nested', 'no_of_tags': {'body': 1, 'div': 1, 'footer': 5, 'h1': 2, 'h2': 3, 'head': 1, 'html': 1, 'p': 5, 'title': 3}}"
5,"```html
<html>
    <head>
        <title>Title 1</title>
        <title>Title 2</title>
        <title>Title 3</title>
    </head>
    <body>
        <div>
            <h1>Header 1</h1>
            <h1>Header 2</h1>
            <h1>Header 3</h1>
            <h2>Subheader 1</h2>
            <h2>Subheader 2</h2>
            <h2>Subheader 3</h2>
            <p>Paragraph 1</p>
            <p>Paragraph 2</p>
            <p>Paragraph 3</p>
            <p>Paragraph 4</p>
            <p>Paragraph 5</p>
        </div>
        <footer>Footer 1</footer>
        <footer>Footer 2</footer>
        <footer>Footer 3</footer>
        <footer>Footer 4</footer>
        <footer>Footer 5</footer>
    </body>
</html>
```",1,"{'config': 'nested', 'ground_truth': {'body': 1, 'div': 1, 'footer': 5, 'h1': 3, 'h2': 3, 'head': 1, 'html': 1, 'p': 5, 'title': 3}, 'mode': 'nested', 'no_of_tags': {'body': 1, 'div': 1, 'footer': 5, 'h1': 3, 'h2': 3, 'head': 1, 'html': 1, 'p': 5, 'title': 3}}"
6,"```html
<html>
    <head>
        <title>Title 1</title>
        <title>Title 2</title>
    </head>
    <body>
        <div>
            <h1>Header 1</h1>
            <h1>Header 2</h1>
            <h2>Subheader 1</h2>
            <h2>Subheader 2</h2>
            <h2>Subheader 3</h2>
            <h2>Subheader 4</h2>
            <h2>Subheader 5</h2>
            <p>Paragraph 1</p>
            <p>Paragraph 2</p>
            <p>Paragraph 3</p>
        </div>
        <footer>Footer 1</footer>
        <footer>Footer 2</footer>
        <footer>Footer 3</footer>
    </body>
</html>
```",1,"{'config': 'nested', 'ground_truth': {'body': 1, 'div': 1, 'footer': 3, 'h1': 2, 'h2': 5, 'head': 1, 'html': 1, 'p': 3, 'title': 2}, 'mode': 'nested', 'no_of_tags': {'body': 1, 'div': 1, 'footer': 3, 'h1': 2, 'h2': 5, 'head': 1, 'html': 1, 'p': 3, 'title': 2}}"
7,"```html
<html>
    <head>
        <title>Title 1</title>
        <title>Title 2</title>
    </head>
    <body>
        <div>
            <h1>Heading 1</h1>
            <h1>Heading 2</h1>
            <h1>Heading 3</h1>
            <h1>Heading 4</h1>
            <h1>Heading 5</h1>
            <h2>Subheading 1</h2>
            <h2>Subheading 2</h2>
            <p>Paragraph 1</p>
            <p>Paragraph 2</p>
        </div>
        <footer>Footer 1</footer>
        <footer>Footer 2</footer>
        <footer>Footer 3</footer>
        <footer>Footer 4</footer>
    </body>
</html>
```",1,"{'config': 'nested', 'ground_truth': {'body': 1, 'div': 1, 'footer': 4, 'h1': 5, 'h2': 2, 'head': 1, 'html': 1, 'p': 2, 'title': 2}, 'mode': 'nested', 'no_of_tags': {'body': 1, 'div': 1, 'footer': 4, 'h1': 5, 'h2': 2, 'head': 1, 'html': 1, 'p': 2, 'title': 2}}"
8,"```html
<html>
    <head>
        <title>Title 1</title>
        <title>Title 2</title>
        <title>Title 3</title>
        <title>Title 4</title>
    </head>
    <body>
        <div>
            <h1>Header 1</h1>
            <h1>Header 2</h1>
            <h1>Header 3</h1>
            <h1>Header 4</h1>
            <h2>Subheader 1</h2>
            <h2>Subheader 2</h2>
            <h2>Subheader 3</h2>
            <p>Paragraph 1</p>
            <p>Paragraph 2</p>
            <p>Paragraph 3</p>
            <p>Paragraph 4</p>
            <p>Paragraph 5</p>
        </div>
        <footer>Footer 1</footer>
        <footer>Footer 2</footer>
        <footer>Footer 3</footer>
        <footer>Footer 4</footer>
        <footer>Footer 5</footer>
    </body>
</html>
```",1,"{'config': 'nested', 'ground_truth': {'body': 1, 'div': 1, 'footer': 5, 'h1': 4, 'h2': 3, 'head': 1, 'html': 1, 'p': 5, 'title': 4}, 'mode': 'nested', 'no_of_tags': {'body': 1, 'div': 1, 'footer': 5, 'h1': 4, 'h2': 3, 'head': 1, 'html': 1, 'p': 5, 'title': 4}}"
9,"```html
<html>
    <head>
        <title>Title 1</title>
        <title>Title 2</title>
        <title>Title 3</title>
        <title>Title 4</title>
        <title>Title 5</title>
    </head>
    <body>
        <div>
            <h1>Heading 1</h1>
            <h1>Heading 2</h1>
            <h1>Heading 3</h1>
            <h1>Heading 4</h1>
            <h1>Heading 5</h1>
            <h2>Subheading 1</h2>
            <h2>Subheading 2</h2>
            <h2>Subheading 3</h2>
            <h2>Subheading 4</h2>
            <p>Paragraph 1</p>
            <p>Paragraph 2</p>
            <p>Paragraph 3</p>
        </div>
        <footer>Footer 1</footer>
        <footer>Footer 2</footer>
        <footer>Footer 3</footer>
    </body>
</html>
```",1,"{'config': 'nested', 'ground_truth': {'body': 1, 'div': 1, 'footer': 3, 'h1': 5, 'h2': 4, 'head': 1, 'html': 1, 'p': 3, 'title': 5}, 'mode': 'nested', 'no_of_tags': {'body': 1, 'div': 1, 'footer': 3, 'h1': 5, 'h2': 4, 'head': 1, 'html': 1, 'p': 3, 'title': 5}}"
