index,generated,result,format_properties
0,"<ans>
def remove_Occ(s, ch): 
    """"""
    Args:
        s (str): The input string from which occurrences of the character will be removed.
        ch (str): The character to be removed from the input string.

    Returns:
        str: The modified string with the first and last occurrences of the specified character removed.
    """"""
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1, -1, -1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s 
</ans>",True,{}
1,"<ans>
def sort_matrix(M):
    """"""
    Args:
        M (list of list of int/float): A matrix represented as a list of lists, where each inner list is a row of the matrix.

    Returns:
        result (list of list of int/float): The input matrix sorted by the sum of each row in ascending order.
    """"""
    result = sorted(M, key=sum)
    return result
</ans>",True,{}
2,"<ans>
def find_Volume(l, b, h):
    """"""
    Args:
        l (float): The length of the base of the shape.
        b (float): The breadth of the base of the shape.
        h (float): The height of the shape.

    Returns:
        float: The volume of the shape calculated using the formula (l * b * h) / 2.
    """"""
    return ((l * b * h) / 2)
</ans>",True,{}
3,"<ans>
```python
import re
def text_lowercase_underscore(text):
    """"""
    Args:
        text (str): The input string to be checked.

    Returns:
        bool: True if the text consists of lowercase letters separated by an underscore, False otherwise.
    """"""
    patterns = '^[a-z]+_[a-z]+$'
    if re.search(patterns,  text):
        return True
    else:
        return False
```
</ans>",0,{}
4,"<ans>
def square_perimeter(a):
    """"""
    Args:
        a (float): The length of one side of the square.

    Returns:
        perimeter (float): The perimeter of the square.
    """"""
    perimeter = 4 * a
    return perimeter
</ans>",True,{}
5,"<ans>
def str_to_list(string): 
    """"""
    Args:
        string (str): The input string to be converted into a list of characters.

    Returns:
        list: A list containing each character of the input string as an element.
    """"""
    temp = [] 
    for x in string: 
        temp.append(x) 
    return temp 

def lst_to_string(List): 
    """"""
    Args:
        List (list): A list of characters to be converted into a string.

    Returns:
        str: A string formed by concatenating all characters in the list.
    """"""
    return ''.join(List) 

def get_char_count_array(string): 
    """"""
    Args:
        string (str): The input string for which the character count array is to be created.

    Returns:
        list: A list of integers where each index corresponds to a character's ASCII value and the value at that index is the count of the character in the string.
    """"""
    count = [0] * NO_OF_CHARS 
    for i in string: 
        count[ord(i)] += 1
    return count 

def remove_dirty_chars(string, second_string): 
    """"""
    Args:
        string (str): The input string from which characters are to be removed.
        second_string (str): The string containing characters that need to be removed from the first string.

    Returns:
        str: A new string with all characters from the second string removed from the first string.
    """"""
    count = get_char_count_array(second_string) 
    ip_ind = 0
    res_ind = 0
    temp = '' 
    str_list = str_to_list(string) 
    while ip_ind != len(str_list): 
        temp = str_list[ip_ind] 
        if count[ord(temp)] == 0: 
            str_list[res_ind] = str_list[ip_ind] 
            res_ind += 1
        ip_ind += 1
    return lst_to_string(str_list[0:res_ind]) 
</ans>",True,{}
6,"<ans>
def test_duplicate(arraynums):
    """"""
    Args:
        arraynums (list): A list of numbers to check for duplicates.

    Returns:
        bool: True if there are duplicates in the list, False otherwise.
    """"""
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     
</ans>",True,{}
7,"<ans>
def is_woodall(x): 
    """"""
    Args:
        x (int): The number to be checked if it is a Woodall number.

    Returns:
        bool: True if the number is a Woodall number, False otherwise.
    """"""
    if (x % 2 == 0): 
        return False
    if (x == 1): 
        return True
    x = x + 1 
    p = 0
    while (x % 2 == 0): 
        x = x/2
        p = p + 1
        if (p == x): 
            return True
    return False
</ans>",True,{}
8,"<ans>
def rev(num):
    """"""
    Args:
        num (int): The number to be reversed.

    Returns:
        rev_num (int): The reversed number.
    """"""
    rev_num = 0
    while (num > 0):
        rev_num = (rev_num * 10 + num % 10)
        num = num // 10
    return rev_num

def check(n):
    """"""
    Args:
        n (int): The number to be checked.

    Returns:
        result (bool): True if twice the reverse of the number equals the number plus one, otherwise False.
    """"""
    return (2 * rev(n) == n + 1)
</ans>",True,{}
9,"<ans>
def find_Max_Num(arr):
    """"""
    Args:
        arr (list of int): A list of integers to be rearranged.

    Returns:
        int: The maximum number that can be formed by concatenating the integers in the list.
    """"""
    n = len(arr)
    arr.sort(reverse=True)
    num = arr[0]
    for i in range(1, n):
        num = num * 10 + arr[i]
    return num
</ans>",True,{}
